Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
570.082,0.003,570.080+,25,,,116 040.88,-,133 577.40,2s22p4(3P)3p,4P°,3/2,2s<sup>2</sup>2p<sup>4</sup>(<sup>3</sup>P)4d,4D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
570.731,0.003,570.730+,25,,,116 040.88,-,133 557.43,2s22p4(3P)3p,4P°,3/2,2s<sup>2</sup>2p<sup>4</sup>(<sup>3</sup>P)4d,4D,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
595.0147,0.0010,595.014+,12,,,117 164.01,-,133 965.68,2s22p4(3P)3p,4D°,5/2,2s<sup>2</sup>2p<sup>4</sup>(<sup>3</sup>P)4d,4P,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
595.9187,0.0010,595.918+,25,,,117 308.56,-,134 084.75,2s22p4(3P)3p,4D°,3/2,2s<sup>2</sup>2p<sup>4</sup>(<sup>3</sup>P)4d,2F,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
596.528,0.003,596.527+,70,,,117 164.01,-,133 923.07,2s22p4(3P)3p,4D°,5/2,2s<sup>2</sup>2p<sup>4</sup>(<sup>3</sup>P)4d,4F,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
599.4425,0.0010,599.441+,50,,,115 917.91,-,132 595.50,2s22p4(3P)3p,4P°,5/2,2s<sup>2</sup>2p<sup>4</sup>(<sup>3</sup>P)5s,4P,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
601.5828,0.0002,601.583+,150,,,116 987.39,-,133 605.61,2s22p4(3P)3p,4D°,7/2,2s<sup>2</sup>2p<sup>4</sup>(<sup>3</sup>P)4d,4F,9/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
603.804,0.003,603.801+,80,,,116 987.39,-,133 544.54,2s22p4(3P)3p,4D°,7/2,2s<sup>2</sup>2p<sup>4</sup>(<sup>3</sup>P)4d,4D,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
604.754,0.003,604.753+,900,2.36e+05,C,102 405.71,-,118 936.80,2s22p4(3P)3s,4P,5/2,2s<sup>2</sup>2p<sup>4</sup>(<sup>3</sup>P)3p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7043&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7043&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
608.0113,0.0002,608.012+,100,,,117 164.01,-,133 606.51,2s22p4(3P)3p,4D°,5/2,2s<sup>2</sup>2p<sup>4</sup>(<sup>3</sup>P)4d,2F,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
614.976,0.003,614.974+,800,1.90e+05,C,102 680.44,-,118 936.80,2s22p4(3P)3s,4P,3/2,2s<sup>2</sup>2p<sup>4</sup>(<sup>3</sup>P)3p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7043&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7043&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
621.087,0.003,621.084+,400,9.2e+04,C,102 840.38,-,118 936.80,2s22p4(3P)3s,4P,1/2,2s<sup>2</sup>2p<sup>4</sup>(<sup>3</sup>P)3p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7043&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7043&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
623.9651,0.0002,623.965+,13000,2.90e+07,C+,102 405.71,-,118 427.82,2s22p4(3P)3s,4P,5/2,2s<sup>2</sup>2p<sup>4</sup>(<sup>3</sup>P)3p,4S°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7043&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7043&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
634.8508,0.0002,634.851+,10000,2.32e+07,C+,102 680.44,-,118 427.82,2s22p4(3P)3s,4P,3/2,2s<sup>2</sup>2p<sup>4</sup>(<sup>3</sup>P)3p,4S°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7043&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7043&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
641.3651,0.0002,641.365+,8000,1.36e+07,C+,102 840.38,-,118 427.82,2s22p4(3P)3s,4P,1/2,2s<sup>2</sup>2p<sup>4</sup>(<sup>3</sup>P)3p,4S°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7043&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7043&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
646.350,0.003,646.350+,700,3.97e+04,C,102 405.71,-,117 872.92,2s22p4(3P)3s,4P,5/2,2s<sup>2</sup>2p<sup>4</sup>(<sup>3</sup>P)3p,2D°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7043&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7043&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
656.9694,0.0002,656.969+,450,3.86e+05,C+,102 405.71,-,117 622.92,2s22p4(3P)3s,4P,5/2,2s<sup>2</sup>2p<sup>4</sup>(<sup>3</sup>P)3p,2D°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7043&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7043&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
658.0389,0.0002,658.039+,300,2.51e+05,C+,102 680.44,-,117 872.92,2s22p4(3P)3s,4P,3/2,2s<sup>2</sup>2p<sup>4</sup>(<sup>3</sup>P)3p,2D°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7043&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7043&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
665.0405,0.0002,665.040+,400,3.49e+05,C+,102 840.38,-,117 872.92,2s22p4(3P)3s,4P,1/2,2s<sup>2</sup>2p<sup>4</sup>(<sup>3</sup>P)3p,2D°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7043&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7043&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
669.0481,0.0002,669.048+,1800,1.46e+06,C,102 680.44,-,117 622.92,2s22p4(3P)3s,4P,3/2,2s<sup>2</sup>2p<sup>4</sup>(<sup>3</sup>P)3p,2D°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7043&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7043&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
