Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
399.168,399.164,0.032,5w,,,62 181.85,-,87 227.1?,4d95s(3D)5p,4D°,5/2,4d<sup>9</sup>5s(<sup>3</sup>D)5d,2F,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2489&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=2489&amp;type=
399.246,399.251,0.032,5w,,,62 181.85,-,87 221.7,4d95s(3D)5p,4D°,5/2,4d<sup>9</sup>5s(<sup>3</sup>D)5d,4P,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2489&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=2489&amp;type=
405.5476,405.54750,0.00003,400,,,29 552.05741,-,54 203.119,4d105p,2P°,1/2,4d<sup>10</sup>6d,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11755&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=11755&amp;type=
408.343,,,10w,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
421.0960,421.09542,0.00005,700,,,30 472.66516,-,54 213.564,4d105p,2P°,3/2,4d<sup>10</sup>6d,2D,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11755&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=11755&amp;type=
421.2814,421.28077,0.00004,70,,,30 472.66516,-,54 203.119,4d105p,2P°,3/2,4d<sup>10</sup>6d,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11755&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=11755&amp;type=
431.1074,431.108,0.037,50,,,56 223.489,-,79 413.0,4d95s(3D)5p,4P°,5/2,4d<sup>9</sup>5s(<sup>3</sup>D)6s,4D,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
439.623,439.616,0.039,20,,,61 242.25,-,83 983.0,4d95s(3D)5p,4F°,3/2,4d<sup>9</sup>5s(<sup>3</sup>D)6s,4D,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
447.6040,447.604035,0.000020,80,,,29 552.05741,-,51 886.965,4d105p,2P°,1/2,4d<sup>10</sup>7s,2S,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11755&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=11755&amp;type=
455.552,455.557,0.042,20w,,,59 321.40,-,81 266.4,4d95s(3D)5p,4F°,5/2,4d<sup>9</sup>5s(<sup>3</sup>D)6s,4D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2489&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=2489&amp;type=
461.569,461.564,0.043,30w,,,58 504.586,-,80 164.0,4d95s(3D)5p,4P°,3/2,4d<sup>9</sup>5s(<sup>3</sup>D)6s,4D,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
466.8477,466.846993,0.000022,130,,,30 472.66516,-,51 886.965,4d105p,2P°,3/2,4d<sup>10</sup>7s,2S,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11755&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=11755&amp;type=
467.760,467.725,0.044,30w*,,,58 789.879,-,80 164.0,4d95s(3D)5p,4F°,7/2,4d<sup>9</sup>5s(<sup>3</sup>D)6s,4D,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
467.760,467.794,0.044,30w*,,,58 042.063,-,79 413.0,4d106f,2F°,7/2,4d<sup>9</sup>5s(<sup>3</sup>D)6s,4D,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
479.646,479.653,0.046,20w,,,59 321.40,-,80 164.0,4d95s(3D)5p,4F°,5/2,4d<sup>9</sup>5s(<sup>3</sup>D)6s,4D,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2489&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=2489&amp;type=
484.782,484.757,0.047,30w,,,58 789.879,-,79 413.0,4d95s(3D)5p,4F°,7/2,4d<sup>9</sup>5s(<sup>3</sup>D)6s,4D,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
487.4100,487.408,0.048,100,,,58 902.05,-,79 413.0,4d95s(3D)5p,4F°,9/2,4d<sup>9</sup>5s(<sup>3</sup>D)6s,4D,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
488.821,488.822,0.048,20,,,63 531.35,-,83 983.0,4d95s(3D)5p,2D°,3/2,4d<sup>9</sup>5s(<sup>3</sup>D)6s,4D,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
