Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
334.7490,0.0005,334.75123,0.00003,,2.14e+04,B,0.0000,-,29 864.345,5p66s,2S,1/2,5p<sup>6</sup>12p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=c91&amp;element=Cs&amp;spectr_charge=1&amp;ref=3287&amp;type=
334.8820,0.0005,334.884823,0.000003,,1.06e+03,B,0.0000,-,29 852.43153,5p66s,2S,1/2,5p<sup>6</sup>12p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=c91&amp;element=Cs&amp;spectr_charge=1&amp;ref=3287&amp;type=
339.7966,0.0005,339.79779,0.00003,,3.6e+04,C+,0.0000,-,29 420.824,5p66s,2S,1/2,5p<sup>6</sup>11p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=c91&amp;element=Cs&amp;spectr_charge=1&amp;ref=3287&amp;type=
339.9979,0.0005,339.998885,0.000003,,2.36e+03,B,0.0000,-,29 403.42310,5p66s,2S,1/2,5p<sup>6</sup>11p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=c91&amp;element=Cs&amp;spectr_charge=1&amp;ref=3287&amp;type=
347.6809,0.0005,347.682069,0.000013,,6.3e+04,B,0.0000,-,28 753.6769,5p66s,2S,1/2,5p<sup>6</sup>10p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=c91&amp;element=Cs&amp;spectr_charge=1&amp;ref=3287&amp;type=
348.0060,0.0005,348.007222,0.000006,,6.3e+03,B,0.0000,-,28 726.8123,5p66s,2S,1/2,5p<sup>6</sup>10p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=c91&amp;element=Cs&amp;spectr_charge=1&amp;ref=3287&amp;type=
361.14714,0.00019,361.146769,0.000015,160,1.43e+05,C+,0.0000,-,27 681.6782,5p66s,2S,1/2,5p<sup>6</sup>9p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5791&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=5791&amp;type=
361.73084,0.00017,361.730663,0.000007,32,2.2e+04,C,0.0000,-,27 636.9966,5p66s,2S,1/2,5p<sup>6</sup>9p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5791&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=5791&amp;type=
387.61486,0.00008,387.6147,0.0005,2100,3.9e+05,B+,0.0000,-,25 791.508,5p66s,2S,1/2,5p<sup>6</sup>8p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5791&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=5791&amp;type=
388.8611413,0.0000022,388.8611413,0.0000022,600,9.0e+04,C+,0.0000,-,25 708.83548,5p66s,2S,1/2,5p<sup>6</sup>8p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9729&amp;comment_code=c91&amp;element=Cs&amp;spectr_charge=1&amp;ref=9729&amp;type=
411.1164070,0.0000021,411.1164070,0.0000021,,,,0.0000,-,24 317.149400,5p66s,2S,1/2,5p<sup>6</sup>8s,2S,1/2,2P,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12362&amp;comment_code=c91&amp;element=Cs&amp;spectr_charge=1&amp;ref=12362&amp;type=2P
441.73432,0.00002,441.734318,0.000020,,,,0.0000,-,22 631.6863,5p66s,2S,1/2,5p<sup>6</sup>6d,2D,5/2,E2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4744&amp;comment_code=c91&amp;element=Cs&amp;spectr_charge=1&amp;ref=4744&amp;type=E2
442.57258,0.00002,442.572582,0.000020,,,,0.0000,-,22 588.8210,5p66s,2S,1/2,5p<sup>6</sup>6d,2D,3/2,E2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4744&amp;comment_code=c91&amp;element=Cs&amp;spectr_charge=1&amp;ref=4744&amp;type=E2
455.52799,0.00005,455.5280,0.0005,,1.836e+06,AA,0.0000,-,21 946.397,5p66s,2S,1/2,5p<sup>6</sup>7p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7550&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=7550&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3506&amp;comment_code=c91&amp;element=Cs&amp;spectr_charge=1&amp;ref=3506&amp;type=
459.31721,0.00005,459.3172,0.0004,,7.94e+05,A+,0.0000,-,21 765.348,5p66s,2S,1/2,5p<sup>6</sup>7p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7550&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=7550&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3506&amp;comment_code=c91&amp;element=Cs&amp;spectr_charge=1&amp;ref=3506&amp;type=
515.26813,0.00005,515.268344,0.000014,,,,11 178.26815870,-,30 580.2267,5p66p,2P°,1/2,5p<sup>6</sup>14d,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3506&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=3506&amp;type=
519.67343,0.00005,519.673753,0.000014,,,,11 178.26815870,-,30 415.7533,5p66p,2P°,1/2,5p<sup>6</sup>13d,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3506&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=3506&amp;type=
525.65633,0.00005,525.656738,0.000014,,,,11 178.26815870,-,30 196.7963,5p66p,2P°,1/2,5p<sup>6</sup>12d,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3506&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=3506&amp;type=
530.140,0.002,530.144916,0.000006,,,,11 178.26815870,-,30 035.78836,5p66p,2P°,1/2,5p<sup>6</sup>13s,2S,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3506&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=3506&amp;type=
