Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
153.1743,0.0004,153.1746+,30000,6.e+08,E,3 685.24,-,68 970.21,4s24p5,2P°,1/2,4s<sup>2</sup>4p<sup>4</sup>(<sup>3</sup>P<sub>0</sub>)5s,2[0],1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8844&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=8844&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=351&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=351&amp;type=
154.0654,0.0004,154.0661+,25000,2.2e+08,D+,0.00,-,64 907.19,4s24p5,2P°,3/2,4s<sup>2</sup>4p<sup>4</sup>(<sup>3</sup>P<sub>2</sub>)5s,2[2],3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3064&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=3064&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=351&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=351&amp;type=
157.4841,0.0004,157.4844+,30000,2.0e+07,D+,3 685.24,-,67 183.58,4s24p5,2P°,1/2,4s<sup>2</sup>4p<sup>4</sup>(<sup>3</sup>P<sub>1</sub>)5s,2[1],3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3064&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=3064&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=351&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=351&amp;type=
157.6387,0.0004,157.6381+,20000,5.7e+06,D+,0.00,-,63 436.45,4s24p5,2P°,3/2,4s<sup>2</sup>4p<sup>4</sup>(<sup>3</sup>P<sub>2</sub>)5s,2[2],5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3064&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=3064&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=351&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=351&amp;type=
158.2312,0.0004,158.2313+,25000,5.e+07,E,3 685.24,-,66 883.87,4s24p5,2P°,1/2,4s<sup>2</sup>4p<sup>4</sup>(<sup>3</sup>P<sub>1</sub>)5s,2[1],1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8844&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=8844&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=351&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=351&amp;type=
163.3404,0.0004,163.3401+,75000,2.3e+07,D+,3 685.24,-,64 907.19,4s24p5,2P°,1/2,4s<sup>2</sup>4p<sup>4</sup>(<sup>3</sup>P<sub>2</sub>)5s,2[2],3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3064&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=3064&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=351&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=351&amp;type=
381.5650,0.0005,381.5654+,1200,,,63 436.45,-,89 636.84,4s24p4(3P2)5s,2[2],5/2,4s<sup>2</sup>4p<sup>4</sup>(<sup>3</sup>P<sub>2</sub>)7p,2[3]°,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=351&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=351&amp;type=
399.2363,0.0005,399.2363+,1500,,,64 907.19,-,89 947.93,4s24p4(3P2)5s,2[2],3/2,4s<sup>2</sup>4p<sup>4</sup>(<sup>3</sup>P<sub>0</sub>)6p,2[1]°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=351&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=351&amp;type=
436.5139,0.0006,436.515+,2000,1.5e+06,D+,66 883.87,-,89 786.18,4s24p4(3P1)5s,2[1],1/2,4s<sup>2</sup>4p<sup>4</sup>(<sup>3</sup>P<sub>2</sub>)7p,2[1]°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1857&amp;comment_code=n&amp;element=Br&amp;spectr_charge=1&amp;ref=1857&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=351&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=351&amp;type=
442.5140,0.0006,442.513+,1500,9.e+05,D+,64 907.19,-,87 499.03,4s24p4(3P2)5s,2[2],3/2,4s<sup>2</sup>4p<sup>4</sup>(<sup>1</sup>D<sub>2</sub>)5p,2[1]°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1857&amp;comment_code=n&amp;element=Br&amp;spectr_charge=1&amp;ref=1857&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=351&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=351&amp;type=
444.1740,0.0006,444.173+,10000,1.5e+06,C,63 436.45,-,85 943.86,4s24p4(3P2)5s,2[2],5/2,4s<sup>2</sup>4p<sup>4</sup>(<sup>3</sup>P<sub>2</sub>)6p,2[1]°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6936&amp;comment_code=n&amp;element=Br&amp;spectr_charge=1&amp;ref=6936&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=351&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=351&amp;type=
447.2609,0.0006,447.260+,10000,2.2e+06,D,64 907.19,-,87 259.29,4s24p4(3P2)5s,2[2],3/2,4s<sup>2</sup>4p<sup>4</sup>(<sup>1</sup>D<sub>2</sub>)5p,2[1]°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6936&amp;comment_code=n&amp;element=Br&amp;spectr_charge=1&amp;ref=6936&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=351&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=351&amp;type=
447.7720,0.0006,447.772+,20000,2.1e+06,C,63 436.45,-,85 762.98,4s24p4(3P2)5s,2[2],5/2,4s<sup>2</sup>4p<sup>4</sup>(<sup>3</sup>P<sub>2</sub>)6p,2[3]°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6936&amp;comment_code=n&amp;element=Br&amp;spectr_charge=1&amp;ref=6936&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=351&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=351&amp;type=
449.0419,0.0006,449.041+,1000,1.6e+06,E,66 883.87,-,89 147.30,4s24p4(3P1)5s,2[1],1/2,4s<sup>2</sup>4p<sup>4</sup>(<sup>3</sup>P<sub>1</sub>)6p,2[1]°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1857&amp;comment_code=n&amp;element=Br&amp;spectr_charge=1&amp;ref=1857&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=351&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=351&amp;type=
