Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
412.1704,0.0004,412.17037+,2600,1.64e+07,C+,21 660.914,-,45 915.883,6p3,2P°,1/2,6p<sup>2</sup>(<sup>3</sup>P<sub>1</sub>)7s,2[1],1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3401&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=3401&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6416&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=6416&amp;type=
430.8360,0.0005,430.8360+,700,1.6e+06,D,21 660.914,-,44 865.076,6p3,2P°,1/2,6p<sup>2</sup>(<sup>3</sup>P<sub>1</sub>)7s,2[1],3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6498&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=6498&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6416&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=6416&amp;type=
449.301,0.010,449.2827+,1900,1.43e+06,D+,21 660.914,-,43 912.374,6p3,2P°,1/2,6p<sup>2</sup>(<sup>3</sup>P<sub>0</sub>)6d,2[2],3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6498&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=6498&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7585&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=7585&amp;type=
472.2528,0.0004,472.2527+,11000,9.4e+06,B,11 419.039,-,32 588.221,6p3,2D°,3/2,6p<sup>2</sup>(<sup>3</sup>P<sub>0</sub>)7s,2[0],1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6498&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=6498&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6416&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=6416&amp;type=
555.2050,0.0006,555.2049+,500,,,32 588.221,-,50 594.588,6p2(3P0)7s,2[0],1/2,6p<sup>2</sup>(<sup>3</sup>P<sub>0</sub>)8p,2[1]°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6416&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=6416&amp;type=
559.9342,0.0008,559.9342+,40,,,33 164.805,-,51 019.090,6p3,2P°,3/2,6p<sup>2</sup>(<sup>3</sup>P<sub>0</sub>)7d,2[2],3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6416&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=6416&amp;type=
574.2361,0.0007,574.2360+,140,,,32 588.221,-,49 997.834,6p2(3P0)7s,2[0],1/2,6p<sup>2</sup>(<sup>3</sup>P<sub>0</sub>)8p,2[1]°,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6416&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=6416&amp;type=
613.482,0.012,613.4738+,60,1.74e+06,D+,33 164.805,-,49 460.910,6p3,2P°,3/2,6p<sup>2</sup>(<sup>3</sup>P<sub>2</sub>)7s,2[2],3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3401&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=3401&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7394&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=7394&amp;type=
647.624,0.012,,16,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7394&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=7394&amp;type=
699.0924,0.0010,699.0924+,10,,,41 124.985,-,55 425.301,6p2(3P0)7p,2[1]°,1/2,6p<sup>2</sup>(<sup>3</sup>P<sub>0</sub>)9d,2[2],3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6416&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=6416&amp;type=
