Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
329.6303,0.0005,329.63046+,580,1.7e+07,C,13 119.610,-,43 447.878,4f12(3H6)5d3/26s2,"(6,3/2)",9/2,4f<sup>12</sup>5d6s6p,°,11/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2890&amp;comment_code=n&amp;element=Tm&amp;spectr_charge=1&amp;ref=2890&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2006&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=2006&amp;type=
329.9115,0.0005,329.9116+,570,1.61e+06,B+,0.000,-,30 302.42,4f13(2F°)6s2,2F°,7/2,4f<sup>12</sup>(<sup>3</sup>H<sub>4</sub>)5d<sub>5/2</sub>6s<sup>2</sup>,,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6708&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=6708&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2006&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=2006&amp;type=
331.865,0.003,331.8655+,2100bl(Tm II),6.2e+05,B,0.000,-,30 124.02,4f13(2F°)6s2,2F°,7/2,4f<sup>12</sup>(<sup>3</sup>H<sub>4</sub>)5d<sub>5/2</sub>6s<sup>2</sup>,,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6708&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=6708&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=3475&amp;type=
332.3273,0.0005,332.3271+,170,8.9e+04,C+,0.000,-,30 082.18,4f13(2F°)6s2,2F°,7/2,4f<sup>12</sup>(<sup>3</sup>F<sub>2</sub>)5d<sub>3/2</sub>6s<sup>2</sup>,,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6708&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=6708&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2006&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=2006&amp;type=
332.4980,0.0005,332.49793+,470,9.e+06,D,13 119.610,-,43 186.335,4f12(3H6)5d3/26s2,"(6,3/2)",9/2,4f<sup>12</sup>5d6s6p,°,11/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2890&amp;comment_code=n&amp;element=Tm&amp;spectr_charge=1&amp;ref=2890&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2006&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=2006&amp;type=
334.9987,0.0005,334.99881+,2300,6.6e+07,B,13 119.610,-,42 961.884,4f12(3H6)5d3/26s2,"(6,3/2)",9/2,4f<sup>12</sup>5d6s6p,°,11/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2890&amp;comment_code=n&amp;element=Tm&amp;spectr_charge=1&amp;ref=2890&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2006&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=2006&amp;type=
336.3781,0.0005,336.37843+,250,1.0e+07,D,13 119.610,-,42 839.493,4f12(3H6)5d3/26s2,"(6,3/2)",9/2,4f<sup>12</sup>5d6s6p,°,9/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2890&amp;comment_code=n&amp;element=Tm&amp;spectr_charge=1&amp;ref=2890&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2006&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=2006&amp;type=
338.0534,0.0005,338.0534+,1700,,,17 454.818,-,47 027.45,4f12(3H6)5d3/26s2,"(6,3/2)",13/2,4f<sup>12</sup>5d6s6p,°,13/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2006&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=2006&amp;type=
338.0688,0.0005,338.0683+,1200,1.31e+07,B,8 771.243,-,38 342.57,4f13(2F°)6s2,2F°,5/2,4f<sup>12</sup>(<sup>1</sup>G<sub>4</sub>)5d<sub>5/2</sub>6s<sup>2</sup>,,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6708&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=6708&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2006&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=2006&amp;type=
339.3186,0.0005,339.31868+,1700,3.3e+07,C,13 119.610,-,42 581.974,4f12(3H6)5d3/26s2,"(6,3/2)",9/2,4f<sup>12</sup>5d6s6p,°,11/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2890&amp;comment_code=n&amp;element=Tm&amp;spectr_charge=1&amp;ref=2890&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2006&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=2006&amp;type=
