Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
545.4185,0.0002,545.41850,,4.55e+04,,13 923.998,-,32 253.449,7p,2P°,3/2,17d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
545.6375,0.0002,545.63748,,4.56e+05,,12 237.409,-,30 559.504,7p,2P°,1/2,12s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
547.2457,0.0002,547.24565,,1.06e+05,,13 923.998,-,32 192.251,7p,2P°,3/2,18s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
548.2954,0.0002,548.29545,,3.45e+05,,13 923.998,-,32 157.274,7p,2P°,3/2,16d,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
548.3645,0.0002,548.36447,,5.80e+04,,13 923.998,-,32 154.979,7p,2P°,3/2,16d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
550.7052,0.0002,550.70515,,1.35e+05,,13 923.998,-,32 077.492,7p,2P°,3/2,17s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
552.0637,0.0002,552.06365,,4.48e+05,,13 923.998,-,32 032.821,7p,2P°,3/2,15d,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
552.1524,0.0002,552.15244,,7.37e+04,,13 923.998,-,32 029.909,7p,2P°,3/2,15d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
553.1716,0.0002,553.17161,,2.67e+06,,12 237.409,-,30 309.962,7p,2P°,1/2,10d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
555.2227,0.0002,555.22268,,1.75e+05,,13 923.998,-,31 929.789,7p,2P°,3/2,16s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
557.0255,0.0002,557.02549,,1.74e+06,,13 923.998,-,31 871.514,7p,2P°,3/2,14d,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
557.1444,0.0002,557.14445,,9.77e+04,,13 923.998,-,31 867.682,7p,2P°,3/2,14d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
561.2892,0.0002,561.28917,,2.37e+05,,13 923.998,-,31 735.182,7p,2P°,3/2,15s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
563.7589,0.0002,563.75890,,2.35e+06,,13 923.998,-,31 657.155,7p,2P°,3/2,13d,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
563.9228,0.0002,563.92284,,1.32e+05,,13 923.998,-,31 652.000,7p,2P°,3/2,13d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
569.7247,0.0002,569.72475,,3.25e+05,,13 923.998,-,31 471.465,7p,2P°,3/2,14s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
571.8746,0.0002,571.87464,,7.38e+05,,12 237.409,-,29 718.909,7p,2P°,1/2,11s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
573.2468,0.0002,573.24676,,1.09e+06,,13 923.998,-,31 363.655,7p,2P°,3/2,12d,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
573.4818,0.0002,573.48185,,1.80e+05,,13 923.998,-,31 356.506,7p,2P°,3/2,12d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
585.3491,0.0002,585.34910,,4.44e+06,,12 237.409,-,29 316.497,7p,2P°,1/2,9d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
587.2900,0.0002,587.29000,,1.58e+06,,13 923.998,-,30 946.643,7p,2P°,3/2,11d,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
587.6462,0.0002,587.64619,,2.65e+05,,13 923.998,-,30 936.325,7p,2P°,3/2,11d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
600.9574,0.0002,600.95745,,6.84e+05,,13 923.998,-,30 559.504,7p,2P°,3/2,12s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
609.5276,0.0002,609.52762,,3.56e+06,,13 923.998,-,30 325.605,7p,2P°,3/2,10d,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
610.1095,0.0002,610.10952,,3.99e+05,,13 923.998,-,30 309.962,7p,2P°,3/2,10d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
618.560,0.002,618.5596,,7.93e+02,,16 229.87,-,32 391.99,6d,2D,3/2,20p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
618.783,0.002,618.7831,,7.94e+03,,16 229.87,-,32 386.15,6d,2D,3/2,20p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
621.066,0.002,621.0658,,9.90e+02,,16 229.87,-,32 326.77,6d,2D,3/2,19p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
621.341,0.002,621.3414,,9.91e+03,,16 229.87,-,32 319.63,6d,2D,3/2,19p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
621.9813,0.0002,621.98126,,1.33e+06,,12 237.409,-,28 310.617,7p,2P°,1/2,10s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
624.178,0.002,624.1780,,1.23e+03,,16 229.87,-,32 246.51,6d,2D,3/2,18p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
624.524,0.002,624.5235,,1.21e+04,,16 229.87,-,32 237.65,6d,2D,3/2,18p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
626.301,0.002,626.3009,,6.89e+03,,16 429.64,-,32 391.99,6d,2D,5/2,20p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
628.112,0.002,628.1118,,1.53e+03,,16 229.87,-,32 146.20,6d,2D,3/2,17p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
628.553,0.002,628.5529,,1.54e+04,,16 229.87,-,32 135.03,6d,2D,3/2,17p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
628.870,0.002,628.8704,,8.60e+03,,16 429.64,-,32 326.77,6d,2D,5/2,19p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
632.062,0.002,632.0616,,1.05e+04,,16 429.64,-,32 246.51,6d,2D,5/2,18p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
632.9403,0.0003,632.9403,,1.10e+06,,13 923.998,-,29 718.909,7p,2P°,3/2,11s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
633.190,0.002,633.1901,,1.99e+03,,16 229.87,-,32 018.55,6d,2D,3/2,16p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
633.766,0.002,633.7661,,1.99e+04,,16 229.87,-,32 004.20,6d,2D,3/2,16p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
636.096,0.002,636.0957,,1.33e+04,,16 429.64,-,32 146.20,6d,2D,5/2,17p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
639.914,0.002,639.9141,,2.63e+03,,16 229.87,-,31 852.65,6d,2D,3/2,15p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
640.689,0.002,640.6887,,2.63e+04,,16 229.87,-,31 833.76,6d,2D,3/2,15p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
641.304,0.002,641.3044,,1.73e+04,,16 429.64,-,32 018.55,6d,2D,5/2,16p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
648.203,0.002,648.2027,,2.28e+04,,16 429.64,-,31 852.65,6d,2D,5/2,15p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
648.4210,0.0003,648.4210,,3.91e+06,,13 923.998,-,29 341.817,7p,2P°,3/2,9d,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
649.103,0.002,649.1030,,3.61e+03,,16 229.87,-,31 631.49,6d,2D,3/2,14p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
649.4876,0.0003,649.4876,,6.41e+05,,13 923.998,-,29 316.497,7p,2P°,3/2,9d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
650.181,0.002,650.1812,,3.52e+04,,16 229.87,-,31 605.95,6d,2D,3/2,14p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
650.7242,0.0003,650.7242,,8.04e+06,,12 237.409,-,27 600.657,7p,2P°,1/2,8d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
657.633,0.002,657.633,,3.06e+04,,16 429.64,-,31 631.49,6d,2D,5/2,14p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
662.174,0.003,662.174,,5.01e+03,,16 229.87,-,31 327.46,6d,2D,3/2,13p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
663.746,0.003,663.746,,5.00e+04,,16 229.87,-,31 291.72,6d,2D,3/2,13p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
671.054,0.003,671.054,,4.35e+04,,16 429.64,-,31 327.46,6d,2D,5/2,13p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
