obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 18
665.502,0.005,665.50276,0.00009,5,,,35640.6434,50662.729,3d6,c 5D,0,3d5.(4D).4p,u 5D*,1,,,L808,
665.7591,0.0004,665.75897,0.00009,4,,,33542.0985,48558.403,3d4.(5D).4s.4p.(3P*),z 5D*,2,3d4.4s.5s,f 5D,2,,,L14866,
666.10744,0.00009,666.10739,0.00005,38,1.1e+07,D,33816.0334,48824.4834,3d4.(5D).4s.4p.(3P*),z 5D*,4,3d4.4s.5s,f 5D,4,,T4288,L14866,
666.393,0.005,666.39042,0.00013,18,,,42387.260,57389.3358,3d4.(3H).4s.4p.(3P*),z 5H*,7,3d5.(4G).5s,e 5G,6,,,L808,
666.511,0.005,666.510,0.004,2,,,46688.2265,61687.61,3d4.(3G).4s.4p.(3P*),w 5F*,3,3d4.4s.5s,e 5P,2,,,L808,
666.740,0.005,666.73606,0.00007,1,,,31355.1192,46349.4177,3d5.(4F).4s,a 5F,2,3d4.(3F1).4s.4p.(3P*),w 5D*,2,,,L808,
666.867,0.005,666.86273,0.00008,5,,,31008.9708,46000.4213,3d5.(2D3).4s,b 3D,3,3d5.(4G).4p,y 3F*,3,,,L808,
666.92806,0.00018,666.92810,0.00006,15,5.9e+06,D,33671.5273,48661.5083,3d4.(5D).4s.4p.(3P*),z 5D*,3,3d4.4s.5s,f 5D,3,,T4288,L14866,
667.724,0.005,667.72183,0.00008,10,,,31028.2590,46000.4213,3d5.(2D3).4s,b 3D,2,3d5.(4G).4p,y 3F*,3,,,L808,
668.0275,0.0004,668.02759,0.00013,4,,,33542.0985,48507.408,3d4.(5D).4s.4p.(3P*),z 5D*,2,3d4.4s.5s,f 5D,1,,,L14866,
668.380,0.005,668.38135,0.00008,2,,,31008.9708,45966.3597,3d5.(2D3).4s,b 3D,3,3d5.(4G).4p,y 3F*,2,,,L808,
668.896,0.005,668.89686,0.00010,2,,,31352.3828,46298.2442,3d5.(4F).4s,a 5F,1,3d4.(3F1).4s.4p.(3P*),w 5D*,1,,,L808,
