obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 17
526.02285,0.00010,526.0223,1,,,12816.545,31821.855,4p6.5p,2P*,3/2,4p6.9d,2D,3/2,,,L7459,
532.23800,0.00010,532.2375,3,,,12578.950,31362.331,4p6.5p,2P*,1/2,4p6.10s,2S,1/2,,,L7459,
536.26013,0.00010,536.2599,40,,,12578.950,31221.440,4p6.5p,2P*,1/2,4p6.8d,2D,3/2,,,L7459,
539.05679,0.00010,539.0562,4,,,12816.545,31362.331,4p6.5p,2P*,3/2,4p6.10s,2S,1/2,,,L7459,
543.15321,0.00010,543.1528,75,,,12816.545,31222.453,4p6.5p,2P*,3/2,4p6.8d,2D,5/2,,,L7459,
543.18305,0.00010,543.1827,3,,,12816.545,31221.440,4p6.5p,2P*,3/2,4p6.8d,2D,3/2,,,L7459,
553.44,0.03,553.44,,3.27e+06,,134250.1,152314.,4p5.5s.5p,4S,3/2,4p5.5s.(1P).6s,2P*,1/2,,T7580,L7245,
557.87880,0.00010,557.8783,6,,,12578.950,30499.031,4p6.5p,2P*,1/2,4p6.9s,2S,1/2,,,L7459,
564.77735,0.00010,564.7779,40,,,12578.950,30280.113,4p6.5p,2P*,1/2,4p6.7d,2D,3/2,,,L7459,
565.37500,0.00010,565.3744,20,,,12816.545,30499.031,4p6.5p,2P*,3/2,4p6.9s,2S,1/2,,,L7459,
572.41208,0.00010,572.4125,60,,,12816.545,30281.620,4p6.5p,2P*,3/2,4p6.7d,2D,5/2,,,L7459,
572.46143,0.00010,572.4619,3,,,12816.545,30280.113,4p6.5p,2P*,3/2,4p6.7d,2D,3/2,,,L7459,
585.99,0.03,586.01,,9.71e+06,,134250.1,151310.,4p5.5s.5p,4S,3/2,4p5.5s.6s,4P*,3/2,,T7580,L7245,
607.07547,0.00010,607.0751,75,,,12578.950,29046.816,4p6.5p,2P*,1/2,4p6.8s,2S,1/2,,,L7459,
611.91,0.04,611.87,,2.97e+07,,134250.1,150589.,4p5.5s.5p,4S,3/2,4p5.5s.6s,4P*,5/2,,T7580,L7245,
615.96264,0.00010,615.9622,30c,,,12816.545,29046.816,4p6.5p,2P*,3/2,4p6.8s,2S,1/2,,,L7459,
620.63092,0.00010,620.6310,75c,2.948e+06,,12578.950,28687.127,4p6.5p,2P*,1/2,4p6.6d,2D,3/2,,T7712,L7459,
629.83252,0.00010,629.8326,120c,3.712e+06,,12816.545,28689.390,4p6.5p,2P*,3/2,4p6.6d,2D,5/2,,T7712,L7459,
629.92245,0.00010,629.9224,5,6.30e+05,,12816.545,28687.127,4p6.5p,2P*,3/2,4p6.6d,2D,3/2,,T7712,L7459,
682.24,0.05,682.22,,1.07e+05,,134250.1,148904.,4p5.5s.5p,4S,3/2,4p5.4d.(3D).5s,2D*,3/2,,T7580,L7245,
727.99968,0.00010,727.9996,100l,,,12578.950,26311.437,4p6.5p,2P*,1/2,4p6.7s,2S,1/2,,,L7459,
740.81731,0.00010,740.8171,150,,,12816.545,26311.437,4p6.5p,2P*,3/2,4p6.7s,2S,1/2,,,L7459,
761.89330,0.00010,761.8933,200l,,,12578.950,25700.536,4p6.5p,2P*,1/2,4p6.5d,2D,3/2,,,L7459,
775.76507,0.00010,775.7651,300,,,12816.545,25703.498,4p6.5p,2P*,3/2,4p6.5d,2D,5/2,,,L7459,
775.94363,0.00010,775.9435,60,,,12816.545,25700.536,4p6.5p,2P*,3/2,4p6.5d,2D,3/2,,,L7459,
780.0268,0.0010,780.0268,90000c,3.812e+07,AAA,0.000,12816.545,4p6.5s,2S,1/2,4p6.5p,2P*,3/2,,"T6877,T6650,T1895",L4740,
792.5260,0.0002,792.5260,5l,,,19355.203,31969.616,4p6.4d,2D,5/2,4p6.8f,2F*,7/2,,,L3522,
792.5537,0.0002,792.5537,4,,,19355.649,31969.621,4p6.4d,2D,3/2,4p6.8f,2F*,5/2,,,L3522,
794.7603,0.0010,794.7603,45000c,3.614e+07,AAA,0.000,12578.950,4p6.5s,2S,1/2,4p6.5p,2P*,1/2,,"T6877,T6650",L4740,
827.1410,0.0002,827.1410,40l,,,19355.203,31441.718,4p6.4d,2D,5/2,4p6.7f,2F*,7/2,,,L3522,
827.1707,0.0002,827.1707,30,,,19355.649,31441.730,4p6.4d,2D,3/2,4p6.7f,2F*,5/2,,,L3522,
886.8512,0.0003,886.8508,40l,,,19355.203,30627.962,4p6.4d,2D,5/2,4p6.6f,2F*,7/2,,,L7459,
886.8852,0.0003,886.8846,30,,,19355.649,30627.978,4p6.4d,2D,3/2,4p6.6f,2F*,5/2,,,L7459,
922.4640,0.0010,922.4536,3,,,20132.510,30970.19,4p6.6s,2S,1/2,4p6.9p,2P*,3/2,,,L6005,
923.4250,0.0010,923.4147,2,,,20132.510,30958.91,4p6.6s,2S,1/2,4p6.9p,2P*,1/2,,,L6005,
952.2650,0.0010,952.2479,30l,,,19355.203,29853.79,4p6.4d,2D,5/2,4p6.8p,2P*,3/2,,,L6005,
952.3050,0.0010,952.2884,5,,,19355.649,29853.79,4p6.4d,2D,3/2,4p6.8p,2P*,3/2,,,L6005,
954.0180,0.0010,954.0013,20l,,,19355.649,29834.94,4p6.4d,2D,3/2,4p6.8p,2P*,1/2,,,L6005,
1007.5282,0.0003,1007.5277,35l,,,19355.203,29277.768,4p6.4d,2D,5/2,4p6.5f,2F*,7/2,,,L7459,
1007.5708,0.0003,1007.5711,30l,,,19355.649,29277.787,4p6.4d,2D,3/2,4p6.5f,2F*,5/2,,,L7459,
1323.5170,0.0010,1323.5171,100,,,12578.950,20132.510,4p6.5p,2P*,1/2,4p6.6s,2S,1/2,,,L4740,
1344.2810,0.0010,1344.281,20,,,19355.203,26792.092,4p6.4d,2D,5/2,4p6.4f,2F*,7/2,,,L4740,
1344.3570,0.0010,1344.357,30,,,19355.649,26792.118,4p6.4d,2D,3/2,4p6.4f,2F*,5/2,,,L4740,
1366.5010,0.0010,1366.5000,75,,,12816.545,20132.510,4p6.5p,2P*,3/2,4p6.6s,2S,1/2,,,L4740,
