obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
273.3493,273.34941,10,9.37e+06,D+,21870.464,58442.853,3s.3p,3P*,1,3s.6d,3D,2,,"T6298c72,LS",L6095,
,273.65391,,3.46e+05,E,21911.178,58442.874,3s.3p,3P*,2,3s.6d,3D,1,,"T6298c72,LS",,
,273.65407,,3.12e+06,D,21911.178,58442.853,3s.3p,3P*,2,3s.6d,3D,2,,"T6298c72,LS",,
273.6542,273.65414,12,1.25e+07,C,21911.178,58442.843,3s.3p,3P*,2,3s.6d,3D,3,,"T6298c72,LS",L6095,
276.5222,276.52221,5,,,21870.464,58023.246,3s.3p,3P*,1,3s.6d,1D,2,,,L6095,
276.8339,276.83398,7,,,21911.178,58023.246,3s.3p,3P*,2,3s.6d,1D,2,,,L6095,
277.6690,277.6690,18,1.32e+08,B+,21870.464,57873.94,3s.3p,3P*,1,3p2,3P,2,,T4391,L6095,
277.8270,277.8271,18,1.82e+08,C+,21850.405,57833.40,3s.3p,3P*,0,3p2,3P,1,,"T6298c72,LS",L6095,
277.9831,277.9820,20*,1.36e+08,C+,21870.464,57833.40,3s.3p,3P*,1,3p2,3P,1,,"T6298c72,LS",L6095,
277.9831,277.9834,20*,4.09e+08,B,21911.178,57873.94,3s.3p,3P*,2,3p2,3P,2,,"T6298c72,LS",L6095,
278.1288,278.1282,8,,,21911.178,57855.214,3s.3p,3P*,2,3s.7s,3S,1,,,L6095,
278.1416,278.1416,18,5.43e+08,C+,21870.464,57812.77,3s.3p,3P*,1,3p2,3P,0,,"T6298c72,LS",L6095,
278.2972,278.2971,18,2.14e+08,B+,21911.178,57833.40,3s.3p,3P*,2,3p2,3P,1,,T4391,L6095,
,280.9755,,3.14e+07,C,47957.027,83536.84,3s.3d,3D,2,3p.3d,3D*,3,,"T6298c72,LS",,
