obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 18
,,704.98,0.06,,2.91e+05,B,58907.472,73088.4,1s2.2s.3p,3P*,1,1s2.2s.8s,3S,1,,u28,,
,,704.98,0.06,,9.67e+04,B,58907.472,73088.4,1s2.2s.3p,3P*,0,1s2.2s.8s,3S,1,,u28,,
,,705.00,0.06,,4.83e+05,B,58907.839,73088.4,1s2.2s.3p,3P*,2,1s2.2s.8s,3S,1,,u28,,
715.440,0.005,715.440,0.008,2w*,5.55e+05,B,58907.472,72881.03,1s2.2s.3p,3P*,1,1s2.2s.7d,3D,1,,u28,,
715.440,0.005,715.440,0.008,2w*,7.39e+05,B,58907.472,72881.03,1s2.2s.3p,3P*,0,1s2.2s.7d,3D,1,,u28,L483,
715.440,0.005,715.441,0.006,2w*,9.99e+05,B,58907.472,72881.01,1s2.2s.3p,3P*,1,1s2.2s.7d,3D,2,,u28,,
715.465,0.005,715.459,0.008,3w*,3.70e+04,B,58907.839,72881.03,1s2.2s.3p,3P*,2,1s2.2s.7d,3D,1,,u28,L483,
715.465,0.005,715.460,0.006,3w*,3.33e+05,B,58907.839,72881.01,1s2.2s.3p,3P*,2,1s2.2s.7d,3D,2,,u28,L483,
715.465,0.005,715.465,0.006,3w*,1.33e+06,B,58907.839,72880.92,1s2.2s.3p,3P*,2,1s2.2s.7d,3D,3,,u28,L483,
720.9134,0.0020,720.9132,0.0021,13,5.70e+06,B,56882.5474,70750.02,1s2.2p2,1D,2,1s2.2s.5f,1F*,3,,u28,L4743,
,,720.928,0.003,,1.63e+02,C,56882.5474,70749.744,1s2.2p2,1D,2,1s2.2s.5f,3F*,3,,u28,,
730.817,0.005,730.819,0.004,1w,3.34e+05,B,60187.4434,73866.95,1s2.2s.3p,1P*,1,1s2.2s.9d,1D,2,,u28,L483,
,,743.44,0.07,,4.58e+05,B,58907.472,72354.7,1s2.2s.3p,3P*,1,1s2.2s.7s,3S,1,,u28,,
,,743.44,0.07,,1.53e+05,B,58907.472,72354.7,1s2.2s.3p,3P*,0,1s2.2s.7s,3S,1,,u28,,
,,743.46,0.07,,7.64e+05,B,58907.839,72354.7,1s2.2s.3p,3P*,2,1s2.2s.7s,3S,1,,u28,,
,,744.887,0.017,,5.63e+05,B,60187.4434,73608.6,1s2.2s.3p,1P*,1,1s2.2s.9s,1S,0,,u28,,
749.83,0.02,749.842,0.005,"2w,bl",4.46e+05,B,60187.4434,73519.92,1s2.2s.3p,1P*,1,1s2.2s.8d,1D,2,,u28,L483,
755.1898,0.0020,755.1908,0.0017,3,4.2e+05,D,56882.5474,70120.59,1s2.2p2,1D,2,1s2.2s.5p,1P*,1,,u28,L4743,
761.8680,0.0020,761.8676,0.0023,3w*,1.51e+06,B,58907.472,72029.50,1s2.2s.3p,3P*,1,1s2.2s.6d,3D,2,,u28,,
761.8680,0.0020,761.868,0.003,3w*,1.12e+06,B,58907.472,72029.49,1s2.2s.3p,3P*,0,1s2.2s.6d,3D,1,,u28,L4743,
761.8680,0.0020,761.868,0.003,3w*,8.41e+05,B,58907.472,72029.49,1s2.2s.3p,3P*,1,1s2.2s.6d,3D,1,,u28,,
761.8881,0.0020,761.8883,0.0023,5w*,2.02e+06,B,58907.839,72029.51,1s2.2s.3p,3P*,2,1s2.2s.6d,3D,3,,u28,L4743,
761.8881,0.0020,761.8889,0.0023,5w*,5.05e+05,B,58907.839,72029.50,1s2.2s.3p,3P*,2,1s2.2s.6d,3D,2,,u28,L4743,
761.8881,0.0020,761.889,0.003,5w*,5.62e+04,B,58907.839,72029.49,1s2.2s.3p,3P*,2,1s2.2s.6d,3D,1,,u28,L4743,
,,771.439,0.011,,8.20e+05,B,60187.4434,73146.67,1s2.2s.3p,1P*,1,1s2.2s.8s,1S,0,,u28,,
779.200,0.005,779.202,0.004,2w,6.02e+05,B,60187.4434,73017.55,1s2.2s.3p,1P*,1,1s2.2s.7d,1D,2,,u28,L483,
809.0061,0.0020,809.0059,0.0020,11,3.29e+05,C,54677.349,67034.80,1s2.2s.3s,1S,0,1s2.2s.4p,1P*,1,,u28,L4743,
,,815.374,0.012,,1.27e+06,B,60187.4434,72448.38,1s2.2s.3p,1P*,1,1s2.2s.7s,1S,0,,u28,,
815.8993,0.0020,815.8995,0.0014,1w*,2.65e+05,B,58907.472,71160.514,1s2.2s.3p,3P*,0,1s2.2s.6s,3S,1,,u28,L4743,
815.8993,0.0020,815.8995,0.0014,1w*,7.94e+05,B,58907.472,71160.514,1s2.2s.3p,3P*,1,1s2.2s.6s,3S,1,,u28,,
815.9243,0.0020,815.9240,0.0014,3w,1.32e+06,B,58907.839,71160.514,1s2.2s.3p,3P*,2,1s2.2s.6s,3S,1,,u28,L4743,
825.4070,0.0020,825.4075,0.0014,20,3.38e+07,B,42565.4502,54677.349,1s2.2s.2p,1P*,1,1s2.2s.3s,1S,0,,T7096c74,L4743,
