obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
317.6294,317.6295+,200,,,6049.42,37523.54,5d3.6s2,a 4P,1/2,,375*,3/2,,,"L7593,L3475",
318.0947,318.0951+,600,,,0.00,31428.05,5d3.6s2,a 4F,3/2,,314*,5/2,,,"L7593,L3475",
318.4552,318.4548+,240,,,6068.91,37461.46,5d3.6s2,a 4P,3/2,,374*,1/2,,,"L7593,L3475",
319.8670,319.8664+,200,,,3963.92,35217.94,5d3.6s2,a 4F,7/2,,352*,9/2,,,"L7593,L3475",
320.549,320.5471+,8w,5.6e+05,C,2010.10,33197.75,5d3.6s2,a 4F,5/2,5d3.6s.(5P).6p,z 6P*,7/2,,T4976,L7593,
322.3826,322.3824+,300,,,5621.04,36631.15,5d3.6s2,a 4F,9/2,,366*,9/2,,,"L7593,L3475",
322.9236,,230,,,,,,,,,,,,,"L7593,L3475",
324.2048,324.2049+,200,,,3963.92,34799.71,5d3.6s2,a 4F,7/2,,347*,7/2,,,"L7593,L3475",
324.2834,324.2837+,200,,,3963.92,34792.22,5d3.6s2,a 4F,7/2,,347*,5/2,,,"L7593,L3475",
326.0182,326.0143+,70,5.8e+05,C+,0.00,30664.66,5d3.6s2,a 4F,3/2,5d3.6s.(5P).6p,y 6D*,3/2,,T4976,"L7593,L3475",
331.1162,331.1135+,1100,,,5621.04,35813.47,5d3.6s2,a 4F,9/2,,358*,11/2,,,"L7593,L3475",
331.7928,331.7915+,210,6.1e+06,C,3963.92,34094.66,5d3.6s2,a 4F,7/2,5d3.6s.(5P).6p,y 6D*,7/2,,T7871,"L7593,L3475",
331.8840,331.8847+,680,,,2010.10,32132.38,5d3.6s2,a 4F,5/2,,321*,7/2,,,"L7593,L3475",
333.7799,333.7791+,70,1.32e+06,B,2010.10,31961.42,5d3.6s2,a 4F,5/2,5d3.6s.(5P).6p,z 6P*,5/2,,T4976,"L7593,L3475",
335.847,335.8523+,230,,,11243.63,41010.07,5d4.(5D).6s,a 6D,5/2,,410*,5/2,,,"L182,L3475",
337.1539,337.1534+,640,,,3963.92,33615.49,5d3.6s2,a 4F,7/2,,336*,9/2,,,"L7593,L3475",
338.384,338.3834+,8,5.3e+05,B,2010.10,31553.89,5d3.6s2,a 4F,5/2,,315*,3/2,,T4976,L7607,
338.5053,338.5044+,360,,,3963.92,33497.15,5d3.6s2,a 4F,7/2,,334*,9/2,,,"L7593,L3475",
339.8327,339.8310+,230,,,2010.10,31428.05,5d3.6s2,a 4F,5/2,,314*,5/2,,,"L7593,L3475",
340.6935,340.6937+,450,6.8e+06,B+,0.00,29343.46,5d3.6s2,a 4F,3/2,,293*,5/2,,T4976,"L7593,L3475",
341.9748,341.9714+,75,1.91e+06,B,3963.92,33197.75,5d3.6s2,a 4F,7/2,5d3.6s.(5P).6p,z 6P*,7/2,,T4976,"L7593,L3475",
346.3771,346.3770+,230,2.62e+06,B+,0.00,28862.01,5d3.6s2,a 4F,3/2,,288*,5/2,,T4976,"L7593,L3475",
348.0516,348.0497+,490,,,6068.91,34792.22,5d3.6s2,a 4P,3/2,,347*,5/2,,,"L7593,L3475",
348.4621,348.4621+,45,8.5e+05,B,0.00,28689.31,5d3.6s2,a 4F,3/2,,286*,3/2,,T4976,"L7593,L3475",
348.8847,348.8847+,110h,7.3e+05,B,2010.10,30664.66,5d3.6s2,a 4F,5/2,5d3.6s.(5P).6p,y 6D*,3/2,,T4976,L7593,
349.7848,349.7845+,380,4.88e+06,B+,2010.10,30590.95,5d3.6s2,a 4F,5/2,,305*,7/2,,T4976,"L7593,L3475",
350.3868,350.3868+,240,5.5e+07,C,9975.81,38507.54,5d4.(5D).6s,a 6D,3/2,5d4.(5D).6p,y 6F*,1/2,,T7871,"L7593,L3475",
350.4976,350.4985+,130*,,,21622.92,50145.55,5d4.(3G).6s,a 4G,5/2,,501*,3/2,,,"L7593,L3475",
350.4976,350.4961+,130*,2.72e+06,B+,3963.92,32486.75,5d3.6s2,a 4F,7/2,5d3.6s.(5P).6p,y 6D*,5/2,,T4976,"L7593,L3475",
351.1043,351.1019+,490,5.7e+06,D+,5621.04,34094.66,5d3.6s2,a 4F,9/2,5d3.6s.(5P).6p,y 6D*,7/2,,T7871,"L7593,L3475",
351.3612,351.3611+,200,,,11792.13,40244.74,5d3.6s2,a 2P,1/2,,402*,1/2,,,"L7593,L3475",
355.3415,355.3418+,55,3.3e+05,B,0.00,28133.88,5d3.6s2,a 4F,3/2,5d3.6s.(5F).6p,y 4D*,5/2,,T4976,"L7593,L3475",
360.7406,360.7405+,750,4.63e+06,B+,2010.10,29722.95,5d3.6s2,a 4F,5/2,,297*,7/2,,T4976,"L7593,L3475",
362.5238,362.5215+,55,1.03e+06,B,5621.04,33197.75,5d3.6s2,a 4F,9/2,5d3.6s.(5P).6p,z 6P*,7/2,,T4976,"L7593,L3475",
362.6617,362.6610+,980,7.1e+06,B+,3963.92,31530.02,5d3.6s2,a 4F,7/2,,315*,9/2,,T4976,"L7593,L3475",
364.2057,364.2050+,500,5.5e+06,B+,5621.04,33070.28,5d3.6s2,a 4F,9/2,,330*,11/2,,T4976,"L7593,L3475",
