obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
,19921+,,1.68e+05,C+,79992.32,80494.31,3s2.3p3.(4S*).6d,5D*,3,3s2.3p3.(4S*).6f,5F,4,,T7952,,
,19928+,,1.35e+04,C,79992.50,80494.31,3s2.3p3.(4S*).6d,5D*,2,3s2.3p3.(4S*).6f,5F,1,,T7952,,
,19928+,,8.08e+04,C+,79992.50,80494.31,3s2.3p3.(4S*).6d,5D*,2,3s2.3p3.(4S*).6f,5F,2,,T7952,,
,19928+,,1.38e+05,C+,79992.50,80494.31,3s2.3p3.(4S*).6d,5D*,2,3s2.3p3.(4S*).6f,5F,3,,T7952,,
,19961+,,9.34e+04,C+,80494.31,80995.28,3s2.3p3.(4S*).6f,5F,5,3s2.3p3.(4S*).7d,5D*,4,,T7952,,
,19961+,,8.49e+02,D+,80494.31,80995.28,3s2.3p3.(4S*).6f,5F,3,3s2.3p3.(4S*).7d,5D*,4,,T7952,,
,19961+,,1.27e+04,C,80494.31,80995.28,3s2.3p3.(4S*).6f,5F,4,3s2.3p3.(4S*).7d,5D*,4,,T7952,,
,21072+,,1.35e+05,C+,80521.46,80996.03,3s2.3p3.(4S*).8s,3S*,1,3s2.3p3.(4S*).8p,3P,2,,T7952,,
,21091+,,1.35e+05,C,80521.46,80995.60,3s2.3p3.(4S*).8s,3S*,1,3s2.3p3.(4S*).8p,3P,0,,T7952,,
,21091+,,1.35e+05,C+,80521.46,80995.60,3s2.3p3.(4S*).8s,3S*,1,3s2.3p3.(4S*).8p,3P,1,,T7952,,
,22091+,,6.47e+04,C+,78691.37,79144.05,3s2.3p3.(4S*).5d,3D*,2,3s2.3p3.(4S*).5f,3F,3,,T7952,,
,22091+,,1.13e+04,C,78691.37,79144.05,3s2.3p3.(4S*).5d,3D*,2,3s2.3p3.(4S*).5f,3F,2,,T7952,,
,22112+,,8.06e+03,C,78691.80,79144.05,3s2.3p3.(4S*).5d,3D*,3,3s2.3p3.(4S*).5f,3F,3,,T7952,,
,22112+,,7.25e+04,C+,78691.80,79144.05,3s2.3p3.(4S*).5d,3D*,3,3s2.3p3.(4S*).5f,3F,4,,T7952,,
,22112+,,3.23e+02,D,78691.80,79144.05,3s2.3p3.(4S*).5d,3D*,3,3s2.3p3.(4S*).5f,3F,2,,T7952,,
,22147+,,6.07e+04,C+,78692.53,79144.05,3s2.3p3.(4S*).5d,3D*,1,3s2.3p3.(4S*).5f,3F,2,,T7952,,
,23795+,,1.63e+04,C,77850.740,78270.99,3s2.3p3.(4S*).6p,5P,1,3s2.3p3.(4S*).5d,5D*,2,,T7952,,
,23937+,,2.66e+04,C,77853.234,78270.99,3s2.3p3.(4S*).6p,5P,2,3s2.3p3.(4S*).5d,5D*,2,,T7952,,
,23964+,,3.04e+04,C+,77853.234,78270.52,3s2.3p3.(4S*).6p,5P,2,3s2.3p3.(4S*).5d,5D*,3,,T7952,,
,24123+,,3.00e+03,C,77856.446,78270.99,3s2.3p3.(4S*).6p,5P,3,3s2.3p3.(4S*).5d,5D*,2,,T7952,,
,24150+,,1.50e+04,C,77856.446,78270.52,3s2.3p3.(4S*).6p,5P,3,3s2.3p3.(4S*).5d,5D*,3,,T7952,,
,24175+,,4.48e+04,C+,77856.446,78270.10,3s2.3p3.(4S*).6p,5P,3,3s2.3p3.(4S*).5d,5D*,4,,T7952,,
,24466+,,9.88e+04,C+,80112.73,80521.46,3s2.3p3.(4S*).7p,3P,2,3s2.3p3.(4S*).8s,3S*,1,,T7952,,
,24922+,,5.57e+04,C+,80120.21,80521.46,3s2.3p3.(4S*).7p,3P,1,3s2.3p3.(4S*).8s,3S*,1,,T7952,,
,25151+,,1.80e+04,C,80123.86,80521.46,3s2.3p3.(4S*).7p,3P,0,3s2.3p3.(4S*).8s,3S*,1,,T7952,,
25245,25249.0,,1.40e-03,B,0.000,396.055,3s2.3p4,3P,2,3s2.3p4,3P,1,M1,T7942c84,L7246,
,25249.0,,8.27e-09,B,0.000,396.055,3s2.3p4,3P,2,3s2.3p4,3P,1,E2,T7942c84,,
,27905+,,5.19e+04,C+,81309.57,81667.93,3s2.3p3.(4S*).7f,3F,2,3s2.3p3.(4S*).8d,3D*,1,,T7952,,
,28087+,,5.73e+03,C,81309.57,81665.61,3s2.3p3.(4S*).7f,3F,2,3s2.3p3.(4S*).8d,3D*,2,,T7952,,
,28087+,,4.58e+04,C+,81309.57,81665.61,3s2.3p3.(4S*).7f,3F,3,3s2.3p3.(4S*).8d,3D*,2,,T7952,,
,28290+,,4.06e+03,C,81309.57,81663.05,3s2.3p3.(4S*).7f,3F,3,3s2.3p3.(4S*).8d,3D*,3,,T7952,,
,28290+,,4.70e+04,C+,81309.57,81663.05,3s2.3p3.(4S*).7f,3F,4,3s2.3p3.(4S*).8d,3D*,3,,T7952,,
,28290+,,1.16e+02,D,81309.57,81663.05,3s2.3p3.(4S*).7f,3F,2,3s2.3p3.(4S*).8d,3D*,3,,T7952,,
,30192+,,1.94e+04,C,80995.60,81326.81,3s2.3p3.(4S*).8p,3P,0,3s2.3p3.(4S*).9s,3S*,1,,T7952,,
,30192+,,5.82e+04,C+,80995.60,81326.81,3s2.3p3.(4S*).8p,3P,1,3s2.3p3.(4S*).9s,3S*,1,,T7952,,
,30232+,,9.66e+04,C+,80996.03,81326.81,3s2.3p3.(4S*).8p,3P,2,3s2.3p3.(4S*).9s,3S*,1,,T7952,,
,31264+,,7.09e+03,C,81308.84,81628.70,3s2.3p3.(4S*).7f,5F,4,3s2.3p3.(4S*).8d,5D*,4,,T7952,,
,31264+,,5.20e+04,C+,81308.84,81628.70,3s2.3p3.(4S*).7f,5F,5,3s2.3p3.(4S*).8d,5D*,4,,T7952,,
,31264+,,4.73e+02,D+,81308.84,81628.70,3s2.3p3.(4S*).7f,5F,3,3s2.3p3.(4S*).8d,5D*,4,,T7952,,
,31892+,,1.35e+03,C,80995.28,81308.84,3s2.3p3.(4S*).7d,5D*,4,3s2.3p3.(4S*).7f,5F,3,,T7952,,
,31892+,,1.57e+04,C+,80995.28,81308.84,3s2.3p3.(4S*).7d,5D*,4,3s2.3p3.(4S*).7f,5F,4,,T7952,,
,31892+,,9.44e+04,C+,80995.28,81308.84,3s2.3p3.(4S*).7d,5D*,4,3s2.3p3.(4S*).7f,5F,5,,T7952,,
,31947+,,6.18e+03,C,80182.16,80495.18,3s2.3p3.(4S*).6d,3D*,3,3s2.3p3.(4S*).6f,3F,3,,T7952,,
,31947+,,5.56e+04,C+,80182.16,80495.18,3s2.3p3.(4S*).6d,3D*,3,3s2.3p3.(4S*).6f,3F,4,,T7952,,
,31947+,,2.47e+02,D+,80182.16,80495.18,3s2.3p3.(4S*).6d,3D*,3,3s2.3p3.(4S*).6f,3F,2,,T7952,,
,32118+,,8.53e+03,C,80183.83,80495.18,3s2.3p3.(4S*).6d,3D*,2,3s2.3p3.(4S*).6f,3F,2,,T7952,,
,32118+,,4.87e+04,C+,80183.83,80495.18,3s2.3p3.(4S*).6d,3D*,2,3s2.3p3.(4S*).6f,3F,3,,T7952,,
,32302+,,4.53e+04,C+,80185.60,80495.18,3s2.3p3.(4S*).6d,3D*,1,3s2.3p3.(4S*).6f,3F,2,,T7952,,
,42980+,,6.29e+03,C,79185.35,79418.01,3s2.3p3.(4S*).7s,3S*,1,3s2.3p3.(2D*).4p,3P,0,,T7952,,
,43610+,,1.86e+02,D+,81080.29,81309.57,3s2.3p3.(4S*).7d,3D*,3,3s2.3p3.(4S*).7f,3F,2,,T7952,,
,43610+,,4.64e+03,C+,81080.29,81309.57,3s2.3p3.(4S*).7d,3D*,3,3s2.3p3.(4S*).7f,3F,3,,T7952,,
,43610+,,4.18e+04,C+,81080.29,81309.57,3s2.3p3.(4S*).7d,3D*,3,3s2.3p3.(4S*).7f,3F,4,,T7952,,
,44030+,,6.34e+03,C+,81082.46,81309.57,3s2.3p3.(4S*).7d,3D*,2,3s2.3p3.(4S*).7f,3F,2,,T7952,,
,44030+,,3.62e+04,C+,81082.46,81309.57,3s2.3p3.(4S*).7d,3D*,2,3s2.3p3.(4S*).7f,3F,3,,T7952,,
,44460+,,3.33e+04,C+,81084.67,81309.57,3s2.3p3.(4S*).7d,3D*,1,3s2.3p3.(4S*).7f,3F,2,,T7952,,
,45460+,,5.26e+03,C,79185.35,79405.30,3s2.3p3.(4S*).7s,3S*,1,3s2.3p3.(2D*).4p,3P,1,,T7952,,
,46230+,,2.74e+02,C,81837.45,82053.74,3s2.3p3.(4S*).8f,5F,3,3s2.3p3.(4S*).9d,5D*,4,,T7952,,
,46230+,,3.01e+04,C+,81837.45,82053.74,3s2.3p3.(4S*).8f,5F,5,3s2.3p3.(4S*).9d,5D*,4,,T7952,,
,46230+,,4.11e+03,C+,81837.45,82053.74,3s2.3p3.(4S*).8f,5F,4,3s2.3p3.(4S*).9d,5D*,4,,T7952,,
,47900+,,6.89e+02,C,81628.70,81837.45,3s2.3p3.(4S*).8d,5D*,4,3s2.3p3.(4S*).8f,5F,3,,T7952,,
,47900+,,4.83e+04,C+,81628.70,81837.45,3s2.3p3.(4S*).8d,5D*,4,3s2.3p3.(4S*).8f,5F,5,,T7952,,
,47900+,,8.04e+03,C+,81628.70,81837.45,3s2.3p3.(4S*).8d,5D*,4,3s2.3p3.(4S*).8f,5F,4,,T7952,,
,48310+,,8.81e+02,C,79785.52,79992.50,3s2.3p3.(4S*).7p,5P,3,3s2.3p3.(4S*).6d,5D*,2,,T7952,,
,48360+,,4.39e+03,C+,79785.52,79992.32,3s2.3p3.(4S*).7p,5P,3,3s2.3p3.(4S*).6d,5D*,3,,T7952,,
,48400+,,1.31e+04,C+,79785.52,79992.15,3s2.3p3.(4S*).7p,5P,3,3s2.3p3.(4S*).6d,5D*,4,,T7952,,
,52510+,,3.34e+03,C+,79185.35,79375.80,3s2.3p3.(4S*).7s,3S*,1,3s2.3p3.(2D*).4p,3P,2,,T7952,,
,56311,,3.02e-04,B,396.055,573.640,3s2.3p4,3P,1,3s2.3p4,3P,0,M1,T7942c84,,
