Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
221.4031,,,40w,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9887&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=9887&amp;type=
236.812,,,16,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
236.8384,,,12,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9887&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=9887&amp;type=
250.10,,,10,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
254.45,,,20w,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
269.30,,,12,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
271.33,,,20,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
280.342,,,15,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
280.370,,,11,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
280.53,,,12,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
293.67,,,15,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
295.04,,,20,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
296.34,,,12,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
343.0605,,,10,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9887&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=9887&amp;type=
343.123,,,12,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
365.42,,,12,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
379.2564,379.2564,0.0010,70w,,,79 091.141,-,105 451.045,6s26p6d,"(1/2,3/2)°",2,6s<sup>2</sup>6p5f,"(1/2,5/2)",3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9887&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=9887&amp;type=
381.11,,,12,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
381.58,,,20,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
384.58,,,10,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
386.4025,,,30,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9887&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=9887&amp;type=
407.9072,,,40w,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9887&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=9887&amp;type=
409.72,,,10,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
425.9413,425.9413,0.0010,75w,,,82 257.251,-,105 728.060,6s26p6d,"(1/2,5/2)°",3,6s<sup>2</sup>6p5f,"(1/2,7/2)",4,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9887&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=9887&amp;type=
427.20,,,25,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
430.1697,430.1697,0.0010,70w,,,82 049.632,-,105 289.732,6s26p6d,"(1/2,5/2)°",2,6s<sup>2</sup>6p5f,"(1/2,7/2)",3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9887&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=9887&amp;type=
433.98,,,12w,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
434.05,,,25w,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
437.94,,,12w,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
447.68,,,25w,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
470.5285,470.5285,0.0010,60w,,,84 280.446,-,105 527.197,6s26p7p,"(1/2,1/2)",1,6s<sup>2</sup>6p7d,"(1/2,3/2)°",2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9887&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=9887&amp;type=
473.0267,,,30,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9887&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=9887&amp;type=
474.97,,,20,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
490.82,,,12,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
491.66,,,10,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
496.97,,,12,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
499.36,,,20,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
509.16,,,10,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
512.4356,512.4356,0.0010,50w,,,88 771.443,-,108 280.653,6s26p7s,"(3/2,1/2)°",2,6s<sup>2</sup>6p7p,"(3/2,3/2)",3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9887&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=9887&amp;type=
514.4492,514.4507,0.0010,60w,,,69 133.891,-,88 566.685,6s26p7s,"(1/2,1/2)°",0,6s<sup>2</sup>6p7p,"(1/2,3/2)",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9887&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=9887&amp;type=
520.15,,,20,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
520.9325,520.9325,0.0010,75w,,,69 598.475,-,88 789.478,6s26p7s,"(1/2,1/2)°",1,6s<sup>2</sup>6p7p,"(1/2,3/2)",2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9887&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=9887&amp;type=
527.0512,,,40w,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9887&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=9887&amp;type=
539.78,,,10,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
565.52,,,20,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
571.9138,,,40w,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9887&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=9887&amp;type=
581.83,,,12,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
586.02,,,20,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
597.30,,,20,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
605.91,,,15,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
612.80,,,15,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
