obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 20
534.6908,0.0008,534.690+,18702.40,600,,,66883.87,85586.30,4s2.4p4.(3P<1>).5s,2[1],1/2,4s2.4p4.(3P<2>).6p,2[2]*,3/2,2,4,,,L351,
536.5682,0.0008,536.568+,18636.96,300,2.9e+04,E,67183.58,85820.53,4s2.4p4.(3P<1>).5s,2[1],3/2,4s2.4p4.(3P<2>).6p,2[3]*,5/2,4,6,,T1857n,L351,
537.1833,0.0008,537.184+,18615.62,300,5.e+04,E,67183.58,85799.19,4s2.4p4.(3P<1>).5s,2[1],3/2,4s2.4p4.(3P<2>).6p,2[1]*,1/2,4,2,,T1857n,L351,
539.6980,0.0014,539.700+,18528.88,2100hfs,,,68970.21,87499.03,4s2.4p4.(3P<0>).5s,2[0],1/2,4s2.4p4.(1D<2>).5p,2[1]*,1/2,2,2,,,L351,
546.7738,0.0009,546.774+,18289.10,1200,,,68970.21,87259.29,4s2.4p4.(3P<0>).5s,2[0],1/2,4s2.4p4.(1D<2>).5p,2[1]*,3/2,2,4,,,L351,
585.3701,0.0010,585.370+,17083.21,1800,,,74672.32,91755.54,4s2.4p4.(3P<2>).5p,2[2]*,5/2,4s2.4p4.(3P<2>).7d,2[3],7/2,6,8,,,L351,
594.2127,0.0010,594.213+,16828.99,1600,,,68970.21,85799.19,4s2.4p4.(3P<0>).5s,2[0],1/2,4s2.4p4.(3P<2>).6p,2[1]*,1/2,2,2,,,L351,
612.3834,0.0011,612.383+,16329.64,2400,,,75521.50,91851.14,4s2.4p4.(3P<2>).5p,2[3]*,7/2,4s2.4p4.(3P<2>).7d,2[4],9/2,8,10,,,L351,
615.0300,0.0011,615.027+,16259.37,40000,,,63436.45,79695.89,4s2.4p4.(3P<2>).5s,2[2],5/2,4s2.4p4.(3P<0>).5p,2[1]*,3/2,6,4,,,L351,
617.9098,0.0011,617.910+,16183.59,2000,,,75697.05,91880.64,4s2.4p4.(3P<2>).5p,2[3]*,5/2,4s2.4p4.(3P<2>).7d,2[4],7/2,6,8,,,L351,
633.7232,0.0011,633.723+,15779.76,1500,,,75009.13,90788.90,4s2.4p4.(3P<2>).5p,2[2]*,3/2,4s2.4p4.(3P<2>).8s,2[2],5/2,4,6,,,L351,
635.2486,0.0011,635.248+,15741.87,60000,2.2e+06,C,63436.45,79178.33,4s2.4p4.(3P<2>).5s,2[2],5/2,4s2.4p4.(3P<1>).5p,2[1]*,3/2,6,4,,"T6936n,T9382",L351,
641.2094,0.0012,641.209+,15595.53,2500,,,74672.32,90267.85,4s2.4p4.(3P<2>).5p,2[2]*,5/2,4s2.4p4.(3P<2>).6d,2[4],7/2,6,8,,,L351,
648.5354,0.0012,648.535+,15419.36,1800,,,75009.13,90428.50,4s2.4p4.(3P<2>).5p,2[2]*,3/2,4s2.4p4.(3P<2>).6d,2[0],1/2,4,2,,,L351,
651.6420,0.0012,651.644+,15345.85,1000,,,75009.13,90354.93,4s2.4p4.(3P<2>).5p,2[2]*,3/2,4s2.4p4.(3P<2>).6d,2[2],5/2,4,6,,,L351,
654.6379,0.0012,654.637+,15275.62,20000,,,74672.32,89947.97,4s2.4p4.(3P<2>).5p,2[2]*,5/2,4s2.4p4.(3P<2>).6d,2[3],5/2,6,6,,,L351,
654.9900,0.0012,654.990+,15267.41,1500,,,75521.50,90788.90,4s2.4p4.(3P<2>).5p,2[3]*,7/2,4s2.4p4.(3P<2>).8s,2[2],5/2,8,6,,,L351,
656.1611,0.0018,656.159+,15240.16,50000c,7.0e+05,C,63436.45,78676.65,4s2.4p4.(3P<2>).5s,2[2],5/2,4s2.4p4.(3P<1>).5p,2[2]*,3/2,6,4,,"T6936n,T9382",L351,
657.3127,0.0012,657.312+,15213.46,1000,,,76743.08,91956.55,4s2.4p4.(3P<2>).5p,2[1]*,3/2,4s2.4p4.(3P<2>).7d,2[2],5/2,4,6,,,L351,
658.0956,0.0012,658.095+,15195.36,1800,,,74672.32,89867.69,4s2.4p4.(3P<2>).5p,2[2]*,5/2,4s2.4p4.(3P<2>).6d,2[1],3/2,6,4,,,L351,
658.3989,0.0012,658.398+,15188.36,20000,,,74672.32,89860.70,4s2.4p4.(3P<2>).5p,2[2]*,5/2,4s2.4p4.(3P<2>).6d,2[3],7/2,6,8,,,L351,
662.2297,0.0012,662.230+,15100.50,1500,,,75697.05,90797.55,4s2.4p4.(3P<2>).5p,2[3]*,5/2,4s2.4p4.(3P<2>).8s,2[2],3/2,6,4,,,L351,
663.3450,0.0018,663.343+,15075.11,50000c,7.0e+05,C,63436.45,78511.60,4s2.4p4.(3P<2>).5s,2[2],5/2,4s2.4p4.(3P<1>).5p,2[2]*,5/2,6,6,,"T6936n,T9382",L351,
668.4126,0.0012,668.412+,14960.82,20000,,,64907.19,79868.03,4s2.4p4.(3P<2>).5s,2[2],3/2,4s2.4p4.(3P<0>).5p,2[1]*,1/2,4,2,,,L351,
669.3978,0.0013,669.396+,14938.80,10000,,,75009.13,89947.97,4s2.4p4.(3P<2>).5p,2[2]*,3/2,4s2.4p4.(3P<2>).6d,2[3],5/2,4,6,,,L351,
673.0136,0.0013,673.013+,14858.54,8000,,,75009.13,89867.69,4s2.4p4.(3P<2>).5p,2[2]*,3/2,4s2.4p4.(3P<2>).6d,2[1],3/2,4,4,,,L351,
676.1924,0.0013,676.192+,14788.69,2000,,,64907.19,79695.89,4s2.4p4.(3P<2>).5s,2[2],3/2,4s2.4p4.(3P<0>).5p,2[1]*,3/2,4,4,,,L351,
678.1353,0.0013,678.134+,14746.32,2000,,,75521.50,90267.85,4s2.4p4.(3P<2>).5p,2[3]*,7/2,4s2.4p4.(3P<2>).6d,2[4],7/2,8,8,,,L351,
678.8613,0.0013,678.859+,14730.55,2200,,,75697.05,90427.64,4s2.4p4.(3P<2>).5p,2[3]*,5/2,4s2.4p4.(3P<1>).5d,2[3],7/2,6,8,,,L351,
679.1914,0.0013,679.191+,14723.39,6500,,,75521.50,90244.89,4s2.4p4.(3P<2>).5p,2[3]*,7/2,4s2.4p4.(3P<2>).6d,2[4],9/2,8,10,,,L351,
679.3353,0.0018,679.335+,14720.27,1600c,,,75009.13,89729.40,4s2.4p4.(3P<2>).5p,2[2]*,3/2,4s2.4p4.(3P<2>).6d,2[1],1/2,4,2,,,L351,
686.3041,0.0013,686.304+,14570.80,1800,,,75697.05,90267.85,4s2.4p4.(3P<2>).5p,2[3]*,5/2,4s2.4p4.(3P<2>).6d,2[4],7/2,6,8,,,L351,
