obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""369.8074""","=""0.0010""","=""369.80738+""","=""28""","=""1.48e+07""",B,"=""25707.071""","=""52740.482""","=""4d6""","=""c 5D""","=""3""","=""""","=""62*""","=""2""",,"=""T5293""","=""L10250""",
"=""370.2030""","=""0.0010""","=""370.20306+""","=""220*""","=""6.2e+06""",B,"=""16692.905""","=""43697.423""","=""4d5.(4G).5s""","=""a 5G""","=""3""","=""4d4.5s.(4H).5p""","=""y 5H*""","=""3""",,"=""T5293""","=""L10250,L3475""",
"=""370.203""","=""0.010""","=""370.2031+""","=""220*""","=""""",,"=""22875.942""","=""49880.46?""","=""4d4.5s2""","=""a 3P""","=""2""","=""""","=""31*""","=""2""",,"=""""","=""L3475""",
"=""370.8551""","=""0.0010""","=""370.85514+""","=""80""","=""1.28e+07""",B,"=""23668.079""","=""50625.116""","=""4d4.5s2""","=""a 3F""","=""3""","=""""","=""33*""","=""4""",,"=""T5293""","=""L10250,L3475""",
"=""371.5646""","=""0.0010""","=""371.56461+""","=""197""","=""8.3e+06""",B,"=""16692.905""","=""43598.471""","=""4d5.(4G).5s""","=""a 5G""","=""3""","=""4d4.5s.(4H).5p""","=""z 5I*""","=""4""",,"=""T5293""","=""L10250""",
"=""371.5676""","=""0.0010""","=""371.56754+""","=""12""","=""1.99e+06""",B,"=""20280.968""","=""47186.322""","=""4d5.(4D).5s""","=""b 5D""","=""2""","=""4d4.5s.(4F).5p""","=""y 5G*""","=""2""",,"=""T5293""","=""L10250""",
"=""371.8475""","=""0.0010""","=""371.84754+""","=""55""","=""1.34e+07""",B,"=""26758.660""","=""53643.755""","=""4d5.(2D).5s""","=""b 3D""","=""2""","=""""","=""80*""","=""3""",,"=""T5293""","=""L10250,L3475""",
"=""371.9551""","=""0.0010""","=""371.95516+""","=""120""","=""2.24e+07""",B,"=""25905.490""","=""52782.806""","=""4d5.(4F).5s""","=""a 5F""","=""5""","=""""","=""63.1*""","=""6""",,"=""T5293""","=""L10250,L3475""",
"=""372.0250""","=""0.0010""","=""372.02508+""","=""70""","=""2.86e+07""",B,"=""25707.071""","=""52579.336""","=""4d6""","=""c 5D""","=""3""","=""""","=""60*""","=""4""",,"=""T5293""","=""L10250,L3475""",
"=""372.5553""","=""0.0010""","=""372.55539+""","=""180""","=""1.60e+07""",B,"=""20350.507""","=""47184.522""","=""4d5.(4D).5s""","=""b 5D""","=""3""","=""4d5.(2D).5p""","=""w 3D*""","=""3""",,"=""T5293""","=""L10250,L3475""",
"=""372.7679""","=""0.0010""","=""372.76790+""","=""500""","=""1.51e+07""",B,"=""16747.720""","=""43566.437""","=""4d5.(4G).5s""","=""a 5G""","=""4""","=""""","=""3.4*""","=""5""",,"=""T5293""","=""L10250,L3475""",
"=""372.8296""","=""0.0010""","=""372.82956+""","=""48""","=""1.55e+07""",B,"=""23668.079""","=""50482.361""","=""4d4.5s2""","=""a 3F""","=""3""","=""""","=""32*""","=""2""",,"=""T5293""","=""L10250""",
"=""372.8342""","=""0.0010""","=""372.83419+""","=""17""","=""7.2e+05""",B,"=""16784.522""","=""43598.471""","=""4d5.(4G).5s""","=""a 5G""","=""5""","=""4d4.5s.(4H).5p""","=""z 5I*""","=""4""",,"=""T5293""","=""L10250""",
"=""372.8497""","=""0.0010""","=""372.84977+""","=""150""","=""2.20e+07""",B,"=""21618.630""","=""48431.459""","=""4d5.(4D).5s""","=""a 3D""","=""3""","=""""","=""24.1*""","=""4""",,"=""T5293""","=""L10250,L3475""",
"=""373.2709""","=""0.0010""","=""373.27087+""","=""180""","=""6.2e+06""",B,"=""16783.856""","=""43566.437""","=""4d5.(4G).5s""","=""a 5G""","=""6""","=""""","=""3.4*""","=""5""",,"=""T5293""","=""L10250""",
"=""373.3024""","=""0.0010""","=""373.30244+""","=""120""","=""1.45e+07""",B,"=""21618.630""","=""48398.946""","=""4d5.(4D).5s""","=""a 3D""","=""3""","=""4d5.(2F).5p""","=""v 3F*""","=""3""",,"=""T5293""","=""L10250,L3475""",
"=""373.3406""","=""0.0010""","=""373.34060+""","=""80""","=""2.80e+07""",B,"=""30113.151""","=""56890.730""","=""4d5.(2H).5s""","=""b 3H""","=""6""","=""""","=""105*""","=""6""",,"=""T5293""","=""L10250,L3475""",
"=""373.5617""","=""0.0010""","=""373.56170+""","=""80""","=""1.66e+07""",B+,"=""25905.490""","=""52667.220""","=""4d5.(4F).5s""","=""a 5F""","=""5""","=""""","=""61*""","=""5""",,"=""T5293""","=""L10250,L3475""",
"=""374.2282""","=""0.0010""","=""374.22825+""","=""240""","=""1.56e+07""",B,"=""20350.507""","=""47064.572""","=""4d5.(4D).5s""","=""b 5D""","=""3""","=""""","=""12*""","=""3""",,"=""T5293""","=""L10250,L3475""",
"=""374.7186""","=""0.0010""","=""374.71860+""","=""110""","=""3.07e+07""",B,"=""25794.608""","=""52473.717""","=""4d6""","=""c 5D""","=""2""","=""""","=""59.1*""","=""3""",,"=""T5293""","=""L10250,L3475""",
"=""374.8481""","=""0.0010""","=""374.84823+""","=""150*""","=""3.95e+07""",B+,"=""25997.337""","=""52667.220""","=""4d5.(4F).5s""","=""a 5F""","=""4""","=""""","=""61*""","=""5""",,"=""T5293""","=""L10250,L3475""",
"=""374.849""","=""0.010""","=""374.84868+""","=""150*""","=""""",,"=""26635.820""","=""53305.671""","=""4d4.5s2""","=""a 1G""","=""4""","=""""","=""73*""","=""3""",,"=""""","=""L3475""",
"=""375.5099""","=""0.0010""","=""375.50993+""","=""140""","=""1.41e+07""",B,"=""25820.622""","=""52443.510""","=""4d6""","=""c 5D""","=""1""","=""""","=""58*""","=""2""",,"=""T5293""","=""L10250,L3475""",
"=""375.5160""","=""0.0010""","=""375.51597+""","=""65""","=""2.48e+07""",B,"=""27341.925""","=""53964.385""","=""4d4.5s2""","=""b 3G""","=""4""","=""""","=""85*""","=""4""",,"=""T5293""","=""L10250""",
"=""375.8521""","=""0.0010""","=""375.85204+""","=""180""","=""1.22e+07""",B,"=""20157.802""","=""46756.458""","=""4d5.(4D).5s""","=""b 5D""","=""4""","=""4d5.(4F).5p""","=""v 5F*""","=""4""",,"=""T5293""","=""L10250,L3475""",
"=""375.9605""","=""0.0010""","=""375.96054+""","=""30""","=""1.82e+07""",B,"=""26635.820""","=""53226.800""","=""4d4.5s2""","=""a 1G""","=""4""","=""""","=""71*""","=""3""",,"=""T5293""","=""L10250,L3475""",
"=""376.0876""","=""0.0010""","=""376.08756+""","=""90""","=""2.16e+07""",B,"=""25997.337""","=""52579.336""","=""4d5.(4F).5s""","=""a 5F""","=""4""","=""""","=""60*""","=""4""",,"=""T5293""","=""L10250,L3475""",
"=""376.8734""","=""0.0010""","=""376.87347+""","=""65""","=""2.88e+07""",B,"=""27765.594""","=""54292.162""","=""4d5.(2F).5s""","=""b 3F""","=""4""","=""""","=""87*""","=""4""",,"=""T5293""","=""L10250,L3475""",
"=""376.9989""","=""0.0010""","=""376.99894+""","=""60""","=""2.46e+07""",B,"=""27774.422""","=""54292.162""","=""4d5.(2F).5s""","=""b 3F""","=""3""","=""""","=""87*""","=""4""",,"=""T5293""","=""L10250""",
"=""377.0444""","=""0.0010""","=""377.04448+""","=""360""","=""2.96e+06""",B+,"=""16784.522""","=""43299.059""","=""4d5.(4G).5s""","=""a 5G""","=""5""","=""4d5.(4D).5p""","=""x 5F*""","=""5""",,"=""T5293""","=""L10250,L3475""",
"=""377.7720""","=""0.0010""","=""377.77207+""","=""65""","=""1.66e+07""",B,"=""28241.014""","=""54704.485""","=""4d5.(2I).5s""","=""a 1I""","=""6""","=""""","=""92*""","=""5""",,"=""T5293""","=""L10250,L3475""",
"=""377.9765""","=""0.0010""","=""377.97654+""","=""220""","=""5.9e+06""",B,"=""16747.720""","=""43196.876""","=""4d5.(4G).5s""","=""a 5G""","=""4""","=""4d5.(4G).5p""","=""z 3G*""","=""4""",,"=""T5293""","=""L10250,L3475""",
"=""378.1591""","=""0.0010""","=""378.15906+""","=""360""","=""4.71e+06""",A,"=""11142.784""","=""37579.174""","=""4d4.5s2""","=""a 5D""","=""1""","=""4d4.5s.(6D).5p""","=""z 5D*""","=""2""",,"=""T5293""","=""L10250,L3475""",
"=""378.8254""","=""0.0010""","=""378.82540+""","=""90""","=""2.87e+07""",B,"=""26189.445""","=""52579.336""","=""4d5.(4F).5s""","=""a 5F""","=""3""","=""""","=""60*""","=""4""",,"=""T5293""","=""L10250,L3475""",
"=""379.4428""","=""0.0010""","=""379.44286+""","=""90""","=""1.22e+07""",B,"=""23516.476""","=""49863.424""","=""4d4.5s2""","=""a 3F""","=""4""","=""4d4.5s.(4G).5p""","=""w 3G*""","=""4""",,"=""T5293""","=""L10250,L3475""",
