obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref,Unnamed: 11
502.091,,19916.7,40,,,,,,,L3475,
502.776,,19889.6,150,,,,,,,L3475,
503.153,,19874.7,40,,,,,,,L3475,
504.045,,19839.5,210,,,,,,,L3475,
504.937,,19804.5,40,,,,,,,L3475,
505.942,,19765.1,170,,,,,,,L3475,
506.076,,19759.9,65,,,,,,,L3475,
506.666,,19736.9,130,,,,,,,L3475,
507.882,,19689.6,40,,,,,,,L3475,
508.038,,19683.6,750,,,,,,,L3475,
509.583,,19623.9,40c,,,,,,,L3475,
509.672,,19620.5,420,,,,,,,L3475,
510.158,,19601.8,170,,,,,,,L3475,
512.173,,19524.7,170,,,,,,,L3475,
512.323,,19518.9,85,,,,,,,L3475,
512.909,,19496.6,85,,,,,,,L3475,
513.477,,19475.1,40,,,,,,,L3475,
513.618,,19469.7,210,,,,,,,L3475,
514.201,,19447.6,75,,,,,,,L3475,
514.897,,19421.3,75,,,,,,,L3475,
515.207,,19409.7,40,,,,,,,L3475,
515.407,,19402.2,75,,,,,,,L3475,
516.177,,19373.2,250,,,,,,,L3475,
516.582,,19358.0,250,,,,,,,L3475,
518.175,,19298.5,230,,,,,,,L3475,
518.842,,19273.7,110,,,,,,,L3475,
519.065,,19265.4,190,,,,,,,L3475,
519.453,,19251.0,170,,,,,,,L3475,
519.729,,19240.8,150,,,,,,,L3475,
520.467,,19213.5,65,,,,,,,L3475,
520.658,,19206.5,35,,,,,,,L3475,
522.055,,19155.1,85c,,,,,,,L3475,
522.661,,19132.8,65,,,,,,,L3475,
523.427,,19104.9,150,,,,,,,L3475,
523.889,,19088.0,85c,,,,,,,L3475,
524.185,,19077.2,29,,,,,,,L3475,
525.308,,19036.4,150bl,,,,,,,L3475,
525.327,,19035.8,,,,,,,,L3475,
525.449,,19031.3,75,,,,,,,L3475,
525.539,,19028.1,85,,,,,,,L3475,
527.139,,18970.3,50,,,,,,,L3475,
527.300,,18964.5,270,,,,,,,L3475,
527.395,,18961.1,25,,,,,,,L3475,
527.767,,18947.8,130c,,,,,,,L3475,
528.090,,18936.2,29c,,,,,,,L3475,
528.673,,18915.3,50,,,,,,,L3475,
529.781,,18875.7,35,,,,,,,L3475,
531.703,,18807.5,50,,,,,,,L3475,
531.849,,18802.3,17,,,,,,,L3475,
532.008,,18796.7,250,,,,,,,L3475,
532.097,,18793.6,50,,,,,,,L3475,
533.635,,18739.4,75,,,,,,,L3475,
533.829,,18732.6,25,,,,,,,L3475,
534.229,,18718.6,50,,,,,,,L3475,
534.507,,18708.8,25,,,,,,,L3475,
534.566,,18706.8,460,,,,,,,L3475,
535.223,,18683.8,340,,,,,,,L3475,
535.477,,18674.9,40,,,,,,,L3475,
