"=""227.5304""","=""0.0004""","=""227.52210""","=""0.00013""","=""""","=""6.6e+06""",B',"=""0.000""","=""43938.201""","=""5s2""","=""1S""","=""0""","=""5s.10p""","=""1P*""","=""1""",,"=""T3039""","=""L7603""",
"=""230.7264""","=""0.0004""","=""230.7264""","=""0.0004""","=""""","=""1.15e+07""",B',"=""0.000""","=""43328.04""","=""5s2""","=""1S""","=""0""","=""5s.9p""","=""1P*""","=""1""",,"=""T3039""","=""L7603""",
"=""235.4319""","=""0.0004""","=""235.43190""","=""0.00008""","=""80""","=""1.8e+07""",C+,"=""0.000""","=""42462.136""","=""5s2""","=""1S""","=""0""","=""5s.8p""","=""1P*""","=""1""",,"=""T3039""","=""L7362""",
"=""242.8095""","=""0.0003""","=""242.80949""","=""0.00008""","=""160""","=""1.7e+07""",C+,"=""0.000""","=""41172.054""","=""5s2""","=""1S""","=""0""","=""4d.5p""","=""1P*""","=""1""",,"=""T3039""","=""L7362""",
"=""256.9469""","=""0.0002""","=""256.94711""","=""0.00007""","=""40""","=""5.3e+06""",B,"=""0.000""","=""38906.858""","=""5s2""","=""1S""","=""0""","=""5s.7p""","=""1P*""","=""1""",,"=""T3039""","=""L7362""",
"=""293.1830""","=""0.0003""","=""293.18309""","=""0.00005""","=""130""","=""1.9e+06""",C+,"=""0.000""","=""34098.404""","=""5s2""","=""1S""","=""0""","=""5s.6p""","=""1P*""","=""1""",,"=""T3039""","=""L7362""",
"=""317.228""","=""0.002""","=""317.235""","=""0.005""","=""w""","=""""",,"=""18218.784""","=""49732.0""","=""5s.4d""","=""3D""","=""2""","=""4d.6p""","=""3P*""","=""2""",,"=""""","=""L7603""",
"=""317.903""","=""0.002""","=""317.9035""","=""0.0014""","=""""","=""""",,"=""18218.784""","=""49665.77""","=""5s.4d""","=""3D""","=""2""","=""4d.6p""","=""3D*""","=""3""",,"=""""","=""L7603""",
"=""318.258""","=""0.002""","=""318.250""","=""0.005""","=""w""","=""""",,"=""18319.261""","=""49732.0""","=""5s.4d""","=""3D""","=""3""","=""4d.6p""","=""3P*""","=""2""",,"=""""","=""L7603""",
"=""318.387""","=""0.002""","=""318.3868""","=""0.0012""","=""""","=""""",,"=""18159.040""","=""49558.30""","=""5s.4d""","=""3D""","=""1""","=""4d.6p""","=""3D*""","=""2""",,"=""""","=""L7603""",
"=""318.923""","=""0.002""","=""318.9226""","=""0.0014""","=""""","=""""",,"=""18319.261""","=""49665.77""","=""5s.4d""","=""3D""","=""3""","=""4d.6p""","=""3D*""","=""3""",,"=""""","=""L7603""",
"=""318.994""","=""0.002""","=""318.9937""","=""0.0012""","=""""","=""""",,"=""18218.784""","=""49558.30""","=""5s.4d""","=""3D""","=""2""","=""4d.6p""","=""3D*""","=""2""",,"=""""","=""L7603""",
"=""319.900""","=""0.002""","=""319.8991""","=""0.0014""","=""""","=""""",,"=""18159.040""","=""49409.86""","=""5s.4d""","=""3D""","=""1""","=""4d.6p""","=""3D*""","=""1""",,"=""""","=""L7603""",
"=""320.020""","=""0.002""","=""320.0198""","=""0.0012""","=""""","=""""",,"=""18319.261""","=""49558.30""","=""5s.4d""","=""3D""","=""3""","=""4d.6p""","=""3D*""","=""2""",,"=""""","=""L7603""",
"=""320.511""","=""0.002""","=""320.5119""","=""0.0014""","=""""","=""""",,"=""18218.784""","=""49409.86""","=""5s.4d""","=""3D""","=""2""","=""4d.6p""","=""3D*""","=""1""",,"=""""","=""L7603""",
"=""330.1734""","=""0.0005""","=""330.17324""","=""0.00010""","=""420h""","=""5.9e+07""",B',"=""14317.507""","=""44595.920""","=""5s.5p""","=""3P*""","=""0""","=""4d2""","=""3P""","=""1""",,"=""T2979""","=""L7362""",
"=""330.7534""","=""0.0005""","=""330.75352""","=""0.00011""","=""430""","=""""",,"=""14504.334""","=""44729.627""","=""5s.5p""","=""3P*""","=""1""","=""4d2""","=""3P""","=""2""",,"=""""","=""L7362""",
"=""332.2231""","=""0.0005""","=""332.22322""","=""0.00010""","=""260""","=""""",,"=""14504.334""","=""44595.920""","=""5s.5p""","=""3P*""","=""1""","=""4d2""","=""3P""","=""1""",,"=""""","=""L7362""",
"=""332.9988""","=""0.0005""","=""332.99879""","=""0.00012""","=""270""","=""""",,"=""14504.334""","=""44525.838""","=""5s.5p""","=""3P*""","=""1""","=""4d2""","=""3P""","=""0""",,"=""""","=""L7362""",
"=""335.1246""","=""0.0005""","=""335.12450""","=""0.00012""","=""1400""","=""""",,"=""14898.545""","=""44729.627""","=""5s.5p""","=""3P*""","=""2""","=""4d2""","=""3P""","=""2""",,"=""""","=""L7362""",
"=""336.6333""","=""0.0005""","=""336.63339""","=""0.00011""","=""500""","=""""",,"=""14898.545""","=""44595.920""","=""5s.5p""","=""3P*""","=""2""","=""4d2""","=""3P""","=""1""",,"=""""","=""L7362""",
"=""349.9672""","=""0.0004""","=""349.96720""","=""0.00012""","=""200h""","=""""",,"=""14504.334""","=""43070.268""","=""5s.5p""","=""3P*""","=""1""","=""5s.8d""","=""3D""","=""2""",,"=""""","=""L7362""",
"=""354.8083""","=""0.0004""","=""354.80831""","=""0.00014""","=""190h""","=""""",,"=""14898.545""","=""43074.728""","=""5s.5p""","=""3P*""","=""2""","=""5s.8d""","=""3D""","=""3""",,"=""""","=""L7362""",
"=""357.7243""","=""0.0005""","=""357.720""","=""0.004""","=""30h""","=""""",,"=""14504.334""","=""42451.16""","=""5s.5p""","=""3P*""","=""1""","=""5s.9s""","=""3S""","=""1""",,"=""""","=""L7362""",
"=""362.8345""","=""0.0005""","=""362.839""","=""0.005""","=""40h""","=""""",,"=""14898.545""","=""42451.16""","=""5s.5p""","=""3P*""","=""2""","=""5s.9s""","=""3S""","=""1""",,"=""""","=""L7362""",
"=""362.9144""","=""0.0003""","=""362.91449""","=""0.00011""","=""150h""","=""""",,"=""14317.507""","=""41864.354""","=""5s.5p""","=""3P*""","=""0""","=""5s.7d""","=""3D""","=""1""",,"=""""","=""L7362""",
"=""363.9902""","=""0.0005""","=""363.9902""","=""0.0005""","=""60""","=""""",,"=""18159.040""","=""45624.48""","=""5s.4d""","=""3D""","=""1""","=""5s.19f""","=""3F*""","=""2""",,"=""""","=""L4447""",
"=""364.3838""","=""0.0005""","=""364.3838""","=""0.0005""","=""70bl""","=""""",,"=""18218.784""","=""45654.56""","=""5s.4d""","=""3D""","=""2""","=""5s.20f""","=""3F*""","=""3""",,"=""""","=""L4447""",
"=""364.4595""","=""0.0005""","=""364.4596""","=""0.0005""","=""60""","=""""",,"=""18159.040""","=""45589.11""","=""5s.4d""","=""3D""","=""1""","=""5s.18f""","=""3F*""","=""2""",,"=""""","=""L4447""",
"=""364.7830""","=""0.0005""","=""364.7830""","=""0.0005""","=""90""","=""""",,"=""18218.784""","=""45624.53""","=""5s.4d""","=""3D""","=""2""","=""5s.19f""","=""3F*""","=""3""",,"=""""","=""L4447""",
"=""365.0159""","=""0.0005""","=""365.0159""","=""0.0005""","=""80""","=""""",,"=""18159.040""","=""45547.30""","=""5s.4d""","=""3D""","=""1""","=""5s.17f""","=""3F*""","=""2""",,"=""""","=""L4447""",
"=""365.2533""","=""0.0005""","=""365.2533""","=""0.0005""","=""90""","=""""",,"=""18218.784""","=""45589.25""","=""5s.4d""","=""3D""","=""2""","=""5s.18f""","=""3F*""","=""3""",,"=""""","=""L4447""",
"=""365.3270""","=""0.0002""","=""365.32706""","=""0.00014""","=""180h""","=""""",,"=""14504.334""","=""41869.270""","=""5s.5p""","=""3P*""","=""1""","=""5s.7d""","=""3D""","=""2""",,"=""""","=""L7362""",
"=""365.3928""","=""0.0004""","=""365.39271""","=""0.00011""","=""50h""","=""""",,"=""14504.334""","=""41864.354""","=""5s.5p""","=""3P*""","=""1""","=""5s.7d""","=""3D""","=""1""",,"=""""","=""L7362""",
"=""365.6819""","=""0.0005""","=""365.6819""","=""0.0005""","=""80""","=""""",,"=""18159.040""","=""45497.42""","=""5s.4d""","=""3D""","=""1""","=""5s.16f""","=""3F*""","=""2""",,"=""""","=""L4447""",
"=""365.7213""","=""0.0005""","=""365.7213""","=""0.0005""","=""80""","=""""",,"=""18319.261""","=""45654.70""","=""5s.4d""","=""3D""","=""3""","=""5s.20f""","=""3F*""","=""4""",,"=""""","=""L4447""",
"=""365.8125""","=""0.0005""","=""365.8125""","=""0.0005""","=""100""","=""""",,"=""18218.784""","=""45547.41""","=""5s.4d""","=""3D""","=""2""","=""5s.17f""","=""3F*""","=""3""",,"=""""","=""L4447""",
"=""366.1267""","=""0.0005""","=""366.1267""","=""0.0005""","=""100""","=""""",,"=""18319.261""","=""45624.43""","=""5s.4d""","=""3D""","=""3""","=""5s.19f""","=""3F*""","=""4""",,"=""""","=""L4447""",
"=""366.4827""","=""0.0005""","=""366.4827""","=""0.0005""","=""110""","=""""",,"=""18218.784""","=""45497.43""","=""5s.4d""","=""3D""","=""2""","=""5s.16f""","=""3F*""","=""3""",,"=""""","=""L4447""",
"=""366.4907""","=""0.0005""","=""366.4907""","=""0.0005""","=""90""","=""""",,"=""18159.040""","=""45437.09""","=""5s.4d""","=""3D""","=""1""","=""5s.15f""","=""3F*""","=""2""",,"=""""","=""L4447""",
"=""366.5993""","=""0.0005""","=""366.5993""","=""0.0005""","=""120""","=""""",,"=""18319.261""","=""45589.23""","=""5s.4d""","=""3D""","=""3""","=""5s.18f""","=""3F*""","=""4""",,"=""""","=""L4447""",
"=""367.1627""","=""0.0005""","=""367.1627""","=""0.0005""","=""120""","=""""",,"=""18319.261""","=""45547.39""","=""5s.4d""","=""3D""","=""3""","=""5s.17f""","=""3F*""","=""4""",,"=""""","=""L4447""",
"=""367.2951""","=""0.0005""","=""367.2951""","=""0.0005""","=""120""","=""""",,"=""18218.784""","=""45437.10""","=""5s.4d""","=""3D""","=""2""","=""5s.15f""","=""3F*""","=""3""",,"=""""","=""L4447""",
"=""367.4859""","=""0.0005""","=""367.4859""","=""0.0005""","=""80""","=""""",,"=""18159.040""","=""45363.22""","=""5s.4d""","=""3D""","=""1""","=""5s.14f""","=""3F*""","=""2""",,"=""""","=""L4447""",
"=""367.8368""","=""0.0005""","=""367.8368""","=""0.0005""","=""140""","=""""",,"=""18319.261""","=""45497.49""","=""5s.4d""","=""3D""","=""3""","=""5s.16f""","=""3F*""","=""4""",,"=""""","=""L4447""",
"=""368.2919""","=""0.0005""","=""368.2919""","=""0.0005""","=""130""","=""""",,"=""18218.784""","=""45363.43""","=""5s.4d""","=""3D""","=""2""","=""5s.14f""","=""3F*""","=""3""",,"=""""","=""L4447""",
"=""368.6559""","=""0.0005""","=""368.6559""","=""0.0005""","=""140""","=""""",,"=""18319.261""","=""45437.11""","=""5s.4d""","=""3D""","=""3""","=""5s.15f""","=""3F*""","=""4""",,"=""""","=""L4447""",
"=""368.7261""","=""0.0005""","=""368.7262""","=""0.0005""","=""90""","=""""",,"=""18159.040""","=""45271.72""","=""5s.4d""","=""3D""","=""1""","=""5s.13f""","=""3F*""","=""2""",,"=""""","=""L4447""",
"=""369.5409""","=""0.0005""","=""369.5409""","=""0.0005""","=""150""","=""""",,"=""18218.784""","=""45271.69""","=""5s.4d""","=""3D""","=""2""","=""5s.13f""","=""3F*""","=""3""",,"=""""","=""L4447""",
"=""369.6613""","=""0.0005""","=""369.6614""","=""0.0005""","=""150""","=""""",,"=""18319.261""","=""45363.35""","=""5s.4d""","=""3D""","=""3""","=""5s.14f""","=""3F*""","=""4""",,"=""""","=""L4447""",
"=""370.3078""","=""0.0005""","=""370.3078""","=""0.0006""","=""100""","=""""",,"=""18159.040""","=""45155.92""","=""5s.4d""","=""3D""","=""1""","=""5s.12f""","=""3F*""","=""2""",,"=""""","=""L4447""",
"=""370.5901""","=""0.0002""","=""370.59012""","=""0.00015""","=""250h""","=""""",,"=""14898.545""","=""41874.859""","=""5s.5p""","=""3P*""","=""2""","=""5s.7d""","=""3D""","=""3""",,"=""""","=""L7362""",
