obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""2836.629""","=""0.010""","=""2836.636""","=""0.005""","=""3""","=""""",,"=""35174.502""","=""38699.805""","=""3d4""","=""3F2""","=""3""","=""3d3.(2P).4p""","=""t 3D*""","=""2""",,"=""""","=""L10989""",
"=""2838.766""","=""0.010""","=""2838.775""","=""0.005""","=""3""","=""""",,"=""35242.198""","=""38764.844""","=""3d4""","=""3F2""","=""4""","=""3d3.(2P).4p""","=""t 3D*""","=""3""",,"=""""","=""L10989""",
"=""2843.499""","=""0.010""","=""2843.506""","=""0.007""","=""14""","=""""",,"=""37824.758""","=""41341.543""","=""3d2.4s.(4F).5s""","=""e 3F""","=""4""","=""3d3.(2H).4p""","=""3G*""","=""5""",,"=""""","=""L10989""",
"=""2843.62""","=""0.02""","=""2843.577""","=""0.006""","=""5q""","=""""",,"=""42376.495""","=""45893.192""","=""3d2.4s.(4F).5p""","=""5D*""","=""3""","=""3d2.4s.(4F).6s""","=""h 5F""","=""3""",,"=""""","=""L10989""",
"=""2844.467""","=""0.010""","=""2844.476""","=""0.006""","=""3""","=""""",,"=""31829.969""","=""35345.555""","=""3d2.(1G).4s.4p.(3P*)""","=""z 3H*""","=""4""","=""3d4""","=""3H""","=""4""",,"=""""","=""L10989""",
"=""2848.990""","=""0.010""","=""2848.991""","=""0.005""","=""3""","=""""",,"=""37659.992""","=""41170.006""","=""3d2.4s.(4F).5s""","=""e 3F""","=""3""","=""3d3.(2H).4p""","=""3G*""","=""3""",,"=""""","=""L10989""",
"=""2850.259""","=""0.010""","=""2850.257""","=""0.004""","=""3""","=""""",,"=""38544.316""","=""42052.7717""","=""3d3.(2G).4p""","=""t 3F*""","=""3""","=""3d2.4s.(4F).4d""","=""e 5D""","=""3""",,"=""""","=""L10989""",
"=""2855.336""","=""0.010""","=""2855.329""","=""0.008""","=""3""","=""""",,"=""42505.322""","=""46007.545""","=""3d2.4s.(4F).5p""","=""5D*""","=""4""","=""3d2.4s.(4F).6s""","=""h 5F""","=""4""",,"=""""","=""L10989""",
"=""2858.019""","=""0.010""","=""2858.019""","=""0.003""","=""5""","=""""",,"=""38670.723""","=""42169.6496""","=""3d3.(2G).4p""","=""t 3F*""","=""4""","=""3d2.4s.(4F).4d""","=""3G""","=""5""",,"=""""","=""L10989""",
"=""2868.662""","=""0.010""","=""2868.663""","=""0.006""","=""3""","=""""",,"=""31914.291""","=""35400.235""","=""3d2.(1G).4s.4p.(3P*)""","=""z 3H*""","=""5""","=""3d4""","=""3H""","=""5""",,"=""""","=""L10989""",
"=""2873.271""","=""0.010""","=""2873.277""","=""0.003""","=""12""","=""""",,"=""21588.495""","=""25068.842""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3G*""","=""4""","=""3d3.(2F).4s""","=""3F""","=""3""",,"=""""","=""L10989""",
"=""2877.921""","=""0.010""","=""2877.912""","=""0.003""","=""6""","=""""",,"=""15220.393""","=""18695.134""","=""3d3.(2G).4s""","=""a 3G""","=""5""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5D*""","=""4""",,"=""""","=""L10989""",
"=""2893.552""","=""0.010""","=""2893.558""","=""0.008""","=""3""","=""""",,"=""32013.544""","=""35469.497""","=""3d2.(1G).4s.4p.(3P*)""","=""z 3H*""","=""6""","=""3d4""","=""3H""","=""6""",,"=""""","=""L10989""",
"=""2899.457""","=""0.010""","=""2899.467""","=""0.005""","=""3""","=""""",,"=""21588.495""","=""25037.405""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3G*""","=""4""","=""3d3.(2F).4s""","=""3F""","=""4""",,"=""""","=""L10989""",
"=""2900.874""","=""0.010""","=""2900.880""","=""0.004""","=""550""","=""8.60e+04""",B,"=""18141.265""","=""21588.495""","=""3d3.(2H).4s""","=""a 3H""","=""5""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3G*""","=""4""",,"=""T8000""","=""L10989""",
"=""2903.420""","=""0.010""","=""2903.424""","=""0.004""","=""3""","=""""",,"=""38544.316""","=""41988.5259""","=""3d3.(2G).4p""","=""t 3F*""","=""3""","=""3d2.4s.(4F).4d""","=""g 3F""","=""3""",,"=""""","=""L10989""",
"=""2909.390""","=""0.010""","=""2909.391""","=""0.003""","=""3""","=""""",,"=""15156.802""","=""18593.947""","=""3d3.(2G).4s""","=""a 3G""","=""4""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5D*""","=""3""",,"=""""","=""L10989""",
"=""2910.078""","=""0.010""","=""2910.080""","=""0.003""","=""3""","=""""",,"=""38670.723""","=""42107.0545""","=""3d3.(2G).4p""","=""t 3F*""","=""4""","=""3d2.4s.(4F).4d""","=""g 3F""","=""4""",,"=""""","=""L10989""",
"=""2913.522""","=""0.010""","=""2913.519""","=""0.003""","=""420""","=""7.60e+04""",B',"=""18037.213""","=""21469.488""","=""3d3.(2H).4s""","=""a 3H""","=""4""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3G*""","=""3""",,"=""T8000""","=""L10989""",
"=""2914.507""","=""0.010""","=""2914.510""","=""0.004""","=""3""","=""""",,"=""38544.316""","=""41975.4249""","=""3d3.(2G).4p""","=""t 3F*""","=""3""","=""3d2.4s.(4F).4d""","=""3G""","=""4""",,"=""""","=""L10989""",
"=""2914.842""","=""0.010""","=""2914.837""","=""0.005""","=""3""","=""""",,"=""37824.758""","=""41255.481""","=""3d2.4s.(4F).5s""","=""e 3F""","=""4""","=""3d3.(2H).4p""","=""3G*""","=""4""",,"=""""","=""L10989""",
"=""2916.704""","=""0.010""","=""2916.704""","=""0.003""","=""3*""","=""""",,"=""45812.935""","=""49241.4624""","=""3d2.4s.(4F).6s""","=""h 5F""","=""2""","=""3d3.(4F<7/2>).4f""","=""2[7/2]*""","=""3""",,"=""""","=""L10989""",
"=""2916.704""","=""0.010""","=""2916.706""","=""0.005""","=""3*""","=""""",,"=""35242.198""","=""38670.723""","=""3d4""","=""3F2""","=""4""","=""3d3.(2G).4p""","=""t 3F*""","=""4""",,"=""""","=""L10989""",
"=""2923.503""","=""0.010""","=""2923.502""","=""0.003""","=""3""","=""""",,"=""38451.309""","=""41871.8642""","=""3d3.(2G).4p""","=""t 3F*""","=""2""","=""3d2.4s.(4F).4d""","=""g 3F""","=""2""",,"=""""","=""L10989""",
"=""2926.996""","=""0.010""","=""2926.996""","=""0.003""","=""3""","=""""",,"=""38451.309""","=""41867.7812""","=""3d3.(2G).4p""","=""t 3F*""","=""2""","=""3d2.4s.(4F).4d""","=""3G""","=""3""",,"=""""","=""L10989""",
"=""2947.759""","=""0.010""","=""2947.760""","=""0.004""","=""2""","=""""",,"=""37976.589""","=""41368.996""","=""3d2.(3P).4s.4p.(1P*)""","=""u 3D*""","=""2""","=""3d2.4s.(2F).5s""","=""3F""","=""3""",,"=""""","=""L10989""",
"=""2967.520""","=""0.011""","=""2967.523""","=""0.005""","=""3""","=""""",,"=""35174.502""","=""38544.316""","=""3d4""","=""3F2""","=""3""","=""3d3.(2G).4p""","=""t 3F*""","=""3""",,"=""""","=""L10989""",
"=""2991.693""","=""0.011""","=""2991.705""","=""0.006""","=""2""","=""""",,"=""37851.802""","=""41194.378""","=""3d2.(3P).4s.4p.(1P*)""","=""u 3D*""","=""1""","=""3d2.4s.(2F).5s""","=""3F""","=""2""",,"=""""","=""L10989""",
"=""3003.919""","=""0.011""","=""3003.923""","=""0.005""","=""2""","=""""",,"=""31206.007""","=""34534.987""","=""3d2.(3P).4s.4p.(3P*)""","=""v 3D*""","=""3""","=""3d4""","=""3P2""","=""2""",,"=""""","=""L10989""",
"=""3004.912""","=""0.011""","=""3004.912""","=""0.005""","=""3""","=""""",,"=""35123.425""","=""38451.309""","=""3d4""","=""3F2""","=""2""","=""3d3.(2G).4p""","=""t 3F*""","=""2""",,"=""""","=""L10989""",
"=""3010.467""","=""0.011""","=""3010.465""","=""0.005""","=""2""","=""""",,"=""38159.461""","=""41481.207""","=""3d2.(3P).4s.4p.(1P*)""","=""u 3D*""","=""3""","=""3d2.4s.(2F).5s""","=""3F""","=""4""",,"=""""","=""L10989""",
"=""3029.441""","=""0.011""","=""3029.439""","=""0.004""","=""7""","=""""",,"=""18287.554""","=""21588.495""","=""3d3.(2G).4s""","=""b 1G""","=""4""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3G*""","=""4""",,"=""""","=""L10989""",
"=""3032.411""","=""0.011""","=""3032.418""","=""0.006""","=""11""","=""""",,"=""21739.707""","=""25037.405""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3G*""","=""5""","=""3d3.(2F).4s""","=""3F""","=""4""",,"=""""","=""L10989""",
"=""3059.360""","=""0.011""","=""3059.365""","=""0.008""","=""3""","=""""",,"=""35400.235""","=""38668.887""","=""3d4""","=""3H""","=""5""","=""3d3.(2H).4p""","=""z 3I*""","=""6""",,"=""""","=""L10989""",
"=""3071.817""","=""0.011""","=""3071.813""","=""0.005""","=""3""","=""""",,"=""18825.782""","=""22081.189""","=""3d3.(4P).4s""","=""c 3P""","=""1""","=""3d2.(3F).4s.4p.(3P*)""","=""z 1D*""","=""2""",,"=""""","=""L10989""",
"=""3098.707""","=""0.012""","=""3098.715""","=""0.007""","=""3""","=""""",,"=""35345.555""","=""38572.699""","=""3d4""","=""3H""","=""4""","=""3d3.(2H).4p""","=""z 3I*""","=""5""",,"=""""","=""L10989""",
"=""3108.863""","=""0.012""","=""3108.862""","=""0.006""","=""3""","=""""",,"=""25574.908""","=""28791.519""","=""3d2.(1D).4s.4p.(3P*)""","=""3P*""","=""0""","=""3d4""","=""a 5D""","=""1""",,"=""""","=""L10989""",
"=""3132.133""","=""0.012""","=""3132.141""","=""0.006""","=""6""","=""""",,"=""25635.725""","=""28828.429""","=""3d2.(3P).4s.4p.(3P*)""","=""5D*""","=""1""","=""3d4""","=""a 5D""","=""2""",,"=""""","=""L10989""",
"=""3133.983""","=""0.012""","=""3133.973""","=""0.008""","=""3*""","=""""",,"=""47463.135""","=""50653.973""","=""3d3.(2F).4p""","=""p 3F*""","=""4""","=""3d2.4s.(4F<3/2>).5g""","=""2[9/2]""","=""5""",,"=""""","=""L10989""",
"=""3133.983""","=""0.012""","=""3133.977""","=""0.005""","=""3*""","=""""",,"=""39715.439""","=""42906.2727""","=""3d3.(2D2).4p""","=""s 3D*""","=""3""","=""3d2.4s.(4F).4d""","=""3D""","=""3""",,"=""""","=""L10989""",
"=""3142.295""","=""0.012""","=""3142.301""","=""0.006""","=""7""","=""""",,"=""25699.987""","=""28882.368""","=""3d2.(3P).4s.4p.(3P*)""","=""5D*""","=""2""","=""3d4""","=""a 5D""","=""3""",,"=""""","=""L10989""",
"=""3142.738""","=""0.012""","=""3142.743""","=""0.004""","=""70""","=""9.00e+03""",B',"=""18287.554""","=""21469.488""","=""3d3.(2G).4s""","=""b 1G""","=""4""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3G*""","=""3""",,"=""T8000""","=""L10989""",
"=""3145.507""","=""0.012""","=""3145.514""","=""0.007""","=""4""","=""""",,"=""25612.388""","=""28791.519""","=""3d2.(3P).4s.4p.(3P*)""","=""5D*""","=""0""","=""3d4""","=""a 5D""","=""1""",,"=""""","=""L10989""",
"=""3168.774""","=""0.012""","=""3168.775""","=""0.006""","=""3""","=""""",,"=""25635.725""","=""28791.519""","=""3d2.(3P).4s.4p.(3P*)""","=""5D*""","=""1""","=""3d4""","=""a 5D""","=""1""",,"=""""","=""L10989""",
"=""3170.192""","=""0.012""","=""3170.198""","=""0.006""","=""6""","=""""",,"=""25797.595""","=""28951.972""","=""3d2.(3P).4s.4p.(3P*)""","=""5D*""","=""3""","=""3d4""","=""a 5D""","=""4""",,"=""""","=""L10989""",
"=""3187.578""","=""0.012""","=""3187.589""","=""0.006""","=""3""","=""""",,"=""31190.669""","=""34327.836""","=""3d2.(3P).4s.4p.(3P*)""","=""v 3D*""","=""2""","=""3d4""","=""3P2""","=""1""",,"=""""","=""L10989""",
"=""3187.741""","=""0.012""","=""3187.748""","=""0.008""","=""5""","=""""",,"=""25635.725""","=""28772.736""","=""3d2.(3P).4s.4p.(3P*)""","=""5D*""","=""1""","=""3d4""","=""a 5D""","=""0""",,"=""""","=""L10989""",
"=""3195.066""","=""0.012""","=""3195.075""","=""0.006""","=""4""","=""""",,"=""41871.8642""","=""45001.681""","=""3d2.4s.(4F).4d""","=""g 3F""","=""2""","=""3d3.(4F).5p""","=""3G*""","=""3""",,"=""""","=""L10989""",
"=""3196.473""","=""0.012""","=""3196.479""","=""0.006""","=""6""","=""""",,"=""25699.987""","=""28828.429""","=""3d2.(3P).4s.4p.(3P*)""","=""5D*""","=""2""","=""3d4""","=""a 5D""","=""2""",,"=""""","=""L10989""",
"=""3216.275""","=""0.012""","=""3216.277""","=""0.008""","=""4""","=""""",,"=""41988.5259""","=""45097.711""","=""3d2.4s.(4F).4d""","=""g 3F""","=""3""","=""3d3.(4F).5p""","=""3G*""","=""4""",,"=""""","=""L10989""",
"=""3217.403""","=""0.012""","=""3217.398""","=""0.009""","=""4*""","=""""",,"=""40302.957""","=""43411.059""","=""3d3.(2D2).4p""","=""w 1F*""","=""3""","=""3d4""","=""1F""","=""3""",,"=""""","=""L10989""",
"=""3217.403""","=""0.012""","=""3217.406""","=""0.005""","=""4*""","=""""",,"=""39662.081""","=""42770.1745""","=""3d3.(2D2).4p""","=""s 3D*""","=""1""","=""3d2.4s.(4F).4d""","=""3D""","=""2""",,"=""""","=""L10989""",
"=""3221.075""","=""0.012""","=""3221.080""","=""0.006""","=""4""","=""""",,"=""42107.0545""","=""45211.603""","=""3d2.4s.(4F).4d""","=""g 3F""","=""4""","=""3d3.(4F).5p""","=""3G*""","=""5""",,"=""""","=""L10989""",
"=""3234.638""","=""0.013""","=""3234.642""","=""0.006""","=""8""","=""""",,"=""25699.987""","=""28791.519""","=""3d2.(3P).4s.4p.(3P*)""","=""5D*""","=""2""","=""3d4""","=""a 5D""","=""1""",,"=""""","=""L10989""",
"=""3241.726""","=""0.013""","=""3241.730""","=""0.006""","=""13""","=""""",,"=""25797.595""","=""28882.368""","=""3d2.(3P).4s.4p.(3P*)""","=""5D*""","=""3""","=""3d4""","=""a 5D""","=""3""",,"=""""","=""L10989""",
"=""3242.318""","=""0.013""","=""3242.321""","=""0.005""","=""4""","=""""",,"=""39685.964""","=""42770.1745""","=""3d3.(2D2).4p""","=""s 3D*""","=""2""","=""3d2.4s.(4F).4d""","=""3D""","=""2""",,"=""""","=""L10989""",
"=""3287.369""","=""0.013""","=""3287.361""","=""0.006""","=""4""","=""""",,"=""42169.6496""","=""45211.603""","=""3d2.4s.(4F).4d""","=""3G""","=""5""","=""3d3.(4F).5p""","=""3G*""","=""5""",,"=""""","=""L10989""",
"=""3294.529""","=""0.013""","=""3294.537""","=""0.008""","=""4""","=""""",,"=""31184.010""","=""34219.338""","=""3d2.(3P).4s.4p.(3P*)""","=""v 3D*""","=""1""","=""3d4""","=""3P2""","=""0""",,"=""""","=""L10989""",
"=""3299.419""","=""0.013""","=""3299.422""","=""0.007""","=""10""","=""""",,"=""25797.595""","=""28828.429""","=""3d2.(3P).4s.4p.(3P*)""","=""5D*""","=""3""","=""3d4""","=""a 5D""","=""2""",,"=""""","=""L10989""",
"=""3305.556""","=""0.013""","=""3305.565""","=""0.008""","=""26""","=""""",,"=""25926.771""","=""28951.972""","=""3d2.(3P).4s.4p.(3P*)""","=""5D*""","=""4""","=""3d4""","=""a 5D""","=""4""",,"=""""","=""L10989""",
"=""3311.903""","=""0.013""","=""3311.924""","=""0.009""","=""4""","=""""",,"=""37824.758""","=""40844.151""","=""3d2.4s.(4F).5s""","=""e 3F""","=""4""","=""3d3.(4P).4p""","=""r 3D*""","=""3""",,"=""""","=""L10989""",
"=""3314.374""","=""0.013""","=""3314.384""","=""0.007""","=""4""","=""""",,"=""37538.862""","=""40556.014""","=""3d2.4s.(4F).5s""","=""e 3F""","=""2""","=""3d3.(4P).4p""","=""r 3D*""","=""1""",,"=""""","=""L10989""",
"=""3341.932""","=""0.013""","=""3341.926""","=""0.006""","=""5""","=""""",,"=""39662.081""","=""42654.3674""","=""3d3.(2D2).4p""","=""s 3D*""","=""1""","=""3d2.4s.(4F).4d""","=""3D""","=""1""",,"=""""","=""L10989""",
"=""3365.492""","=""0.014""","=""3365.500""","=""0.007""","=""4""","=""""",,"=""39198.323""","=""42169.6496""","=""3d3.(2H).4p""","=""x 3H*""","=""6""","=""3d2.4s.(4F).4d""","=""3G""","=""5""",,"=""""","=""L10989""",
"=""3383.403""","=""0.014""","=""3383.411""","=""0.007""","=""8""","=""""",,"=""25926.771""","=""28882.368""","=""3d2.(3P).4s.4p.(3P*)""","=""5D*""","=""4""","=""3d4""","=""a 5D""","=""3""",,"=""""","=""L10989""",
"=""3452.829""","=""0.014""","=""3452.837""","=""0.007""","=""5""","=""""",,"=""29661.250""","=""32557.419""","=""3d2.(3F).4s.4p.(1P*)""","=""w 3D*""","=""1""","=""3d3.(2D1).4s""","=""3D""","=""1""",,"=""""","=""L10989""",
"=""3608.510""","=""0.016""","=""3608.506""","=""0.007""","=""6""","=""""",,"=""29768.675""","=""32539.905""","=""3d2.(3F).4s.4p.(1P*)""","=""w 3D*""","=""2""","=""3d3.(2D1).4s""","=""3D""","=""2""",,"=""""","=""L10989""",
"=""3663.503""","=""0.016""","=""3663.517""","=""0.011""","=""6""","=""""",,"=""42368.0934""","=""45097.711""","=""3d2.4s.(4F).4d""","=""3H""","=""5""","=""3d3.(4F).5p""","=""3G*""","=""4""",,"=""""","=""L10989""",
"=""3686.319""","=""0.016""","=""3686.323""","=""0.008""","=""11""","=""""",,"=""25037.405""","=""27750.135""","=""3d3.(2F).4s""","=""3F""","=""4""","=""3d2.(3F).4s.4p.(1P*)""","=""y 3G*""","=""5""",,"=""""","=""L10989""",
"=""3700.681""","=""0.016""","=""3700.680""","=""0.005""","=""20""","=""""",,"=""17423.856""","=""20126.062""","=""3d3.(2D2).4s""","=""a 3D""","=""2""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3D*""","=""3""",,"=""""","=""L10989""",
"=""3729.513""","=""0.017""","=""3729.515""","=""0.008""","=""7""","=""""",,"=""42530.2894""","=""45211.603""","=""3d2.4s.(4F).4d""","=""3H""","=""6""","=""3d3.(4F).5p""","=""3G*""","=""5""",,"=""""","=""L10989""",
"=""3762.469""","=""0.004""","=""3762.469""","=""0.006""","=""34""","=""""",,"=""48390.0466""","=""51047.876""","=""3d2.4s.(4F<9/2>).4f""","=""2[13/2]*""","=""7""","=""3d2.4s.(4F<9/2>).5g""","=""2[15/2]""","=""8""",,"=""""","=""L12119""",
"=""3763.562""","=""0.014""","=""3763.562""","=""0.006""","=""10""","=""""",,"=""48390.0466""","=""51047.104""","=""3d2.4s.(4F<9/2>).4f""","=""2[13/2]*""","=""7""","=""3d2.4s.(4F<9/2>).5g""","=""2[13/2]""","=""7""",,"=""""","=""L12119""",
"=""3763.973""","=""0.014""","=""3763.960""","=""0.004""","=""6""","=""""",,"=""47997.9976""","=""50654.774""","=""3d2.4s.(4F<3/2>).4f""","=""2[7/2]*""","=""3""","=""3d2.4s.(4F<3/2>).5g""","=""2[7/2]""","=""3""",,"=""""","=""L12119""",
"=""3764.947""","=""0.004""","=""3764.947""","=""0.003""","=""11""","=""""",,"=""48391.3494""","=""51047.4295""","=""3d2.4s.(4F<9/2>).4f""","=""2[11/2]*""","=""6""","=""3d2.4s.(4F<9/2>).5g""","=""2[11/2]""","=""6""",,"=""""","=""L12119""",
"=""3765.096""","=""0.004""","=""3765.098""","=""0.004""","=""20""","=""""",,"=""47997.9976""","=""50653.971""","=""3d2.4s.(4F<3/2>).4f""","=""2[7/2]*""","=""3""","=""3d2.4s.(4F<3/2>).5g""","=""2[9/2]""","=""4""",,"=""""","=""L12119""",
"=""3765.408""","=""0.004""","=""3765.408""","=""0.004""","=""25""","=""""",,"=""48391.3494""","=""51047.104""","=""3d2.4s.(4F<9/2>).4f""","=""2[11/2]*""","=""6""","=""3d2.4s.(4F<9/2>).5g""","=""2[13/2]""","=""7""",,"=""""","=""L12119""",
"=""3767.067""","=""0.004""","=""3767.067""","=""0.004""","=""24""","=""""",,"=""48225.3069""","=""50879.892""","=""3d2.4s.(4F<7/2>).4f""","=""2[9/2]*""","=""5""","=""3d2.4s.(4F<7/2>).5g""","=""2[11/2]""","=""6""",,"=""""","=""L12119""",
"=""3767.185""","=""0.014""","=""3767.188""","=""0.009""","=""6""","=""""",,"=""48225.3069""","=""50879.807""","=""3d2.4s.(4F<7/2>).4f""","=""2[9/2]*""","=""5""","=""3d2.4s.(4F<7/2>).5g""","=""2[11/2]""","=""5""",,"=""""","=""L12119""",
"=""3767.973""","=""0.014""","=""3767.976""","=""0.009""","=""3""","=""""",,"=""48394.9202""","=""51048.865""","=""3d2.4s.(4F<9/2>).4f""","=""2[5/2]*""","=""3""","=""3d2.4s.(4F<9/2>).5g""","=""2[7/2]""","=""4""",,"=""""","=""L12119""",
"=""3768.234""","=""0.004""","=""3768.229""","=""0.006""","=""32""","=""""",,"=""48226.3275""","=""50880.094""","=""3d2.4s.(4F<7/2>).4f""","=""2[11/2]*""","=""6""","=""3d2.4s.(4F<7/2>).5g""","=""2[13/2]""","=""7""",,"=""""","=""L12119""",
"=""3768.514""","=""0.014""","=""3768.516""","=""0.004""","=""8""","=""""",,"=""48226.3275""","=""50879.892""","=""3d2.4s.(4F<7/2>).4f""","=""2[11/2]*""","=""6""","=""3d2.4s.(4F<7/2>).5g""","=""2[11/2]""","=""6""",,"=""""","=""L12119""",
"=""3768.859""","=""0.014""","=""3768.858""","=""0.004""","=""7""","=""""",,"=""48394.9202""","=""51048.244""","=""3d2.4s.(4F<9/2>).4f""","=""2[5/2]*""","=""3""","=""3d2.4s.(4F<9/2>).5g""","=""2[9/2]""","=""4""",,"=""""","=""L12119""",
"=""3769.149""","=""0.004""","=""3769.149""","=""0.004""","=""16""","=""""",,"=""48002.3702""","=""50655.489""","=""3d2.4s.(4F<3/2>).4f""","=""2[7/2]*""","=""4""","=""3d2.4s.(4F<3/2>).5g""","=""2[11/2]""","=""5""",,"=""""","=""L12119""",
"=""3771.306""","=""0.004""","=""3771.304""","=""0.004""","=""15""","=""""",,"=""48002.3702""","=""50653.973""","=""3d2.4s.(4F<3/2>).4f""","=""2[7/2]*""","=""4""","=""3d2.4s.(4F<3/2>).5g""","=""2[9/2]""","=""5""",,"=""""","=""L12119""",
"=""3772.457""","=""0.014""","=""3772.457""","=""0.004""","=""6""","=""""",,"=""48098.0439""","=""50748.836""","=""3d2.4s.(4F<5/2>).4f""","=""2[9/2]*""","=""4""","=""3d2.4s.(4F<5/2>).5g""","=""2[7/2]""","=""4""",,"=""""","=""L12119""",
"=""3772.773""","=""0.004""","=""3772.756""","=""0.013""","=""21*""","=""""",,"=""48098.0439""","=""50748.626""","=""3d2.4s.(4F<5/2>).4f""","=""2[9/2]*""","=""4""","=""3d2.4s.(4F<5/2>).5g""","=""2[9/2]""","=""4""",,"=""""","=""L12119""",
"=""3772.773""","=""0.004""","=""3772.768""","=""0.006""","=""21*""","=""""",,"=""48098.0439""","=""50748.618""","=""3d2.4s.(4F<5/2>).4f""","=""2[9/2]*""","=""4""","=""3d2.4s.(4F<5/2>).5g""","=""2[11/2]""","=""5""",,"=""""","=""L12119""",
"=""3772.944""","=""0.004""","=""3772.943""","=""0.003""","=""9*""","=""""",,"=""48397.7893""","=""51048.240""","=""3d2.4s.(4F<9/2>).4f""","=""2[9/2]*""","=""5""","=""3d2.4s.(4F<9/2>).5g""","=""2[9/2]""","=""5""",,"=""""","=""L12119""",
"=""3772.944""","=""0.004""","=""3772.950""","=""0.004""","=""9*""","=""""",,"=""48098.0439""","=""50748.490""","=""3d2.4s.(4F<5/2>).4f""","=""2[9/2]*""","=""4""","=""3d2.4s.(4F<5/2>).5g""","=""2[9/2]""","=""5""",,"=""""","=""L12119""",
"=""3773.108""","=""0.014""","=""3773.097""","=""0.006""","=""5""","=""""",,"=""48098.2753""","=""50748.618""","=""3d2.4s.(4F<5/2>).4f""","=""2[9/2]*""","=""5""","=""3d2.4s.(4F<5/2>).5g""","=""2[11/2]""","=""5""",,"=""""","=""L12119""",
"=""3773.276""","=""0.004""","=""3773.275""","=""0.004""","=""26*""","=""""",,"=""48098.2753""","=""50748.493""","=""3d2.4s.(4F<5/2>).4f""","=""2[9/2]*""","=""5""","=""3d2.4s.(4F<5/2>).5g""","=""2[11/2]""","=""6""",,"=""""","=""L12119""",
"=""3773.276""","=""0.004""","=""3773.279""","=""0.004""","=""26*""","=""""",,"=""48098.2753""","=""50748.490""","=""3d2.4s.(4F<5/2>).4f""","=""2[9/2]*""","=""5""","=""3d2.4s.(4F<5/2>).5g""","=""2[9/2]""","=""5""",,"=""""","=""L12119""",
"=""3773.474""","=""0.017""","=""3773.497""","=""0.010""","=""7""","=""""",,"=""38544.316""","=""41194.378""","=""3d3.(2G).4p""","=""t 3F*""","=""3""","=""3d2.4s.(2F).5s""","=""3F""","=""2""",,"=""""","=""L10989""",
"=""3774.098""","=""0.004""","=""3774.097""","=""0.003""","=""14*""","=""""",,"=""48397.7893""","=""51047.4295""","=""3d2.4s.(4F<9/2>).4f""","=""2[9/2]*""","=""5""","=""3d2.4s.(4F<9/2>).5g""","=""2[11/2]""","=""6""",,"=""""","=""L12119""",
"=""3774.098""","=""0.004""","=""3774.101""","=""0.004""","=""14*""","=""""",,"=""48397.7893""","=""51047.427""","=""3d2.4s.(4F<9/2>).4f""","=""2[9/2]*""","=""5""","=""3d2.4s.(4F<9/2>).5g""","=""2[11/2]""","=""5""",,"=""""","=""L12119""",
"=""3775.186""","=""0.004""","=""3775.193""","=""0.006""","=""8""","=""""",,"=""48099.7468""","=""50748.618""","=""3d2.4s.(4F<5/2>).4f""","=""2[7/2]*""","=""4""","=""3d2.4s.(4F<5/2>).5g""","=""2[11/2]""","=""5""",,"=""""","=""L12119""",
"=""3775.383""","=""0.004""","=""3775.375""","=""0.004""","=""38*""","=""""",,"=""48099.7468""","=""50748.490""","=""3d2.4s.(4F<5/2>).4f""","=""2[7/2]*""","=""4""","=""3d2.4s.(4F<5/2>).5g""","=""2[9/2]""","=""5""",,"=""""","=""L12119""",
"=""3775.383""","=""0.004""","=""3775.399""","=""0.013""","=""38*""","=""""",,"=""48099.8996""","=""50748.626""","=""3d2.4s.(4F<5/2>).4f""","=""2[7/2]*""","=""3""","=""3d2.4s.(4F<5/2>).5g""","=""2[9/2]""","=""4""",,"=""""","=""L12119""",
"=""3775.578""","=""0.014""","=""3775.587""","=""0.004""","=""8""","=""""",,"=""48231.2870""","=""50879.882""","=""3d2.4s.(4F<7/2>).4f""","=""2[7/2]*""","=""4""","=""3d2.4s.(4F<7/2>).5g""","=""2[9/2]""","=""5""",,"=""""","=""L12119""",
"=""3775.644""","=""0.004""","=""3775.644""","=""0.009""","=""46""","=""""",,"=""48401.085""","=""51049.640""","=""3d2.4s.(4F<9/2>).4f""","=""2[15/2]*""","=""8""","=""3d2.4s.(4F<9/2>).5g""","=""2[17/2]""","=""9""",,"=""""","=""L12119""",
"=""3775.698""","=""0.014""","=""3775.694""","=""0.009""","=""6""","=""""",,"=""48231.2870""","=""50879.807""","=""3d2.4s.(4F<7/2>).4f""","=""2[7/2]*""","=""4""","=""3d2.4s.(4F<7/2>).5g""","=""2[11/2]""","=""5""",,"=""""","=""L12119""",
