obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""313.0166""","=""0.0004""","=""313.01672""","=""0.00020""","=""10""","=""""",,"=""15975.631""","=""47913.55""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5G*""","=""3""","=""3d2.4s.(4F).5d""","=""g 5H""","=""4""",,"=""""","=""L10989""",
"=""313.0383""","=""0.0004""","=""313.03772""","=""0.00005""","=""6""","=""""",,"=""11531.761""","=""43467.537""","=""3d3.(4F).4s""","=""b 3F""","=""2""","=""3d2.4s.(4F).5p""","=""r 3F*""","=""2""",,"=""""","=""L10989""",
"=""313.2709""","=""0.0004""","=""313.27079""","=""0.00011""","=""7""","=""""",,"=""16106.076""","=""48018.093""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5G*""","=""4""","=""3d2.4s.(4F).5d""","=""h 5G""","=""4""",,"=""""","=""L10989""",
"=""313.3122""","=""0.0004""","=""313.31224""","=""0.00011""","=""3""","=""""",,"=""16817.160""","=""48724.955""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5F*""","=""1""","=""3d2.4p2""","=""e 3D""","=""1""",,"=""""","=""L10989""",
"=""313.3187""","=""0.0004""","=""313.31866""","=""0.00011""","=""00""","=""""",,"=""16817.160""","=""48724.302""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5F*""","=""1""","=""3d2.4p2""","=""e 3D""","=""2""",,"=""""","=""L10989""",
"=""313.4397""","=""0.0004""","=""313.43952""","=""0.00020""","=""0""","=""""",,"=""15975.631""","=""47870.47""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5G*""","=""3""","=""3d2.4s.(4F).5d""","=""h 5G""","=""2""",,"=""""","=""L10989""",
"=""313.4668""","=""0.0004""","=""313.46669""","=""0.00006""","=""3""","=""""",,"=""8492.422""","=""40384.497""","=""3d2.4s2""","=""a 3P""","=""1""","=""3d.4s2.4p""","=""v 3P*""","=""1""",,"=""""","=""L10989""",
"=""313.5052""","=""0.0004""","=""313.50379""","=""0.00008""","=""13""","=""""",,"=""16106.076""","=""47994.377""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5G*""","=""4""","=""3d2.4s.(4F).5d""","=""g 5H""","=""5""",,"=""""","=""L10989""",
"=""313.6025""","=""0.0004""","=""313.60248""","=""0.00008""","=""5""","=""""",,"=""16961.442""","=""48839.708""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5F*""","=""3""","=""3d2.4p2""","=""e 3D""","=""3""",,"=""""","=""L10989""",
"=""313.6140""","=""0.0004""","=""313.61385""","=""0.00011""","=""00""","=""""",,"=""8492.422""","=""40369.532""","=""3d2.4s2""","=""a 3P""","=""1""","=""3d.4s2.4p""","=""v 3P*""","=""0""",,"=""""","=""L10989""",
"=""313.7367""","=""0.0004""","=""313.73656""","=""0.00006""","=""0""","=""""",,"=""8602.3441""","=""40466.987""","=""3d2.4s2""","=""a 3P""","=""2""","=""3d.4s2.4p""","=""v 3P*""","=""2""",,"=""""","=""L10989""",
"=""313.8627""","=""0.0004""","=""313.86252""","=""0.00013""","=""7""","=""""",,"=""16267.480""","=""48119.335""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5G*""","=""5""","=""3d2.4s.(4F).5d""","=""h 5G""","=""5""",,"=""""","=""L10989""",
"=""313.8826""","=""0.0004""","=""313.88247""","=""0.00011""","=""4""","=""""",,"=""16875.124""","=""48724.955""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5F*""","=""2""","=""3d2.4p2""","=""e 3D""","=""1""",,"=""""","=""L10989""",
"=""313.8890""","=""0.0004""","=""313.88890""","=""0.00011""","=""3""","=""""",,"=""16875.124""","=""48724.302""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5F*""","=""2""","=""3d2.4p2""","=""e 3D""","=""2""",,"=""""","=""L10989""",
"=""313.98753""","=""0.00012""","=""313.98748""","=""0.00009""","=""11""","=""""",,"=""16267.480""","=""48106.659""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5G*""","=""5""","=""3d2.4s.(4F).5d""","=""g 5H""","=""6""",,"=""""","=""L10989""",
"=""314.1004""","=""0.0004""","=""314.10047""","=""0.00005""","=""3""","=""""",,"=""11639.8109""","=""43467.537""","=""3d3.(4F).4s""","=""b 3F""","=""3""","=""3d2.4s.(4F).5p""","=""r 3F*""","=""2""",,"=""""","=""L10989""",
"=""314.15312""","=""0.00012""","=""314.15307""","=""0.00006""","=""12""","=""""",,"=""7255.355""","=""39077.753""","=""3d2.4s2""","=""a 1D""","=""2""","=""3d3.(2D2).4p""","=""x 1P*""","=""1""",,"=""""","=""L10989""",
"=""314.16687""","=""0.00012""","=""314.16688""","=""0.00008""","=""9""","=""""",,"=""17215.390""","=""49036.389""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5F*""","=""5""","=""3d2.4p2""","=""h 5D""","=""4""",,"=""""","=""L10989""",
"=""314.3098""","=""0.0004""","=""314.30967""","=""0.00004""","=""1""","=""""",,"=""11776.812""","=""43583.355""","=""3d3.(4F).4s""","=""b 3F""","=""4""","=""3d2.4s.(4F).5p""","=""r 3F*""","=""3""",,"=""""","=""L10989""",
"=""314.33448""","=""0.00012""","=""314.33447""","=""0.00010""","=""11""","=""""",,"=""16458.671""","=""48262.705""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5G*""","=""6""","=""3d2.4s.(4F).5d""","=""g 5H""","=""7""",,"=""""","=""L10989""",
"=""314.3551""","=""0.0004""","=""314.35513""","=""0.00008""","=""2""","=""""",,"=""15220.393""","=""47022.337""","=""3d3.(2G).4s""","=""a 3G""","=""5""","=""3d3.(2F).4p""","=""3G*""","=""5""",,"=""""","=""L10989""",
"=""314.5508""","=""0.0004""","=""314.55089""","=""0.00006""","=""6""","=""""",,"=""8602.3441""","=""40384.497""","=""3d2.4s2""","=""a 3P""","=""2""","=""3d.4s2.4p""","=""v 3P*""","=""1""",,"=""""","=""L10989""",
"=""314.6246""","=""0.0004""","=""314.62458""","=""0.00009""","=""7""","=""""",,"=""16458.671""","=""48233.380""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5G*""","=""6""","=""3d2.4s.(4F).5d""","=""h 5G""","=""6""",,"=""""","=""L10989""",
