obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 20
298.2148,0.0005,298.2145,33532.88,,,,0.000,33532.91,4p6.5s,2S,1/2,4p6.29p,2P*,3/2,2,4,,,L3287,
298.2148,0.0005,298.2145,33532.88,,,,0.000,33532.91,4p6.5s,2S,1/2,4p6.29p,2P*,1/2,2,2,,,L3287,
298.3276,0.0005,298.3274,33520.19,,,,0.000,33520.22,4p6.5s,2S,1/2,4p6.28p,2P*,3/2,2,4,,,L3287,
298.3276,0.0005,298.3274,33520.19,,,,0.000,33520.22,4p6.5s,2S,1/2,4p6.28p,2P*,1/2,2,2,,,L3287,
298.4550,0.0005,298.4547,33505.89,,,,0.000,33505.92,4p6.5s,2S,1/2,4p6.27p,2P*,1/2,2,2,,,L3287,
298.4550,0.0005,298.4547,33505.89,,,,0.000,33505.92,4p6.5s,2S,1/2,4p6.27p,2P*,3/2,2,4,,,L3287,
298.5988,0.0005,298.5985,33489.75,,,,0.000,33489.79,4p6.5s,2S,1/2,4p6.26p,2P*,3/2,2,4,,,L3287,
298.6011,0.0005,298.6008,33489.50,,,,0.000,33489.53,4p6.5s,2S,1/2,4p6.26p,2P*,1/2,2,2,,,L3287,
298.7625,0.0005,298.7623,33471.40,,,,0.000,33471.43,4p6.5s,2S,1/2,4p6.25p,2P*,3/2,2,4,,,L3287,
298.7653,0.0005,298.7651,33471.09,,,,0.000,33471.11,4p6.5s,2S,1/2,4p6.25p,2P*,1/2,2,2,,,L3287,
298.9506,0.0005,298.9503,33450.34,,,,0.000,33450.38,4p6.5s,2S,1/2,4p6.24p,2P*,3/2,2,4,,,L3287,
298.9537,0.0005,298.9534,33450.00,,,,0.000,33450.03,4p6.5s,2S,1/2,4p6.24p,2P*,1/2,2,2,,,L3287,
299.1672,0.0005,299.1670,33426.12,,,,0.000,33426.15,4p6.5s,2S,1/2,4p6.23p,2P*,3/2,2,4,,,L3287,
299.1707,0.0005,299.1705,33425.73,,,,0.000,33425.76,4p6.5s,2S,1/2,4p6.23p,2P*,1/2,2,2,,,L3287,
299.4186,0.0005,299.4183,33398.06,,,,0.000,33398.09,4p6.5s,2S,1/2,4p6.22p,2P*,3/2,2,4,,,L3287,
299.4225,0.0005,299.4222,33397.62,,,,0.000,33397.66,4p6.5s,2S,1/2,4p6.22p,2P*,1/2,2,2,,,L3287,
299.7130,0.0005,299.7127,33365.26,,,,0.000,33365.29,4p6.5s,2S,1/2,4p6.21p,2P*,3/2,2,4,,,L3287,
299.7173,0.0005,299.7170,33364.78,,,,0.000,33364.81,4p6.5s,2S,1/2,4p6.21p,2P*,1/2,2,2,,,L3287,
300.0651,0.0005,300.0648,33326.11,,5.7e+02,D+,0.000,33326.13,4p6.5s,2S,1/2,4p6.20p,2P*,1/2,2,2,,T7227,L3287,
300.4738,0.0005,300.4735,33280.78,,2.05e+03,B,0.000,33280.81,4p6.5s,2S,1/2,4p6.19p,2P*,3/2,2,4,,T7227,L3287,
300.4799,0.0005,300.4796,33280.10,,8.7e+02,C+,0.000,33280.13,4p6.5s,2S,1/2,4p6.19p,2P*,1/2,2,2,,T7227,L3287,
300.9724,0.0005,300.9721,33225.64,,2.64e+03,C+,0.000,33225.67,4p6.5s,2S,1/2,4p6.18p,2P*,3/2,2,4,,T7227,L3287,
300.9800,0.0005,300.9797,33224.80,,1.05e+03,C+,0.000,33224.83,4p6.5s,2S,1/2,4p6.18p,2P*,1/2,2,2,,T7227,L3287,
301.5816,0.0005,301.5814,33158.52,,3.26e+03,B,0.000,33158.54,4p6.5s,2S,1/2,4p6.17p,2P*,3/2,2,4,,T7227,L3287,
301.5907,0.0005,301.5905,33157.52,,1.39e+03,C+,0.000,33157.54,4p6.5s,2S,1/2,4p6.17p,2P*,1/2,2,2,,T7227,L3287,
302.3358,0.0005,302.3356,33075.80,,4.12e+03,B,0.000,33075.83,4p6.5s,2S,1/2,4p6.16p,2P*,3/2,2,4,,T7227,L3287,
302.3471,0.0005,302.3469,33074.57,,1.77e+03,B,0.000,33074.59,4p6.5s,2S,1/2,4p6.16p,2P*,1/2,2,2,,T7227,L3287,
303.2862,0.0005,303.2859,32972.16,,4.93e+03,B+,0.000,32972.19,4p6.5s,2S,1/2,4p6.15p,2P*,3/2,2,4,,T7227,L3287,
303.3003,0.0005,303.3000,32970.63,,2.49e+03,B+,0.000,32970.66,4p6.5s,2S,1/2,4p6.15p,2P*,1/2,2,2,,T7227,L3287,
304.5068,0.0005,304.5065,32839.99,,8.20e+03,B,0.000,32840.02,4p6.5s,2S,1/2,4p6.14p,2P*,3/2,2,4,,T7227,L3287,
304.5254,0.0005,304.5251,32837.99,,3.72e+03,B+,0.000,32838.02,4p6.5s,2S,1/2,4p6.14p,2P*,1/2,2,2,,T7227,L3287,
