obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 20
1088.2676,1088.2678,0.0010,9188.916,400,,,45945.340,55134.255,5p2.(3P).6s,4P,3/2,5p2.(3P<1>).6p,"(1,1/2)*",3/2,4,4,,,L10083,
1101.5743,1101.5744,0.0010,9077.917,300,,,48332.424,57410.340,5p2.(3P).6s,4P,5/2,5p2.(3P<2>).6p,"(2,1/2)*",5/2,6,6,,,L10083,
1108.2814,1108.2814,0.0010,9022.979,40w,,,53442.967,62465.946,5p2.(3P).5d,4P,5/2,5p2.(3P<0>).4f,2[3]*,7/2,6,8,,,L10083,
1108.8217,1108.8218,0.0010,9018.583,30w,,,52612.483,61631.065,5p2.(3P<0>).6p,"(0,3/2)*",3/2,5p2.(3P).5d,2D,5/2,4,6,,,L10083,
1110.7657,1110.7655,0.0010,9002.799,50w,,,46991.058,55993.858,5p2.(3P).6s,2P,1/2,5p2.(3P<1>).6p,"(1,3/2)*",1/2,2,2,,,L10083,
1111.1530,1111.153,0.010,8999.661,50w,,,56528.132,65527.792,5p2.(3P).5d,4F,7/2,5p2.(3P<1>).4f,2[4]*,9/2,8,10,,,L10083,
1119.2624,1119.2628,0.0010,8934.455,30,,,53527.956,62462.408,5p2.(3P).5d,4F,3/2,5p2.(3P<0>).4f,2[3]*,5/2,4,6,,,L10083,
1126.9166,1126.9167,0.0010,8873.771,150,,,46991.058,55864.828,5p2.(3P).6s,2P,1/2,5p2.(3P<1>).6p,"(1,3/2)*",3/2,2,4,,,L10083,
1186.6476,1186.6478,0.0010,8427.102,30,,,43249.337,51676.437,5p2.(3P).6s,4P,1/2,5p2.(3P<0>).6p,"(0,1/2)*",1/2,2,2,,,L10083,
1196.0886,1196.0883,0.0010,8360.585,1,,,56151.802,64512.389,5p2.(3P).5d,4P,3/2,5p2.(1D<2>).6p,"(2,1/2)*",5/2,4,6,,,L10083,
1211.9335,1211.9335,0.0010,8251.278,5,,,45945.340,54196.618,5p2.(3P).6s,4P,3/2,5p2.(3P<1>).6p,"(1,1/2)*",1/2,4,2,,,L10083,
1228.0186,1228.0189,0.0010,8143.199,2,,,46991.058,55134.255,5p2.(3P).6s,2P,1/2,5p2.(3P<1>).6p,"(1,1/2)*",3/2,2,4,,,L10083,
1247.0064,1247.0061,0.0010,8019.205,2,,,49391.133,57410.340,5p2.(3P).6s,2P,3/2,5p2.(3P<2>).6p,"(2,1/2)*",5/2,4,6,,,L10083,
