obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 20
1283.9892,0.0005,1283.989,7788.227,175,,,50786.79,58575.02,4s2.4p.4d,3F*,4,4s2.4p.(2P*<3/2>).4f,2[9/2],5,9,11,,,L3503,
1285.143,0.005,1285.1252,7781.23,12,,,49649.5807,57430.924,4s2.4p.5p,1D,2,4s2.4p.5d,3P*,2,5,5,,,L3503,
1295.9278,0.0005,1295.92806,7716.479,120,,,39117.9021,46834.3798,4s2.4p.5s,3P*,2,4s2.4p.5p,3D,2,5,5,,,L3503,
1303.220,0.005,1303.220,7673.30,15,,,50786.79,58460.090,4s2.4p.4d,3F*,4,4s2.4p.(2P*<3/2>).4f,2[7/2],4,9,9,,,L3503,
1311.1197,0.0005,1311.1196,7627.069,235,,,49144.397,56771.466,4s2.4p.4d,3D*,3,4s2.4p.(2P*<1/2>).4f,2[7/2],4,7,9,,,L3503,
1349.597,0.005,1349.5900,7409.62,20,,,46765.2705,54174.928,4s2.4p.5p,1P,1,4s2.4p.6s,"(3/2,1/2)*",1,3,3,,,L3503,
1353.8548,0.0005,1353.8546,7386.316,42,,,48088.3504,55474.668,4s2.4p.5p,3P,1,4s2.4p.5d,3D*,1,3,3,,,L3503,
1372.8230,0.0005,1372.8231,7284.260,28,,,48088.3504,55372.610,4s2.4p.5p,3P,1,4s2.4p.5d,3D*,2,3,5,,,L3503,
1412.0556,0.0005,1412.0564,7081.874,42,,,51437.802,58519.672,4s2.4p.4d,3P*,2,4s2.4p.(2P*<3/2>).4f,2[5/2],3,5,7,,,L3503,
1430.1059,0.0005,1430.1058,6992.489,42,,,48726.1143,55718.604,4s2.4p.5p,3P,2,4s2.4p.5d,3D*,3,5,7,,,L3503,
1457.3822,0.0005,1457.3633,6861.618,40*,,,54174.928,61036.635,4s2.4p.6s,"(3/2,1/2)*",1,4s2.4p.(2P*<3/2>).5f,2[5/2],2,3,5,,,L3503,
1457.3822,0.0005,1457.3811,6861.618,40*,,,45985.592,52847.215,4s2.4p.5p,3D,1,4s2.4p.4d,1P*,1,3,3,,,L3503,
