obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""102.7260""","=""0.0002""","=""102.725772+""","=""a""","=""""",,"=""0.000""","=""97346.555""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<3/2>).19s""","=""2[3/2]*""","=""1""",,"=""""","=""L6449""",
"=""102.7405""","=""0.0002""","=""102.740502+""","=""a""","=""""",,"=""0.000""","=""97332.598""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<3/2>).17d""","=""2[3/2]*""","=""1""",,"=""""","=""L6449""",
"=""102.7635""","=""0.0002""","=""102.7635+""","=""a""","=""""",,"=""0.000""","=""97310.8""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<3/2>).17d""","=""2[1/2]*""","=""1""",,"=""""","=""L6449""",
"=""102.8020""","=""0.0002""","=""102.801921+""","=""a""","=""""",,"=""0.000""","=""97274.447""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<3/2>).18s""","=""2[3/2]*""","=""1""",,"=""""","=""L6449""",
"=""102.8198""","=""0.0002""","=""102.819847+""","=""a""","=""""",,"=""0.000""","=""97257.488""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<3/2>).16d""","=""2[3/2]*""","=""1""",,"=""""","=""L6449""",
"=""102.8484""","=""0.0002""","=""102.8484+""","=""a""","=""""",,"=""0.000""","=""97230.5""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<3/2>).16d""","=""2[1/2]*""","=""1""",,"=""""","=""L6449""",
"=""102.8966""","=""0.0002""","=""102.896410+""","=""a""","=""""",,"=""0.000""","=""97185.120""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<3/2>).17s""","=""2[3/2]*""","=""1""",,"=""""","=""L6449""",
"=""102.9186""","=""0.0002""","=""102.918586+""","=""a""","=""""",,"=""0.000""","=""97164.180""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<3/2>).15d""","=""2[3/2]*""","=""1""",,"=""""","=""L6449""",
"=""102.9546""","=""0.0002""","=""102.954696+""","=""a""","=""""",,"=""0.000""","=""97130.101""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<3/2>).15d""","=""2[1/2]*""","=""1""",,"=""""","=""L6449""",
"=""103.0159""","=""0.0002""","=""103.015761+""","=""a""","=""""",,"=""0.000""","=""97072.525""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<3/2>).16s""","=""2[3/2]*""","=""1""",,"=""""","=""L6449""",
