obs_wl_air(nm),ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""662.291""","=""662.2894""","=""0.0031""","=""4""","=""""",,"=""36190.49""","=""51285.46""","=""""","=""*""","=""1""","=""""","=""""","=""0""",,"=""""","=""L153c23""",
"=""662.600""","=""""","=""""","=""4""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""662.651""","=""662.6433""","=""0.0031""","=""5""","=""""",,"=""29853.66""","=""44940.57""","=""5d5.(4F).6s""","=""5F""","=""4""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""663.110""","=""663.1114""","=""0.0031""","=""2w""","=""""",,"=""28898.96""","=""43975.22""","=""5d4.6s2""","=""3P1""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""663.454""","=""""","=""""","=""2""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""663.504""","=""663.4995""","=""0.0031""","=""6""","=""""",,"=""29479.32""","=""44546.76""","=""5d4.6s2""","=""3F1""","=""4""","=""""","=""*""","=""5""",,"=""""","=""L153""",
"=""663.602""","=""""","=""""","=""6""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""663.649""","=""663.6453""","=""0.0031""","=""4""","=""""",,"=""32378.40""","=""47442.53""","=""5d5.(2D3).6s""","=""3D""","=""1""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""663.668""","=""663.6612""","=""0.0031""","=""10*""","=""""",,"=""40269.35""","=""55333.12""","=""""","=""*""","=""3""","=""""","=""""","=""4""",,"=""""","=""L153""",
"=""663.668""","=""663.6638""","=""0.0031""","=""10*""","=""""",,"=""31432.91""","=""46496.62""","=""5d4.6s.(6D).6p""","=""5F*""","=""4""","=""5d4.6s.(6D).7s""","=""7D""","=""3""",,"=""""","=""L153""",
"=""663.897""","=""663.8912""","=""0.0031""","=""4""","=""""",,"=""18082.83""","=""33141.38""","=""5d4.6s2""","=""3D""","=""1""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""663.956""","=""""","=""""","=""1""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""664.358""","=""664.3540""","=""0.0031""","=""5""","=""""",,"=""30374.20""","=""45422.26""","=""5d4.6s2""","=""3F1""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""664.386""","=""664.3810""","=""0.0031""","=""3""","=""""",,"=""23982.80""","=""39030.25""","=""5d5.(4D).6s""","=""5D""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""664.527""","=""""","=""""","=""1""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""664.812""","=""664.8122""","=""0.0031""","=""2""","=""""",,"=""27213.82""","=""42251.51""","=""5d5.(2F1).6s""","=""3F""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""665.191""","=""""","=""""","=""1""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""665.237""","=""""","=""""","=""1""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""665.298""","=""665.2931""","=""0.0031""","=""1""","=""""",,"=""31077.80""","=""46104.62""","=""""","=""""","=""2""","=""""","=""*""","=""1""",,"=""""","=""L153,L416""",
"=""665.396""","=""665.3940""","=""0.0031""","=""10""","=""""",,"=""18116.84""","=""33141.38""","=""5d5.(4G).6s""","=""5G""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""665.444""","=""665.4419""","=""0.0031""","=""5*""","=""""",,"=""28204.20""","=""43227.66""","=""5d5.(4F).6s""","=""5F""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""665.444""","=""665.4428""","=""0.0031""","=""5*""","=""""",,"=""34632.60""","=""49656.04""","=""""","=""*""","=""4""","=""5d4.6s.(6D).7s""","=""5D""","=""3""",,"=""""","=""L153""",
"=""665.654""","=""665.6484""","=""0.0031""","=""12""","=""""",,"=""28392.70""","=""43411.50""","=""5d5.(2I).6s""","=""3I""","=""6""","=""""","=""*""","=""7""",,"=""""","=""L153""",
"=""665.684""","=""665.6856""","=""0.0031""","=""1""","=""""",,"=""32957.58""","=""47975.54""","=""""","=""*""","=""3""","=""5d4.6s.(6D).7s""","=""7D""","=""4""",,"=""""","=""L153""",
"=""665.703""","=""665.7033""","=""0.0031""","=""10w""","=""""",,"=""28233.44""","=""43251.00""","=""5d5.(4F).6s""","=""5F""","=""5""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""665.766""","=""665.7636""","=""0.0031""","=""4""","=""""",,"=""27849.80""","=""42866.00""","=""5d5.(2I).6s""","=""3I""","=""5""","=""""","=""*""","=""5""",,"=""""","=""L153""",
"=""665.904""","=""665.8997""","=""0.0031""","=""4""","=""""",,"=""28204.20""","=""43217.33""","=""5d5.(4F).6s""","=""5F""","=""2""","=""""","=""*""","=""1""",,"=""""","=""L153""",
"=""665.936""","=""""","=""""","=""1""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""666.318""","=""""","=""""","=""1""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""666.361""","=""""","=""""","=""1""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""666.416""","=""666.4116""","=""0.0031""","=""15""","=""""",,"=""16431.31""","=""31432.91""","=""5d4.6s2""","=""3G""","=""4""","=""5d4.6s.(6D).6p""","=""5F*""","=""4""",,"=""""","=""L153""",
"=""666.480""","=""666.4746""","=""0.0031""","=""25""","=""""",,"=""22773.78""","=""37773.96""","=""5d5.(4D).6s""","=""5D""","=""0""","=""""","=""*""","=""1""",,"=""""","=""L153""",
"=""666.675""","=""""","=""""","=""2w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""666.922""","=""666.9175""","=""0.0031""","=""2""","=""""",,"=""31077.80""","=""46068.02""","=""""","=""""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L153,L416""",
"=""667.159""","=""667.1578""","=""0.0031""","=""1""","=""""",,"=""35299.82""","=""50284.64""","=""""","=""""","=""4""","=""""","=""*""","=""4""",,"=""""","=""L153,L416""",
"=""667.412""","=""""","=""""","=""1""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""667.597""","=""667.5935""","=""0.0031""","=""15""","=""""",,"=""19253.56""","=""34228.60""","=""5d4.6s2""","=""3P2""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""667.717""","=""667.7130""","=""0.0031""","=""15""","=""""",,"=""19256.24""","=""34228.60""","=""5d5.(4G).6s""","=""5G""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""667.842""","=""667.8384""","=""0.0031""","=""80""","=""""",,"=""18974.51""","=""33944.06""","=""5d5.(4G).6s""","=""5G""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""667.928""","=""667.9209""","=""0.0031""","=""2""","=""""",,"=""29479.32""","=""44447.02""","=""5d4.6s2""","=""3F1""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""667.979""","=""""","=""""","=""1""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""668.260""","=""668.2580""","=""0.0031""","=""12""","=""4.3e+04""",D,"=""20983.02""","=""35943.17""","=""5d5.(4P).6s""","=""5P""","=""2""","=""""","=""*""","=""3""",,"=""T4976""","=""L153""",
"=""668.290""","=""668.2919""","=""0.0031""","=""1""","=""""",,"=""32378.40""","=""47337.79""","=""5d5.(2D3).6s""","=""3D""","=""1""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""669.308""","=""669.3085""","=""0.0031""","=""30""","=""3.6e+04""",D,"=""14976.18""","=""29912.85""","=""5d4.6s2""","=""3D""","=""2""","=""5d4.6s.(6D).6p""","=""5D*""","=""3""",,"=""T4976""","=""L153""",
"=""669.632""","=""669.6326""","=""0.0031""","=""3""","=""""",,"=""29460.98""","=""44390.42""","=""5d5.(2I).6s""","=""3I""","=""7""","=""""","=""*""","=""6""",,"=""""","=""L153""",
"=""670.181""","=""670.1749""","=""0.0040""","=""4""","=""""",,"=""24789.66""","=""39707.02""","=""5d4.6s2""","=""1D2""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""670.568""","=""""","=""""","=""4""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""670.817""","=""670.8202""","=""0.0041""","=""2""","=""""",,"=""27670.48""","=""42573.49""","=""5d5.(4F).6s""","=""5F""","=""1""","=""""","=""*""","=""1""",,"=""""","=""L153""",
"=""670.860""","=""""","=""""","=""2""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""670.924""","=""670.9188""","=""0.0041""","=""4""","=""""",,"=""23455.02""","=""38355.84""","=""5d5.(4D).6s""","=""5D""","=""1""","=""""","=""*""","=""1""",,"=""""","=""L153""",
"=""671.057""","=""""","=""""","=""3""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""671.328""","=""671.3252""","=""0.0041""","=""15""","=""2.3e+04""",E,"=""13307.10""","=""28198.90""","=""5d4.6s2""","=""3P2""","=""1""","=""5d4.6s.(6D).6p""","=""5P*""","=""1""",,"=""T4976""","=""L153""",
"=""671.396""","=""""","=""""","=""4""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""671.859""","=""671.8548""","=""0.0041""","=""5""","=""""",,"=""28347.60""","=""43227.66""","=""5d5.(4F).6s""","=""5F""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""671.989""","=""671.9862""","=""0.0041""","=""8""","=""""",,"=""32378.40""","=""47255.55""","=""5d5.(2D3).6s""","=""3D""","=""1""","=""""","=""*""","=""1""",,"=""""","=""L153""",
"=""672.518""","=""672.5156""","=""0.0041""","=""15""","=""3.2e+04""",E,"=""19256.24""","=""34121.68""","=""5d5.(4G).6s""","=""5G""","=""4""","=""""","=""*""","=""4""",,"=""T4976""","=""L153""",
"=""672.642""","=""672.6396""","=""0.0041""","=""4""","=""""",,"=""32826.63""","=""47689.33""","=""""","=""""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L153,L416""",
"=""672.915""","=""672.9112""","=""0.0041""","=""4""","=""""",,"=""40476.42""","=""55333.12""","=""""","=""*""","=""5""","=""""","=""""","=""4""",,"=""""","=""L153""",
"=""673.304""","=""673.3037""","=""0.0041""","=""14""","=""""",,"=""36275.10""","=""51123.14""","=""""","=""*""","=""5""","=""5d4.6s.(6D).7s""","=""5D""","=""4""",,"=""""","=""L153""",
"=""673.400""","=""673.4003""","=""0.0041""","=""1""","=""""",,"=""34302.04""","=""49147.95""","=""5d5.(2G2).6s""","=""3G""","=""4""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""674.008""","=""674.0100""","=""0.0041""","=""12w""","=""""",,"=""22476.68""","=""37309.16""","=""5d5.(4D).6s""","=""5D""","=""4""","=""""","=""*""","=""5""",,"=""""","=""L153""",
"=""674.436""","=""""","=""""","=""1""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""674.547""","=""""","=""""","=""7""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""674.656""","=""674.6523""","=""0.0041""","=""15""","=""""",,"=""23930.08""","=""38748.44""","=""5d5.(4D).6s""","=""5D""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""675.019""","=""""","=""""","=""1""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""675.267""","=""675.2647""","=""0.0041""","=""1""","=""""",,"=""19827.68""","=""34632.60""","=""5d5.(4P).6s""","=""5P""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""675.460""","=""675.4591""","=""0.0041""","=""10""","=""""",,"=""28233.44""","=""43034.10""","=""5d5.(4F).6s""","=""5F""","=""5""","=""""","=""*""","=""5""",,"=""""","=""L153""",
"=""675.575""","=""""","=""""","=""4""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""675.638""","=""""","=""""","=""2""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""675.678""","=""675.6764""","=""0.0041""","=""1""","=""""",,"=""32135.94""","=""46931.84""","=""5d5.(4G).6s""","=""3G""","=""4""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""675.784""","=""675.7910""","=""0.0041""","=""5w""","=""""",,"=""35731.96""","=""50525.35""","=""""","=""*""","=""2""","=""""","=""""","=""2""",,"=""""","=""L153""",
"=""676.445""","=""676.4436""","=""0.0041""","=""15""","=""""",,"=""27670.48""","=""42449.60""","=""5d5.(4F).6s""","=""5F""","=""1""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""676.604""","=""""","=""""","=""1""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""676.778""","=""676.7769""","=""0.0041""","=""8""","=""""",,"=""34302.04""","=""49073.88""","=""5d5.(2G2).6s""","=""3G""","=""4""","=""""","=""*""","=""5""",,"=""""","=""L153""",
"=""677.004""","=""677.0075""","=""0.0041""","=""8""","=""""",,"=""32826.63""","=""47593.44""","=""""","=""""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L153,L416""",
"=""677.833""","=""677.8277""","=""0.0041""","=""10""","=""""",,"=""20983.02""","=""35731.96""","=""5d5.(4P).6s""","=""5P""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""678.278""","=""""","=""""","=""2w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""678.769""","=""""","=""""","=""1""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""679.242""","=""679.2370""","=""0.0042""","=""4""","=""""",,"=""23484.78""","=""38203.12""","=""5d4.6s2""","=""1I""","=""6""","=""""","=""*""","=""6""",,"=""""","=""L153""",
"=""679.298""","=""679.2933""","=""0.0042""","=""10*""","=""""",,"=""31389.08""","=""46106.20""","=""5d5.(4G).6s""","=""3G""","=""5""","=""""","=""*""","=""6""",,"=""""","=""L153""",
"=""679.298""","=""679.3034""","=""0.0042""","=""10*""","=""""",,"=""37466.30""","=""52183.20""","=""""","=""*""","=""2""","=""""","=""""","=""2""",,"=""""","=""L153""",
"=""679.364""","=""679.3584""","=""0.0042""","=""3""","=""""",,"=""36190.49""","=""50906.20""","=""""","=""*""","=""1""","=""""","=""""","=""1""",,"=""""","=""L153""",
"=""679.556""","=""""","=""""","=""2""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""679.634""","=""""","=""""","=""6""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""679.930""","=""679.9267""","=""0.0042""","=""12""","=""""",,"=""15069.93""","=""29773.34""","=""5d4.6s2""","=""3H""","=""5""","=""5d4.6s.(6D).6p""","=""7D*""","=""5""",,"=""""","=""L153""",
"=""680.408""","=""680.4038""","=""0.0042""","=""10""","=""""",,"=""29853.66""","=""44546.76""","=""5d5.(4F).6s""","=""5F""","=""4""","=""""","=""*""","=""5""",,"=""""","=""L153""",
"=""680.531""","=""680.5242""","=""0.0042""","=""25""","=""""",,"=""19253.56""","=""33944.06""","=""5d4.6s2""","=""3P2""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""680.878""","=""680.8802""","=""0.0042""","=""1""","=""""",,"=""27849.80""","=""42532.62""","=""5d5.(2I).6s""","=""3I""","=""5""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""681.138""","=""681.1362""","=""0.0042""","=""12""","=""""",,"=""28233.44""","=""42910.74""","=""5d5.(4F).6s""","=""5F""","=""5""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""681.258""","=""""","=""""","=""1""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""681.492""","=""681.4901""","=""0.0042""","=""20""","=""1.46e+05""",D,"=""22476.68""","=""37146.36""","=""5d5.(4D).6s""","=""5D""","=""4""","=""""","=""*""","=""4""",,"=""T4976""","=""L153""",
"=""681.624""","=""""","=""""","=""12""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""681.770""","=""""","=""""","=""1""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""681.989""","=""""","=""""","=""4""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""682.027""","=""682.0247""","=""0.0042""","=""20*""","=""""",,"=""19827.68""","=""34485.86""","=""5d5.(4P).6s""","=""5P""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""682.027""","=""682.0275""","=""0.0042""","=""20*""","=""""",,"=""27213.82""","=""41871.94""","=""5d5.(2F1).6s""","=""3F""","=""4""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""682.592""","=""682.5891""","=""0.0042""","=""1""","=""""",,"=""40011.50""","=""54657.56""","=""""","=""*""","=""2""","=""""","=""""","=""3""",,"=""""","=""L153c23""",
"=""682.649""","=""682.6469""","=""0.0042""","=""4""","=""""",,"=""30374.20""","=""45019.02""","=""5d4.6s2""","=""3F1""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""682.843""","=""682.8404""","=""0.0042""","=""20""","=""""",,"=""31817.63""","=""46458.30""","=""""","=""*""","=""2""","=""5d4.6s.(6D).7s""","=""5D""","=""1""",,"=""""","=""L153""",
"=""682.975""","=""682.9748""","=""0.0042""","=""1""","=""""",,"=""26861.64""","=""41499.43""","=""5d5.(2F1).6s""","=""3F""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""683.219""","=""683.2189""","=""0.0042""","=""8""","=""""",,"=""28233.44""","=""42866.00""","=""5d5.(4F).6s""","=""5F""","=""5""","=""""","=""*""","=""5""",,"=""""","=""L153""",
"=""683.863""","=""683.8592""","=""0.0042""","=""8""","=""""",,"=""28291.88""","=""42910.74""","=""5d5.(2F1).6s""","=""3F""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""684.008""","=""684.0061""","=""0.0042""","=""8""","=""""",,"=""28898.96""","=""43514.68""","=""5d4.6s2""","=""3P1""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""684.488""","=""684.4847""","=""0.0042""","=""10""","=""""",,"=""33370.04""","=""47975.54""","=""5d4.6s.(6D).6p""","=""5F*""","=""5""","=""5d4.6s.(6D).7s""","=""7D""","=""4""",,"=""""","=""L153""",
"=""684.690""","=""684.6877""","=""0.0042""","=""1*""","=""""",,"=""37414.11""","=""52015.28""","=""""","=""""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L416""",
"=""684.690""","=""684.6947""","=""0.0042""","=""1*""","=""""",,"=""33569.53""","=""48170.55""","=""""","=""""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L153,L416""",
"=""684.725""","=""684.7219""","=""0.0042""","=""12""","=""""",,"=""27849.80""","=""42450.24""","=""5d5.(2I).6s""","=""3I""","=""5""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""685.125""","=""685.1264""","=""0.0042""","=""2""","=""""",,"=""27670.48""","=""42262.30""","=""5d5.(4F).6s""","=""5F""","=""1""","=""""","=""*""","=""1""",,"=""""","=""L153""",
"=""685.284""","=""685.2805""","=""0.0042""","=""2""","=""""",,"=""32217.91""","=""46806.45""","=""""","=""""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L153,L416""",
"=""685.374""","=""685.3683""","=""0.0042""","=""30""","=""3.6e+04""",D,"=""19535.01""","=""34121.68""","=""5d5.(4G).6s""","=""5G""","=""5""","=""""","=""*""","=""4""",,"=""T4976""","=""L153""",
"=""685.700""","=""685.6997""","=""0.0042""","=""1w""","=""""",,"=""28898.96""","=""43478.58""","=""5d4.6s2""","=""3P1""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""686.116""","=""""","=""""","=""1""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""686.207""","=""686.2066""","=""0.0038""","=""5""","=""""",,"=""33569.53""","=""48138.38""","=""""","=""""","=""4""","=""""","=""*""","=""5""",,"=""""","=""L153,L416""",
"=""686.481""","=""686.4757""","=""0.0038""","=""15""","=""""",,"=""28347.60""","=""42910.74""","=""5d5.(4F).6s""","=""5F""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""686.665""","=""686.6690""","=""0.0038""","=""2""","=""""",,"=""33291.80""","=""47850.84""","=""5d5.(2I).6s""","=""1I""","=""6""","=""""","=""*""","=""5""",,"=""""","=""L153""",
"=""687.113""","=""""","=""""","=""1""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""687.484""","=""687.4888""","=""0.0038""","=""10*""","=""""",,"=""29479.32""","=""44021.00""","=""5d4.6s2""","=""3F1""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""687.484""","=""687.4888""","=""0.0038""","=""10*""","=""""",,"=""30683.54""","=""45225.22""","=""""","=""*""","=""1""","=""5d4.6s.(6D).7s""","=""5D""","=""0""",,"=""""","=""L153""",
"=""687.516""","=""687.5152""","=""0.0038""","=""3""","=""""",,"=""13348.56""","=""27889.68""","=""5d4.6s2""","=""3G""","=""3""","=""5d5.(6S).6p""","=""7P*""","=""4""",,"=""""","=""L153""",
"=""687.601""","=""687.6032""","=""0.0038""","=""20""","=""""",,"=""35116.78""","=""49656.04""","=""""","=""*""","=""4""","=""5d4.6s.(6D).7s""","=""5D""","=""3""",,"=""""","=""L153""",
"=""687.673""","=""""","=""""","=""2""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""687.723""","=""687.7177""","=""0.0038""","=""1""","=""""",,"=""17701.18""","=""32238.02""","=""5d4.6s2""","=""3F2""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""687.759""","=""687.7598""","=""0.0038""","=""15""","=""""",,"=""37466.30""","=""52002.25""","=""""","=""*""","=""2""","=""""","=""""","=""3""",,"=""""","=""L153""",
"=""688.215""","=""688.2119""","=""0.0038""","=""5""","=""""",,"=""19827.68""","=""34354.08""","=""5d5.(4P).6s""","=""5P""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""688.703""","=""688.6988""","=""0.0038""","=""5""","=""""",,"=""20983.02""","=""35499.15""","=""5d5.(4P).6s""","=""5P""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""688.781""","=""688.7752""","=""0.0038""","=""10""","=""2.e+03""",D,"=""12161.96""","=""26676.48""","=""5d4.6s2""","=""3H""","=""4""","=""5d4.6s.(6D).6p""","=""7F*""","=""5""",,"=""T4976""","=""L153""",
"=""689.143""","=""689.1427""","=""0.0038""","=""4""","=""""",,"=""28720.88""","=""43227.66""","=""5d5.(4P).6s""","=""3P""","=""1""","=""""","=""*""","=""2""",,"=""""","=""L153c23""",
"=""689.180""","=""689.1755""","=""0.0038""","=""8""","=""""",,"=""29479.32""","=""43985.41""","=""5d4.6s2""","=""3F1""","=""4""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""689.320""","=""""","=""""","=""2""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""690.054""","=""690.0494""","=""0.0038""","=""12""","=""""",,"=""33201.61""","=""47689.33""","=""5d5.(2G2).6s""","=""3G""","=""5""","=""""","=""*""","=""4""",,"=""""","=""L153,L416""",
"=""690.380""","=""""","=""""","=""2w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""690.420""","=""690.4163""","=""0.0038""","=""3""","=""""",,"=""31389.08""","=""45869.10""","=""5d5.(4G).6s""","=""3G""","=""5""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""690.488""","=""""","=""""","=""3""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""690.673""","=""""","=""""","=""3""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""690.746""","=""690.7369""","=""0.0038""","=""5""","=""""",,"=""28392.70""","=""42866.00""","=""5d5.(2I).6s""","=""3I""","=""6""","=""""","=""*""","=""5""",,"=""""","=""L153""",
"=""690.829""","=""690.8276""","=""0.0038""","=""20""","=""3.37e+04""",C,"=""13307.10""","=""27778.50""","=""5d4.6s2""","=""3P2""","=""1""","=""5d4.6s.(6D).6p""","=""5D*""","=""1""",,"=""T4976""","=""L153""",
"=""691.552""","=""691.5463""","=""0.0038""","=""10""","=""""",,"=""22852.80""","=""37309.16""","=""5d4.6s2""","=""1G2""","=""4""","=""""","=""*""","=""5""",,"=""""","=""L153""",
"=""691.719""","=""691.7147""","=""0.0038""","=""10""","=""1.0e+04""",E,"=""15460.01""","=""29912.85""","=""5d4.6s2""","=""3D""","=""3""","=""5d4.6s.(6D).6p""","=""5D*""","=""3""",,"=""T4976""","=""L153""",
"=""692.097""","=""692.0935""","=""0.0038""","=""20""","=""""",,"=""29479.32""","=""43924.25""","=""5d4.6s2""","=""3F1""","=""4""","=""""","=""*""","=""5""",,"=""""","=""L153""",
"=""692.665""","=""""","=""""","=""1w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""692.902""","=""692.9032""","=""0.0038""","=""1w""","=""""",,"=""32378.40""","=""46806.45""","=""5d5.(2D3).6s""","=""3D""","=""1""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""693.423""","=""693.4237""","=""0.0038""","=""30""","=""1.5e+04""",D,"=""14976.18""","=""29393.40""","=""5d4.6s2""","=""3D""","=""2""","=""5d4.6s.(6D).6p""","=""5P*""","=""2""",,"=""T4976""","=""L153""",
"=""694.210""","=""694.2086""","=""0.0039""","=""3""","=""""",,"=""19827.68""","=""34228.60""","=""5d5.(4P).6s""","=""5P""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""694.256""","=""694.2500""","=""0.0039""","=""3""","=""""",,"=""31389.08""","=""45789.14""","=""5d5.(4G).6s""","=""3G""","=""5""","=""""","=""*""","=""5""",,"=""""","=""L153""",
"=""694.308""","=""""","=""""","=""3w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""694.368""","=""694.3648""","=""0.0039""","=""12""","=""""",,"=""22476.68""","=""36874.36""","=""5d5.(4D).6s""","=""5D""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L153""",
