obs_wl_air(nm),ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""213.332""","=""213.3335""","=""0.0018""","=""3""","=""""",,"=""3325.53""","=""50185.70""","=""5d4.6s2""","=""5D""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""213.365""","=""""","=""""","=""30""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""213.5625""","=""213.5633""","=""0.0018""","=""6""","=""""",,"=""13348.56""","=""60158.32""","=""5d4.6s2""","=""3G""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""213.5875""","=""""","=""""","=""8""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""213.7135""","=""213.7139""","=""0.0018""","=""20""","=""""",,"=""4830.00""","=""51606.78""","=""5d4.6s2""","=""5D""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""213.7400""","=""213.7425""","=""0.0018""","=""10""","=""""",,"=""4830.00""","=""51600.52""","=""5d4.6s2""","=""5D""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""213.871""","=""213.8728""","=""0.0018""","=""10""","=""""",,"=""12161.96""","=""58903.98""","=""5d4.6s2""","=""3H""","=""4""","=""""","=""*""","=""5""",,"=""""","=""L153""",
"=""213.953""","=""213.9546""","=""0.0018""","=""8""","=""""",,"=""6219.33""","=""52943.48""","=""5d4.6s2""","=""5D""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""213.973""","=""213.9752""","=""0.0018""","=""15""","=""""",,"=""1670.29""","=""48389.96""","=""5d4.6s2""","=""5D""","=""1""","=""""","=""*""","=""1""",,"=""""","=""L153""",
"=""214.1222""","=""214.1252""","=""0.0018""","=""15""","=""""",,"=""12161.96""","=""58848.90""","=""5d4.6s2""","=""3H""","=""4""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""214.1307""","=""214.1330""","=""0.0018""","=""6""","=""""",,"=""2951.29""","=""49636.52""","=""5d5.(6S).6s""","=""7S""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""214.292""","=""214.2923""","=""0.0018""","=""2""","=""""",,"=""13348.56""","=""59999.10""","=""5d4.6s2""","=""3G""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""214.300""","=""214.3014""","=""0.0018""","=""20""","=""""",,"=""1670.29""","=""48318.84""","=""5d4.6s2""","=""5D""","=""1""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""214.3257""","=""214.3267""","=""0.0018""","=""15""","=""""",,"=""4830.00""","=""51473.04""","=""5d4.6s2""","=""5D""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""214.336""","=""214.3384""","=""0.0018""","=""10""","=""""",,"=""3325.53""","=""49966.03""","=""5d4.6s2""","=""5D""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""214.450""","=""214.4518""","=""0.0018""","=""12""","=""""",,"=""12161.96""","=""58777.80""","=""5d4.6s2""","=""3H""","=""4""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""214.549""","=""214.5508""","=""0.0018""","=""6""","=""""",,"=""1670.29""","=""48264.62""","=""5d4.6s2""","=""5D""","=""1""","=""""","=""*""","=""0""",,"=""""","=""L153""",
"=""214.643""","=""214.6445""","=""0.0018""","=""35r""","=""""",,"=""1670.29""","=""48244.29""","=""5d4.6s2""","=""5D""","=""1""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""214.731""","=""214.7332""","=""0.0018""","=""35""","=""""",,"=""6219.33""","=""52774.10""","=""5d4.6s2""","=""5D""","=""4""","=""""","=""*""","=""5""",,"=""""","=""L153""",
"=""214.753""","=""""","=""""","=""12""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""214.8716""","=""214.8739""","=""0.0018""","=""6""","=""""",,"=""17008.50""","=""63532.78""","=""5d4.6s2""","=""3H""","=""6""","=""""","=""*""","=""6""",,"=""""","=""L153""",
"=""215.068""","=""215.0687""","=""0.0019""","=""2""","=""""",,"=""12161.96""","=""58644.10""","=""5d4.6s2""","=""3H""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""215.1075""","=""""","=""""","=""8""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""215.144""","=""215.1454""","=""0.0019""","=""8""","=""""",,"=""15069.93""","=""61535.50""","=""5d4.6s2""","=""3H""","=""5""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""215.192""","=""""","=""""","=""5""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""215.486""","=""""","=""""","=""5""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""215.5690""","=""215.5702""","=""0.0019""","=""20""","=""""",,"=""3325.53""","=""49699.56""","=""5d4.6s2""","=""5D""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""215.669""","=""215.6709""","=""0.0019""","=""2""","=""""",,"=""4830.00""","=""51182.38""","=""5d4.6s2""","=""5D""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""215.768""","=""215.7692""","=""0.0019""","=""10""","=""""",,"=""9528.06""","=""55859.32""","=""5d4.6s2""","=""3P2""","=""0""","=""""","=""*""","=""1""",,"=""""","=""L153""",
"=""215.795""","=""215.7957""","=""0.0019""","=""6""","=""""",,"=""12161.96""","=""58487.52""","=""5d4.6s2""","=""3H""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""215.953""","=""215.9539""","=""0.0019""","=""12""","=""""",,"=""0.00""","=""46291.63""","=""5d4.6s2""","=""5D""","=""0""","=""""","=""*""","=""1""",,"=""""","=""L153""",
"=""216.2816""","=""216.2821""","=""0.0019""","=""6""","=""""",,"=""13777.71""","=""59999.10""","=""5d4.6s2""","=""3F2""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""216.3004""","=""216.3022""","=""0.0019""","=""15""","=""""",,"=""6219.33""","=""52436.44""","=""5d4.6s2""","=""5D""","=""4""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""216.3795""","=""216.3792""","=""0.0019""","=""8""","=""""",,"=""2951.29""","=""49151.94""","=""5d5.(6S).6s""","=""7S""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""216.420""","=""216.4210""","=""0.0019""","=""15""","=""""",,"=""3325.53""","=""49517.26""","=""5d4.6s2""","=""5D""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""216.4340""","=""216.4347""","=""0.0019""","=""25r""","=""""",,"=""3325.53""","=""49514.34""","=""5d4.6s2""","=""5D""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""216.4534""","=""""","=""""","=""12""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""216.4928""","=""216.4940""","=""0.0019""","=""25r""","=""""",,"=""6219.33""","=""52395.50""","=""5d4.6s2""","=""5D""","=""4""","=""""","=""*""","=""5""",,"=""""","=""L153""",
