obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref,Unnamed: 11
398.931,,25067.0,100,,,,,,,L3475,
400.461,,24971.2,150,,,,,,,L3475,
400.515,,24967.8,100,,,,,,,L3475,
400.629,,24960.7,150,,,,,,,L3475,
401.940,,24879.4,160,,,,,,,L3475,
403.898,,24758.7,100,,,,,,,L3475,
404.306,,24733.7,280,,,,,,,L3475,
404.919,,24696.3,160,,,,,,,L3475,
406.784,,24583.1,960,,,,,,,L3475,
407.201,,24557.9,250,,,,,,,L3475,
407.271,,24553.7,190,,,,,,,L3475,
407.583,,24534.9,230,,,,,,,L3475,
409.297,,24432.1,490,,,,,,,L3475,
410.146,,24381.6,120,,,,,,,L3475,
411.318,,24312.1,1200,,,,,,,L3475,
412.576,,24237.9,180,,,,,,,L3475,
413.012,,24212.3,180,,,,,,,L3475,
413.695,,24172.4,2500,,,,,,,L3475,
413.901,,24160.4,150,,,,,,,L3475,
417.375,,23959.3,180,,,,,,,L3475,
417.441,,23955.5,1200,,,,,,,L3475,
417.681,,23941.7,620,,,,,,,L3475,
418.531,,23893.1,120,,,,,,,L3475,
419.109,,23860.1,320,,,,,,,L3475,
420.263,,23794.6,180,,,,,,,L3475,
420.324,,23791.1,250,,,,,,,L3475,
421.305,,23735.8,1200,,,,,,,L3475,
421.505,,23724.5,120,,,,,,,L3475,
421.635,,23717.2,100,,,,,,,L3475,
423.465,,23614.7,170,,,,,,,L3475,
426.205,,23462.9,4900,,,,,,,L3475,
426.595,,23441.4,100,,,,,,,L3475,
427.081,,23414.8,120,,,,,,,L3475,
428.711,,23325.8,100,,,,,,,L3475,
429.516,,23282.0,560,,,,,,,L3475,
431.261,,23187.8,560,,,,,,,L3475,
432.747,,23108.2,110,,,,,,,L3475,
432.990,,23095.2,340,,,,,,,L3475,
433.997,,23041.6,100,,,,,,,L3475,
435.275,,22974.0,100,,,,,,,L3475,
436.690,,22899.6,210,,,,,,,L3475,
437.189,,22873.4,110,,,,,,,L3475,
439.609,,22747.5,520,,,,,,,L3475,
439.850,,22735.0,160,,,,,,,L3475,
440.398,,22706.8,160,,,,,,,L3475,
442.171,,22615.7,4900,,,,,,,L3475,
