obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""141.9479""","=""141.9478""","=""1040g,a""","=""""",,"=""112.061""","=""70560.5""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).4p""","=""""","=""3/2?""",,"=""""","=""L3597""",
"=""142.5037""","=""142.5037""","=""800g,a""","=""""",,"=""112.061""","=""70285.7""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).4p""","=""""","=""3/2?""",,"=""""","=""L3597""",
"=""143.1018""","=""143.1018""","=""380g,a""","=""""",,"=""0.000""","=""69880.3""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p.(3P*).4p""","=""""","=""3/2?""",,"=""""","=""L3597""",
"=""143.1865""","=""143.1859""","=""315g,a""","=""""",,"=""0.000""","=""69839.3""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p.(3P*).4p""","=""""","=""1/2?""",,"=""""","=""L3597""",
"=""143.4155""","=""143.4160""","=""500g,a""","=""""",,"=""112.061""","=""69839.3""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).4p""","=""""","=""1/2?""",,"=""""","=""L3597""",
"=""176.2899""","=""176.28918""","=""100g""","=""""",,"=""0.000""","=""56724.980""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p2""","=""2P""","=""3/2""",,"=""""","=""L4737""",
"=""176.5636""","=""176.56323""","=""200g""","=""""",,"=""0.000""","=""56636.933""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p2""","=""2P""","=""1/2""",,"=""""","=""L4737""",
"=""176.6385""","=""176.63813""","=""200g""","=""""",,"=""112.061""","=""56724.980""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p2""","=""2P""","=""3/2""",,"=""""","=""L4737""",
"=""176.9140""","=""176.91327""","=""200g""","=""""",,"=""112.061""","=""56636.933""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p2""","=""2P""","=""1/2""",,"=""""","=""L4737""",
"=""193.2268""","=""193.2266""","=""1000g,a""","=""""",,"=""0.000""","=""51752.7""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p2""","=""2S""","=""1/2""",,"=""""","=""L3597""",
"=""193.6457""","=""193.6459""","=""1200g,a""","=""""",,"=""112.061""","=""51752.7""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p2""","=""2S""","=""1/2""",,"=""""","=""L3597""",
obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
