obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""149.6183""","=""0.0005""","=""149.6183""","=""0.0005""","=""a""","=""""",,"=""15.287""","=""66852.03""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.38d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""149.6277""","=""0.0005""","=""149.6277""","=""0.0005""","=""a""","=""""",,"=""15.287""","=""66847.83""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.37d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""149.6378""","=""0.0005""","=""149.6378""","=""0.0005""","=""a""","=""""",,"=""15.287""","=""66843.32""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.36d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""149.6489""","=""0.0005""","=""149.6489""","=""0.0005""","=""a""","=""""",,"=""15.287""","=""66838.36""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.35d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""149.6532""","=""0.0005""","=""149.6534""","=""0.0004""","=""a""","=""""",,"=""0.0000""","=""66821.07""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s2.32d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""149.6615""","=""0.0005""","=""149.6615""","=""0.0005""","=""a""","=""""",,"=""15.287""","=""66832.74""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.34d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""149.6696""","=""0.0005""","=""149.6699""","=""0.0004""","=""a""","=""""",,"=""0.0000""","=""66813.69""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s2.31d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""149.6742""","=""0.0005""","=""149.6742""","=""0.0005""","=""a""","=""""",,"=""15.287""","=""66827.07""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.33d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""149.6880""","=""0.0005""","=""149.6876""","=""0.0004""","=""a*""","=""""",,"=""15.287""","=""66821.07""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.32d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""149.6880""","=""0.0005""","=""149.6879""","=""0.0004""","=""a*""","=""""",,"=""0.0000""","=""66805.67""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s2.30d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
