obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 20
423.37331,423.37334,0.00003,23619.817,14,2.0e+06,D+,15245.803,38865.618,4d.5s.(3D).5p,z 4F*,5/2,4d.5s.(3D).5d,f 4D,7/2,6,8,,T4373,L7610,
423.7122,423.71267,0.00004,23600.93,2200,3.00e+07,B+,530.351,24131.250,4d.5s2,a 2D,5/2,4d.5s.(1D).5p,y 2D*,3/2,6,4,,T4373,"L7610,L3475",
425.2398,425.23962,0.00006,23516.14,300,,,15245.803,38761.956,4d.5s.(3D).5p,z 4F*,5/2,4d.5s.(3D).5d,e 4G,7/2,6,8,,,"L7610,L3475",
430.35001,430.35002,0.00008,23236.900,360h,,,15712.522,38949.421,4d.5s.(3D).5p,z 4F*,7/2,4d.5s.(3D).5d,e 4G,9/2,8,10,,,"L7610,L3475",
431.75171,431.75164,0.00003,23161.460,50,,,11359.757,34521.221,5s2.5p,z 2P*,3/2,5p2.(3P).5s,e 4P,5/2,4,6,,,"L7610,L3475",
431.90774,431.90768,0.00003,23153.093,8,1.5e+06,D+,15712.522,38865.618,4d.5s.(3D).5p,z 4F*,7/2,4d.5s.(3D).5d,f 4D,7/2,8,8,,T4373,L7610,
433.19880,433.19897,0.00004,23084.090,110,,,10529.169,33613.250,5s2.5p,z 2P*,1/2,4d3,2P,1/2,2,2,,,"L7610,L3475",
433.8494,433.85013,0.00006,23049.47,30,,,15712.522,38761.956,4d.5s.(3D).5p,z 4F*,7/2,4d.5s.(3D).5d,e 4G,7/2,8,8,,,"L7610,L3475",
434.58569,434.58582,0.00008,23010.422,60,,,16435.907,39446.322,4d.5s.(3D).5p,z 4D*,1/2,4d.5s.(3D).5d,e 4F,3/2,2,4,,,"L7610,L3475",
435.0005,435.0005,0.0006,22988.48,440h,,,16234.382,39222.861,4d.5s.(3D).5p,z 4F*,9/2,4d.5s.(3D).5d,e 4G,11/2,10,12,,,"L7610,L3475",
435.3545,435.35427,0.00003,22969.78,60,,,11277.928,34247.727,4d2.(3F).5s,a 4F,7/2,4d2.(3F).5p,x 2D*,5/2,8,6,,,"L7610,L3475",
435.3627,435.36238,0.00003,22969.35,4,6.6e+05,C+,10937.390,33906.761,4d2.(3F).5s,a 4F,3/2,4d2.(3F).5p,x 2D*,3/2,4,4,,T4373,L7610,
435.3926,435.39252,0.00008,22967.77,60,,,16597.304,39565.085,4d.5s.(3D).5p,z 4D*,3/2,4d.5s.(3D).5d,e 4F,5/2,4,6,,,"L7610,L3475",
435.8951,435.89507,0.00008,22941.30,120,,,16816.641,39757.942,4d.5s.(3D).5p,z 4D*,5/2,4d.5s.(3D).5d,e 4F,7/2,6,8,,,"L7610,L3475",
436.72505,436.72528,0.00003,22897.702,120,1.37e+07,C+,11359.757,34257.447,5s2.5p,z 2P*,3/2,5s2.(2D).5d,e 2D,5/2,4,6,,T4373,"L7610,L3475",
437.6844,437.68461,0.00006,22847.52,150h,,,17116.156,39963.658,4d.5s.(3D).5p,z 4D*,7/2,4d.5s.(3D).5d,2F,7/2,8,8,,,"L7610,L3475",
438.0557,438.05570,0.00003,22828.14,80,7.9e+06,B+,11078.614,33906.761,4d2.(3F).5s,a 4F,5/2,4d2.(3F).5p,x 2D*,3/2,6,4,,T4373,"L7610,L3475",
438.6706,438.67047,0.00003,22796.15,30,6.9e+06,D+,11359.757,34155.912,5s2.5p,z 2P*,3/2,5p2.(3P).5s,e 4P,3/2,4,4,,T4373,"L7610,L3475",
438.8971,438.89708,0.00006,22784.39,100,,,17116.156,39900.541,4d.5s.(3D).5p,z 4D*,7/2,4d.5s.(3D).5d,e 4F,9/2,8,10,,,"L7610,L3475",
439.5241,439.52423,0.00004,22751.88,30,1.95e+06,B+,11277.928,34029.802,4d2.(3F).5s,a 4F,7/2,4d2.(3F).5p,x 2F*,7/2,8,8,,T4373,"L7610,L3475",
439.5904,439.59051,0.00008,22748.45,30,,,16816.641,39565.085,4d.5s.(3D).5p,z 4D*,5/2,4d.5s.(3D).5d,e 4F,5/2,6,6,,,"L7610,L3475",
441.0938,441.09366,0.00003,22670.91,2,2.8e+05,D+,10937.390,33608.312,4d2.(3F).5s,a 4F,3/2,4d2.(3F).5p,x 2F*,5/2,4,6,,T4373,L7610,
