index,energy (cm-1),J,state degeneracy,Uncertainty (cm-1),Config,term,parity
162,533690.000000,1/2,2.0,100.000000,1s.2p.5p,4P,+
163,533690.000000,5/2,6.0,100.000000,1s.2p.5p,4P,+
164,535380.000000,1/2,2.0,100.000000,1s.2p.6p,4P,+
165,535380.000000,5/2,6.0,100.000000,1s.2p.6p,4P,+
166,535380.000000,3/2,4.0,100.000000,1s.2p.6p,4P,+
167,535990.000000,3/2,4.0,100.000000,1s.2p.(1P*).4s,2P,-
168,535990.000000,1/2,2.0,100.000000,1s.2p.(1P*).4s,2P,-
169,539800.000000,1/2,2.0,1000.000000,1s.2p.(1P*).5s,2P,-
170,539800.000000,3/2,4.0,1000.000000,1s.2p.(1P*).5s,2P,-
171,541720.000000,3/2,4.0,100.000000,1s.2p.(1P*).6s,2P,-
172,541720.000000,1/2,2.0,100.000000,1s.2p.(1P*).6s,2P,-
173,542750.000000,3/2,4.0,100.000000,1s.2p.(1P*).7s,2P,-
174,542750.000000,1/2,2.0,100.000000,1s.2p.(1P*).7s,2P,-
175,543440.000000,3/2,4.0,100.000000,1s.2p.(1P*).8s,2P,-
176,543440.000000,1/2,2.0,100.000000,1s.2p.(1P*).8s,2P,-
177,543880.000000,1/2,2.0,100.000000,1s.2p.(1P*).9s,2P,-
178,543880.000000,3/2,4.0,100.000000,1s.2p.(1P*).9s,2P,-
179,544230.000000,3/2,4.0,100.000000,1s.2p.(1P*).10s,2P,-
180,544230.000000,1/2,2.0,100.000000,1s.2p.(1P*).10s,2P,-
181,544420.000000,1/2,2.0,100.000000,1s.2p.(1P*).11s,2P,-
182,544420.000000,3/2,4.0,100.000000,1s.2p.(1P*).11s,2P,-
