obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
,444.6689,,3.67e+07,C',232064.16,254546.49,2s2.2p3.(4S*).3d,3D*,2,2s2.2p3.(4S*).4f,3F,2,,T1115CA,,
444.672,444.6721,170,2.09e+08,C',232064.16,254546.33,2s2.2p3.(4S*).3d,3D*,2,2s2.2p3.(4S*).4f,3F,3,,T1115CA,L369,
,444.7117,,1.03e+06,C',232066.32,254546.49,2s2.2p3.(4S*).3d,3D*,3,2s2.2p3.(4S*).4f,3F,2,,T1115CA,,
,444.7148,,2.62e+07,C',232066.32,254546.33,2s2.2p3.(4S*).3d,3D*,3,2s2.2p3.(4S*).4f,3F,3,,T1115CA,,
444.719,444.7188,180,2.35e+08,C',232066.32,254546.13,2s2.2p3.(4S*).3d,3D*,3,2s2.2p3.(4S*).4f,3F,4,,T1115CA,L369,
473.438,,140,,,,,,,,,,,,,L369,
,478.945,,3.81e+00,C,0.0,20873.4,2s2.2p4,3P,2,2s2.2p4,1D,2,M1,T335,,
,478.945,,9.6e-05,D,0.0,20873.4,2s2.2p4,3P,2,2s2.2p4,1D,2,E2,T333,,
485.939,,170,,,,,,,,,,,,,L369,
,486.899,,1.3e-05,D,341.0,20873.4,2s2.2p4,3P,1,2s2.2p4,1D,2,E2,T333,,
,486.899,,1.21e-02,C,341.0,20873.4,2s2.2p4,3P,1,2s2.2p4,1D,2,M1,T335,,
,490.456,,4.1e-06,D,489.9,20873.4,2s2.2p4,3P,0,2s2.2p4,1D,2,E2,T333,,
493.326,,160,,,,,,,,,,,,,L369,
500.200,,140,,,,,,,,,,,,,L369,
517.325,,150,,,,,,,,,,,,,L369,
558.927,,160,,,,,,,,,,,,,L369,
624.790,,140,,,,,,,,,,,,,L369,
717.990,,130,,,,,,,,,,,,,L369,
721.179,,130w,,,,,,,,,,,,,L369,
801.601,,80,,,,,,,,,,,,,L369,
1004.798,,80w,,,,,,,,,,,,,L369,
obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
,20412,,1.80e-09,C,0.0,489.9,2s2.2p4,3P,2,2s2.2p4,3P,0,E2,T333,,
,29326,,2.30e-10,C,0.0,341.0,2s2.2p4,3P,2,2s2.2p4,3P,1,E2,T333,,
,29326,,8.97e-04,B,0.0,341.0,2s2.2p4,3P,2,2s2.2p4,3P,1,M1,"T333,T335",,
,67160,,1.78e-04,B,341.0,489.9,2s2.2p4,3P,1,2s2.2p4,3P,0,M1,"T333,T335",,
