obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 18
145.567,0.006,145.5588,0.0005,660,,,86460.6511,155161.42,4d9.(2D<5/2>).5p,2[5/2]*,3,4d9.(2D<5/2>).8s,2[5/2],2,,,L647c114,
145.7121,0.0021,145.7125,0.0005,1300,,,86460.6511,155088.95,4d9.(2D<5/2>).5p,2[5/2]*,3,4d9.(2D<5/2>).8s,2[5/2],3,,,L647c114,
149.2268,0.0022,149.23046,0.00018,5700,,,82171.7320,149182.18,4d9.(2D<5/2>).5p,2[7/2]*,3,4d9.(2D<3/2>).7s,2[3/2],2,,,L647c114,
151.455,0.007,151.4539,0.0005,800,,,89134.7240,155161.42,4d9.(2D<3/2>).5p,2[5/2]*,3,4d9.(2D<5/2>).8s,2[5/2],2,,,L647c114,
152.5434,0.0023,152.53979,0.00019,1100,,,83625.5147,149182.18,4d9.(2D<5/2>).5p,2[3/2]*,1,4d9.(2D<3/2>).7s,2[3/2],2,,,L647c114,
152.774,0.007,152.77124,0.00021,540,,,83625.5147,149082.86,4d9.(2D<5/2>).5p,2[3/2]*,1,4d9.(2D<3/2>).7s,2[3/2],1,,,L647c114,
153.221,0.007,153.2194,0.0005,860,,,89895.5377,155161.42,4d9.(2D<3/2>).5p,2[3/2]*,1,4d9.(2D<5/2>).8s,2[5/2],2,,,L647c114,
155.169,0.007,155.16458,0.00017,420,,,80176.4601,144624.16,4d9.(2D<5/2>).5p,2[3/2]*,2,4d9.(2D<5/2>).7s,2[5/2],2,,,L647c114,
155.5188,0.0024,155.51621,0.00022,8400,4.3e+07,D+,80176.4601,144478.44,4d9.(2D<5/2>).5p,2[3/2]*,2,4d9.(2D<5/2>).7s,2[5/2],3,,T9142,L647c114,
156.5376,0.0025,156.53836,0.00022,1200,,,85200.7563,149082.86,4d9.(2D<5/2>).5p,2[5/2]*,2,4d9.(2D<3/2>).7s,2[3/2],1,,,L647c114,
158.877,0.003,158.87447,0.00023,3700,,,86140.0853,149082.86,4d9.(2D<3/2>).5p,2[1/2]*,0,4d9.(2D<3/2>).7s,2[3/2],1,,,L647c114,
159.427,0.003,159.43489,0.00020,6300,,,86460.6511,149182.18,4d9.(2D<5/2>).5p,2[5/2]*,3,4d9.(2D<3/2>).7s,2[3/2],2,,,L647c114,
