obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
216.784,216.7852+,1,,,93068.44,139182.58,5s2.5p4.(3P<2>).6s,2[2],5/2,5s2.5p4.(3P<2>).4f,2[3]*,5/2,,,L5583,
217.040,217.0384+,1,,,93068.44,139128.78,5s2.5p4.(3P<2>).6s,2[2],5/2,5s2.5p4.(3P<2>).7p,2[2]*,5/2,,,L7270,
217.164,217.1653+,2,,,101535.67,147569.10,5s2.5p4.(3P<2>).5d,2[4],7/2,5s2.5p4.(3P<0>).4f,2[3]*,7/2,,,L6991,
217.623,217.6221+,2,,,93068.44,139005.27,5s2.5p4.(3P<2>).6s,2[2],5/2,5s2.5p4.(3P<2>).4f,2[3]*,7/2,,,L5583,
217.825,217.8248+,0,,,111326.96,157221.03,5s2.5p4.(3P<1>).5d,2[2],3/2,5s2.5p4.(1D<2>).4f,2[3]*,5/2,,,L5583,
219.278,219.2771+,0,,,95396.74,140986.89,5s2.5p4.(3P<2>).5d,2[2],5/2,5s2.5p4.(3P<2>).7p,2[2]*,3/2,,,L7270,
219.348,219.3450+,1*,,,102799.07,148375.10,5s2.5p4.(3P<1>).6s,2[1],3/2,5s2.5p4.(3P<1>).4f,2[2]*,3/2,,,L6991,
219.348,219.344+,1*,,,111792.17,157368.5,5s2.5p4.(3P<2>).6p,2[2]*,3/2,5s2.5p4.(3P<1>).8s,2[1],1/2,,,L6991,
220.824,220.8245+,3,,,95064.38,140335.09,5s2.5p4.(3P<2>).6s,2[2],3/2,5s2.5p4.(3P<2>).4f,2[1]*,3/2,,,L5583,
221.437,221.4365+,3,,,95064.38,140209.99,5s2.5p4.(3P<2>).6s,2[2],3/2,5s2.5p4.(3P<2>).4f,2[2]*,5/2,,,L5583,
221.558,221.5559+,2,,,95064.38,140185.67,5s2.5p4.(3P<2>).6s,2[2],3/2,5s2.5p4.(3P<2>).4f,2[1]*,1/2,,,L5583,
222.276,222.2757+,3,,,111326.96,156302.13,5s2.5p4.(3P<1>).5d,2[2],3/2,5s2.5p4.(1D<2>).4f,2[2]*,3/2,,,L5583,
222.429,222.4234+,0*,,,111958.89,156904.21,5s2.5p4.(3P<2>).6p,2[2]*,5/2,5s2.5p4.(3P<2>).6g,2[3],7/2,,,L6991,
222.429,222.432+,0*,,,111958.89,156902.5,5s2.5p4.(3P<2>).6p,2[2]*,5/2,5s2.5p4.(3P<2>).6g,2[3],5/2,,,L6991,
222.459,222.4579+,2,,,95396.74,140335.09,5s2.5p4.(3P<2>).5d,2[2],5/2,5s2.5p4.(3P<2>).4f,2[1]*,3/2,,,L5583,
222.599,222.6041+,2,,,111326.96,156235.80,5s2.5p4.(3P<1>).5d,2[2],3/2,5s2.5p4.(1D<2>).4f,2[2]*,5/2,,,L5583,
223.079,223.0790+,1h,,,95396.74,140209.99,5s2.5p4.(3P<2>).5d,2[2],5/2,5s2.5p4.(3P<2>).4f,2[2]*,5/2,,,L6925,
223.283,223.2829+,2,,,95437.67,140209.99,5s2.5p4.(3P<2>).5d,2[3],7/2,5s2.5p4.(3P<2>).4f,2[2]*,5/2,,,L5583,
223.499,223.4992+,1,,,112703.64,157432.63,5s2.5p4.(3P<1>).5d,2[2],5/2,5s2.5p4.(1D<2>).4f,2[4]*,7/2,,,L5583,
223.552,223.5510+,2,,,102799.07,147517.71,5s2.5p4.(3P<1>).6s,2[1],3/2,5s2.5p4.(3P<0>).4f,2[3]*,5/2,,,L5583,
223.979,223.9787+,1,,,95396.74,140029.99,5s2.5p4.(3P<2>).5d,2[2],5/2,5s2.5p4.(3P<2>).4f,2[4]*,7/2,,,L5583,
224.186,224.1843+,2h,,,95437.67,140029.99,5s2.5p4.(3P<2>).5d,2[3],7/2,5s2.5p4.(3P<2>).4f,2[4]*,7/2,,,L6925,
224.561,224.5617+,1,,,112703.64,157221.03,5s2.5p4.(3P<1>).5d,2[2],5/2,5s2.5p4.(1D<2>).4f,2[3]*,5/2,,,L7270,
224.717,224.7157+,1,,,105313.33,149800.20,5s2.5p4.(3P<2>).5d,2[1],3/2,5s2.5p4.(3P<1>).4f,2[3]*,5/2,,,L7270,
224.822,224.8214+,1,,,95437.67,139903.63,5s2.5p4.(3P<2>).5d,2[3],7/2,5s2.5p4.(3P<2>).4f,2[5]*,9/2,,,L5583,
224.986,224.9827+,4,,,95064.38,139498.46,5s2.5p4.(3P<2>).6s,2[2],3/2,5s2.5p4.(3P<2>).4f,2[2]*,3/2,,,L6925,
225.474,225.4746+,1,,,95396.74,139733.89,5s2.5p4.(3P<2>).5d,2[2],5/2,5s2.5p4.(3P<2>).7p,2[3]*,7/2,,,L7270,
225.656,225.6555+,1h,,,96033.48,140335.09,5s2.5p4.(3P<2>).5d,2[2],3/2,5s2.5p4.(3P<2>).4f,2[1]*,3/2,,,L6925,
225.682,225.6830+,2*,,,95437.67,139733.89,5s2.5p4.(3P<2>).5d,2[3],7/2,5s2.5p4.(3P<2>).7p,2[3]*,7/2,,,L6991,
225.682,225.6832+,2*,,,112924.84,157221.03,5s2.5p4.(1D<2>).6s,2[2],3/2,5s2.5p4.(1D<2>).4f,2[3]*,5/2,,,L6991,
225.922,225.9226+,1h,,,95396.74,139645.98,5s2.5p4.(3P<2>).5d,2[2],5/2,5s2.5p4.(3P<2>).7p,2[3]*,5/2,,,L6925,
226.133,226.1318+,0,,,95437.67,139645.98,5s2.5p4.(3P<2>).5d,2[3],7/2,5s2.5p4.(3P<2>).7p,2[3]*,5/2,,,L6991,
226.295,226.2946+,2,,,96033.48,140209.99,5s2.5p4.(3P<2>).5d,2[2],3/2,5s2.5p4.(3P<2>).4f,2[2]*,5/2,,,L6925,
226.420,226.4193+,2,,,96033.48,140185.67,5s2.5p4.(3P<2>).5d,2[2],3/2,5s2.5p4.(3P<2>).4f,2[1]*,1/2,,,L6925,
226.499,226.5000+,3,,,111326.96,155463.41,5s2.5p4.(3P<1>).5d,2[2],3/2,5s2.5p4.(1D<2>).4f,2[1]*,3/2,,,L7270,
226.562,226.5586+,3h,,,104250.06,148375.10,5s2.5p4.(3P<1>).5d,2[1],1/2,5s2.5p4.(3P<1>).4f,2[2]*,3/2,,,L6925,
226.594,226.5937+,2h,,,95064.38,139182.58,5s2.5p4.(3P<2>).6s,2[2],3/2,5s2.5p4.(3P<2>).4f,2[3]*,5/2,,,L6925,
226.680,226.6784+,3h,,,95396.74,139498.46,5s2.5p4.(3P<2>).5d,2[2],5/2,5s2.5p4.(3P<2>).4f,2[2]*,3/2,,,L6925,
226.872,226.8704+,1h,,,95064.38,139128.78,5s2.5p4.(3P<2>).6s,2[2],3/2,5s2.5p4.(3P<2>).7p,2[2]*,5/2,,,L6925,
227.318,227.3157+,1,,,96033.48,140011.58,5s2.5p4.(3P<2>).5d,2[2],3/2,5s2.5p4.(3P<2>).7p,2[1]*,1/2,,,L6991,
227.337,227.3336+,3,,,104250.06,148224.69,5s2.5p4.(3P<1>).5d,2[1],1/2,5s2.5p4.(1S<0>).6p,2[1]*,1/2,,,L7270,
228.260,228.2554+,0bl,,,95396.74,139193.80,5s2.5p4.(3P<2>).5d,2[2],5/2,5s2.5p4.(3P<2>).7p,2[1]*,3/2,,,L7270,
228.314,228.3139+,5,,,95396.74,139182.58,5s2.5p4.(3P<2>).5d,2[2],5/2,5s2.5p4.(3P<2>).4f,2[3]*,5/2,,,L5583,
228.524,228.5275+,2h,,,95437.67,139182.58,5s2.5p4.(3P<2>).5d,2[3],7/2,5s2.5p4.(3P<2>).4f,2[3]*,5/2,,,L6925,
228.594,228.5948+,8,,,95396.74,139128.78,5s2.5p4.(3P<2>).5d,2[2],5/2,5s2.5p4.(3P<2>).7p,2[2]*,5/2,,,L6925,
228.792,228.785+,2,,,113672.89,157368.5,5s2.5p4.(3P<2>).6p,2[1]*,1/2,5s2.5p4.(3P<1>).8s,2[1],1/2,,,L6991,
229.084,229.0850+,2h,,,105313.33,148951.80,5s2.5p4.(3P<2>).5d,2[1],3/2,5s2.5p4.(3P<1>).4f,2[2]*,5/2,,,L6925,
229.201,229.2214+,2bl,,,96033.48,139645.98,5s2.5p4.(3P<2>).5d,2[2],3/2,5s2.5p4.(3P<2>).7p,2[3]*,5/2,,,L5583,
229.240,229.2423+,20,,,95396.74,139005.27,5s2.5p4.(3P<2>).5d,2[2],5/2,5s2.5p4.(3P<2>).4f,2[3]*,7/2,,,L6925,
229.457,229.4577+,15,,,95437.67,139005.27,5s2.5p4.(3P<2>).5d,2[3],7/2,5s2.5p4.(3P<2>).4f,2[3]*,7/2,,,L6925,
229.652,229.6548+,30,,,95437.67,138967.87,5s2.5p4.(3P<2>).5d,2[3],7/2,5s2.5p4.(3P<2>).4f,2[4]*,9/2,,,L6925,
229.936,229.9363+,2h,,,96858.18,140335.09,5s2.5p4.(3P<2>).5d,2[1],1/2,5s2.5p4.(3P<2>).4f,2[1]*,3/2,,,L6925,
229.998,229.9994+,6,,,96033.48,139498.46,5s2.5p4.(3P<2>).5d,2[2],3/2,5s2.5p4.(3P<2>).4f,2[2]*,3/2,,,L6925,
230.460,230.4644+,1h,,,112924.84,156302.13,5s2.5p4.(1D<2>).6s,2[2],3/2,5s2.5p4.(1D<2>).4f,2[2]*,3/2,,,L6925,
230.728,230.7294+,3,,,96858.18,140185.67,5s2.5p4.(3P<2>).5d,2[1],1/2,5s2.5p4.(3P<2>).4f,2[1]*,1/2,,,L6925,
230.815,230.8174+,3,,,112924.84,156235.80,5s2.5p4.(1D<2>).6s,2[2],3/2,5s2.5p4.(1D<2>).4f,2[2]*,5/2,,,L5583,
231.370,231.3705+,5,,,106475.21,149682.65,5s2.5p4.(3P<2>).5d,2[3],5/2,5s2.5p4.(3P<1>).4f,2[3]*,7/2,,,L6925,
231.421,231.4167+,1bl*,,,113705.40,156904.21,5s2.5p4.(3P<2>).6p,2[3]*,7/2,5s2.5p4.(3P<2>).6g,2[3],7/2,,,L6991,
231.421,231.426+,1bl*,,,113705.40,156902.5,5s2.5p4.(3P<2>).6p,2[3]*,7/2,5s2.5p4.(3P<2>).6g,2[3],5/2,,,L6991,
231.627,231.6231+,2,,,96033.48,139193.80,5s2.5p4.(3P<2>).5d,2[2],3/2,5s2.5p4.(3P<2>).7p,2[1]*,3/2,,,L6991,
231.680,231.6833+,10,,,96033.48,139182.58,5s2.5p4.(3P<2>).5d,2[2],3/2,5s2.5p4.(3P<2>).4f,2[3]*,5/2,,,L6925,
231.970,231.9726+,7,,,96033.48,139128.78,5s2.5p4.(3P<2>).5d,2[2],3/2,5s2.5p4.(3P<2>).7p,2[2]*,5/2,,,L6925,
232.154,232.1532+,0,,,105313.33,148375.10,5s2.5p4.(3P<2>).5d,2[1],3/2,5s2.5p4.(3P<1>).4f,2[2]*,3/2,,,L6991,
233.542,233.5449+,2h,,,106475.21,149280.40,5s2.5p4.(3P<2>).5d,2[3],5/2,5s2.5p4.(3P<1>).4f,2[4]*,7/2,,,L6925,
234.218,234.2215+,3h,,,114751.08,157432.63,5s2.5p4.(3P<1>).5d,2[3],5/2,5s2.5p4.(1D<2>).4f,2[4]*,7/2,,,L6925,
234.447,234.4482+,12,,,96858.18,139498.46,5s2.5p4.(3P<2>).5d,2[1],1/2,5s2.5p4.(3P<2>).4f,2[2]*,3/2,,,L6925,
235.010,235.0088+,0a,,,112924.84,155463.41,5s2.5p4.(1D<2>).6s,2[2],3/2,5s2.5p4.(1D<2>).4f,2[1]*,3/2,,,L5583,
235.070,235.0701+,0,,,114905.15,157432.63,5s2.5p4.(1D<2>).5d,2[4],9/2,5s2.5p4.(1D<2>).4f,2[4]*,7/2,,,L5583,
235.118,235.1189+,4h,,,114913.98,157432.63,5s2.5p4.(1D<2>).5d,2[4],7/2,5s2.5p4.(1D<2>).4f,2[4]*,7/2,,,L6925,
235.156,235.1589+,4h,,,114905.15,157416.58,5s2.5p4.(1D<2>).5d,2[4],9/2,5s2.5p4.(1D<2>).4f,2[4]*,9/2,,,L6925,
235.206,235.2077+,1,,,114913.98,157416.58,5s2.5p4.(1D<2>).5d,2[4],7/2,5s2.5p4.(1D<2>).4f,2[4]*,9/2,,,L5583,
235.352,235.3518+,1h,,,106475.21,148951.80,5s2.5p4.(3P<2>).5d,2[3],5/2,5s2.5p4.(3P<1>).4f,2[2]*,5/2,,,L6925,
235.389,235.3886+,1h,,,114751.08,157221.03,5s2.5p4.(3P<1>).5d,2[3],5/2,5s2.5p4.(1D<2>).4f,2[3]*,5/2,,,L6925,
235.625,235.6238+,1h,,,105947.55,148375.10,5s2.5p4.(3P<2>).5d,2[0],1/2,5s2.5p4.(3P<1>).4f,2[2]*,3/2,,,L6925,
235.672,235.6743+,4h,,,107381.74,149800.20,5s2.5p4.(3P<0>).5d,2[2],3/2,5s2.5p4.(3P<1>).4f,2[3]*,5/2,,,L6925,
236.042,236.0471+,1h,,,114751.08,157102.56,5s2.5p4.(3P<1>).5d,2[3],5/2,5s2.5p4.(1D<2>).4f,2[3]*,7/2,,,L6925,
236.290,236.2950+,0bl,,,114913.98,157221.03,5s2.5p4.(1D<2>).5d,2[4],7/2,5s2.5p4.(1D<2>).4f,2[3]*,5/2,,,L6991,
236.413,236.4150+,0,,,106906.12,149191.69,5s2.5p4.(3P<1>).6s,2[1],1/2,5s2.5p4.(1S<0>).6p,2[1]*,3/2,,,L6991,
236.463,236.4622+,0,,,105947.55,148224.69,5s2.5p4.(3P<2>).5d,2[0],1/2,5s2.5p4.(1S<0>).6p,2[1]*,1/2,,,L6991,
