obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 17
201.9090,201.90948,0.00122,5,,,23046.724,72557.895,,,7/2,,,9/2,,,L6520,
201.9207,201.92014,0.00122,9,,,18990.929,68499.486,,,3/2,,,3/2,,,L6520,
201.95675,201.95673,0.00020,3,,,14857.160,64356.750,,,9/2,,,7/2,,,L11762,
202.06242,202.06236,0.00020,3,,,16553.087,66026.803,5d4.(3H).6s,4H,9/2,,,7/2,,,L11762,
202.0919,202.09250,0.00123,9,,,20534.191,70000.529,,,11/2,5d3.(2H).6s.(3H).6p,4H*,13/2,,,L6520,
202.1468,202.14761,0.00123,5,,,18990.929,68443.785,,,3/2,,,5/2,,,L6520,
202.23519,202.23519,0.00008,6,,,20780.358,70211.800,,,9/2,,,7/2,,,L11762,
202.3802,202.37960,0.00123,9,,,14634.336,64030.511,5d4.(5D).6s,4D,3/2,,,5/2,,,L6520,
202.44853,202.44853,0.00025,3,,,17436.932,66816.290,5d4.(3H).6s,4H,11/2,,,9/2,,,L11762,
202.51776,202.51758,0.00025,3,,,23234.778,72597.303,,,9/2,,,7/2,,,L11762,
202.5471,202.54634,0.00123,25bl,,,11301.024,60656.540,5d3.6s2,4F,5/2,,,5/2,,,L6520,
202.5655,202.56724,0.00123,25bl,,,14857.160,64207.585,,,9/2,,,9/2,,,L6520,
202.59558,202.59543,0.00025,3,,,19276.431,68619.990,,,5/2,,,7/2,,,L11762,
202.60032,202.60032,0.00016,4,,,14967.745,64310.114,,,5/2,,,5/2,,,L11762,
202.608751,202.608751,0.000009,71,,,4716.278,54056.594,5d4.(5D).6s,6D,7/2,,,9/2,,,L11762,
202.72939,202.72935,0.00008,9,,,23955.349,73266.317,,,11/2,,,11/2,,,L11762,
202.73324,202.733206,0.000041,13,,,4716.278,54026.309,5d4.(5D).6s,6D,7/2,,,5/2,,,L11762,
202.75709,202.75710,0.00008,6,,,13411.939,62716.159,5d3.6s2,4F,7/2,5d3.(4P).6s.(5P).6p,6D*,9/2,,,L11762,
202.78935,202.789206,0.000206,3,,,8711.274,58007.690,5d3.6s2,4F,3/2,,,3/2,,,L11762,
202.8142,202.81305,0.00123,9,,,13434.070,62724.690,,,5/2,,,3/2,,,L6520,
202.8262,202.82624,0.00123,15,,,14967.745,64255.162,,,5/2,,,3/2,,,L6520,
202.85181,202.85174,0.00029,2,,,13173.337,62454.559,5d4.(5D).6s,4D,1/2,,,3/2,,,L11762,
202.91227,202.912259,0.000082,9,,,17436.932,66703.457,5d4.(3H).6s,4H,11/2,,,11/2,,,L11762,
