obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 18
314.5900,0.0006,314.590397,0.000009,2,,,172335.5985,204113.7598,3s2.3p4.(1D).3d,2D,5/2,3s2.3p4.(1D).5p,2D*,3/2,,,L14821,
314.6422,0.0006,314.642615,0.000004,4,3.e+05,D,155043.1619,186816.0496,3s2.3p4.(3P).4p,4P*,5/2,3s2.3p4.(3P).4d,2F,7/2,,T926,L14821,
314.8206,0.0002,314.820599,0.000004,2,,,170401.0170,202155.9425,3s2.3p4.(1D).4p,2F*,5/2,3s2.3p4.(3P).5d,2F,5/2,,,L11520,
315.0510,0.0006,315.051619,0.000011,4,,,163299.5616,195031.2028,3s2.3p4.(1D).3d,2F,5/2,3s2.3p4.(3P<2>).4f,2[2]*,5/2,,,L14821,
315.2613,0.0006,315.261816,0.000015,3,,,174409.8916,206120.3769,3s2.3p4.(1D).3d,2P,3/2,3s2.3p4.(3P<1>).5f,2[2]*,5/2,,,L14821,
315.37844,0.00004,315.378461,0.000020,13,,,172816.2926,204515.050,3s2.3p4.(1D).4p,2P*,1/2,3s2.3p4.(3P).5d,2P,1/2,,,L11520,
315.3947,0.0006,315.395951,0.000008,0.5,,,163299.5616,194996.5613,3s2.3p4.(1D).3d,2F,5/2,3s2.3p4.(3P<2>).4f,2[2]*,3/2,,,L14821,
315.4289,0.0006,315.429950,0.000017,2,,,174409.8916,206103.4749,3s2.3p4.(1D).3d,2P,3/2,3s2.3p4.(3P<1>).5f,2[2]*,3/2,,,L14821,
315.8208,0.0006,315.821330,0.000022,0.5,,,179931.8393,211586.1480,3s2.3p4.(1S).3d,2D,3/2,3s2.3p4.(3P<1>).6f,2[2]*,5/2,,,L14821,
316.13729,0.00002,316.137289,0.000020,45,1.8e+08,D,161089.3846,192712.058,3s2.3p4.(3P).4p,2S*,1/2,3s2.3p4.(3P).4d,2D,3/2,,T1240,L11520,
316.14570,0.00004,316.145654,0.000005,15,,,163506.5368,195128.3735,3s2.3p4.(1D).3d,2F,7/2,3s2.3p4.(3P<2>).4f,2[5]*,9/2,,,L11520,
316.3535,0.0006,316.354059,0.000020,2,,,172816.2926,204417.2985,3s2.3p4.(1D).4p,2P*,1/2,3s2.3p4.(3P).5d,2D,3/2,,,L14821,
316.52910,0.00005,316.529107,0.000005,11,,,163299.5616,194883.0921,3s2.3p4.(1D).3d,2F,5/2,3s2.3p4.(3P<2>).4f,2[3]*,7/2,,,L11520,
316.7464,0.0006,316.747134,0.000006,3,,,163299.5616,194861.3529,3s2.3p4.(1D).3d,2F,5/2,3s2.3p4.(3P<2>).4f,2[3]*,5/2,,,L14821,
316.96682,0.00001,316.966803,0.000005,78,4.9e+07,C,155351.1206,186891.0393,3s2.3p4.(3P).4p,4P*,3/2,3s2.3p4.(3P).4d,4P,5/2,,T926,L11520,
