obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
352.052,352.05202+,210,8.3e+06,B,1410.304,29807.078,4f.(2F*).5d2.(3F),4I*,9/2,4f2.(3P).5d,2F,7/2,,T8629,L3475,
352.188,352.18760+,330,,,4910.963,33296.805,4f.5d.(3H*).6s,*,11/2,4f.5d.(1F*).6p,,9/2,,,L3475,
352.668,352.66895+,210,,,8169.698,36516.798,4f.(2F*).5d2.(3F),4S*,3/2,4f.5d.(3P*).6p,,3/2,,,L3475,
353.405,353.40448+,600,3.24e+07,B,4203.934,32492.038,4f.(2F*).5d2.(3F),4H*,13/2,4f.5d.(3G*).6p,,11/2,,T8629,L3475,
353.908,353.90789+,770,3.57e+07,B,2581.257,30829.124,4f.(2F*).5d2.(3F),4H*,9/2,4f.5d.(3G*).6p,,7/2,,T8629,L3475,
354.560,354.56009+,210,,,2879.695,31075.603,4f.(2F*).5d2.(3F),4H*,11/2,4f.5d.(3G*).6p,,9/2,,,L3475,
354.619,354.61892+,290,,,1873.934,30065.164,4f.(2F*).5d2.(3F),*,7/2,4f.5d.(3F*).6p,,7/2,,,L3475,
355.273,355.27240+,240,9.8e+06,B,2563.233,30702.610,4f.(2F*).5d2.(3F),4I*,11/2,4f.5d.(3G*).6p,,9/2,,T8629,L3475,
355.500,355.50012+,420,1.55e+07,B,2581.257,30702.610,4f.(2F*).5d2.(3F),4H*,9/2,4f.5d.(3G*).6p,,9/2,,T8629,L3475,
356.080,356.08019+,1200,7.3e+07,B+,5455.845,33531.388,4f.(2F*).5d2.(3F),4I*,15/2,4f.5d.(3G*).6p,4H,13/2,,T8629,L3475,
357.623,357.62288+,210,,,1410.304,29364.740,4f.(2F*).5d2.(3F),4I*,9/2,4f2.(3P).5d,,7/2,,,L3475,
357.745,357.74556+,1000,6.0e+07,B+,3793.634,31738.484,4f.(2F*).5d2.(3F),4I*,13/2,4f.5d.(3G*).6p,4H,11/2,,T8629,L3475,
359.060,359.05991+,330,,,5969.007,33811.567,4f.(2F*).5d2.(1G),*,11/2,4f.5d.(3G*).6p,2H,9/2,,,L3475,
360.763,360.76245+,390,,,5437.422,33148.589,4f.(2F*).5d2.(3F),4G*,7/2,5d3,,5/2,,,L3475,
360.969,360.96859+,550,,,7233.627,34928.969,4f.5d.(3G*).6s,4G*,11/2,4f.5d.(3D*).6p,,9/2,,,L3475,
361.370,361.37052+,420,,,4266.397,31930.936,4f.5d.(3G*).6s,*,7/2,4f.5d.(3G*).6p,,9/2,,,L3475,
362.215,362.21456+,440,,,6913.392,34513.468,4f.5d.(3H*).6s,4H*,13/2,4f.5d.(3H*).6p,2I,13/2,,,L3475,
362.374,362.37724+,380,,,5964.896,33552.582,4f.(2F*).5d2.(3F),4F*,7/2,4f.6s.(3F*).6p,,5/2,,,L3475,
362.374,362.37724+,380,,,5964.896,33552.582,4f.(2F*).5d2.(3F),4F*,7/2,4f.6s.(3F*).6p,,5/2,,,L3475,
362.384,362.38365+,440,,,6389.942,33977.140,4f.(2F*).5d2.(3F),4G*,9/2,4f.5d.(3D*).6p,,7/2,,,L3475,
363.119,363.11965+,200,,,3703.594,31234.878,4f.(2F*).5d2.(3F),*,7/2,4f.5d.(1D*).6p,,5/2,,,L3475,
364.697,364.69621+,350,1.50e+07,B,2382.246,29794.517,4f.5d.(1G*).6s,*,9/2,4f.5d.(3F*).6p,,7/2,,T8629,L3475,
364.775,364.77504+,260,,,7522.622,34928.969,4f.(2F*).5d2.(3F),4G*,11/2,4f.5d.(3D*).6p,,9/2,,,L3475,
364.795,364.79430+,260,,,8402.668,35807.568,4f.5d.(3D*).6s,4D*,7/2,4f.6s.(1F*).6p,,9/2,,,L3475,
365.311,365.31042+,420,1.62e+07,C+,2879.695,30245.878,4f.(2F*).5d2.(3F),4H*,11/2,4f.5d.(3F*).6p,,9/2,,T8629,L3475,
365.367,365.36641+,660,2.28e+07,B+,3793.634,31155.623,4f.(2F*).5d2.(3F),4I*,13/2,4f.5d.(3H*).6p,4H,13/2,,T8629,L3475,
365.497,365.49341+,310,1.25e+07,C+,2641.559,29994.041,4f.5d.(1G*).6s,*,7/2,4f.5d.(3G*).6p,,5/2,,T8629,L3475,
365.585,365.58444+,1800,4.49e+07,B+,2563.233,29908.904,4f.(2F*).5d2.(3F),4I*,11/2,4f.5d.(3G*).6p,4H,9/2,,T8629,L3475,
365.923,365.92251+,440,1.32e+07,B,1410.304,28730.712,4f.(2F*).5d2.(3F),4I*,9/2,4f.5d.(3F*).6p,4F,7/2,,T8629,L3475,
365.997,365.99705+,350,9.2e+06,C+,1410.304,28725.148,4f.(2F*).5d2.(3F),4I*,9/2,4f.5d.(3H*).6p,,9/2,,T8629,L3475,
366.064,366.06381+,880,1.98e+07,B,987.611,28297.473,4f.(2F*).5d2.(3F),*,9/2,4f.5d.(3G*).6p,4H,7/2,,T8629,L3475,
366.798,366.79780+,880,2.82e+07,B+,2879.695,30134.910,4f.(2F*).5d2.(3F),4H*,11/2,4f.5d.(3H*).6p,4H,11/2,,T8629,L3475,
367.279,367.27868+,350,,,7293.938,34513.468,4f.(2F*).5d2.(3F),2I*,13/2,4f.5d.(3H*).6p,2I,13/2,,,L3475,
367.942,367.94256+,220,,,8175.863,35346.282,4f.5d.(3D*).6s,4D*,5/2,4f.6s.(3F*).6p,,7/2,,,L3475,
369.491,369.49082+,300,5.0e+06,B,2382.246,29438.817,4f.5d.(1G*).6s,*,9/2,4f.5d.(3H*).6p,,11/2,,T8629,L3475,
370.498,370.49758+,220,6.2e+06,C+,5819.113,32802.165,4f.5d.(3G*).6s,*,9/2,4f.5d.(3H*).6p,2I,11/2,,T8629,L3475,
370.929,370.92873+,1000,2.94e+07,B+,4203.934,31155.623,4f.(2F*).5d2.(3F),4H*,13/2,4f.5d.(3H*).6p,4H,13/2,,T8629,L3475,
