obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 18
1602.3235,0.0004,1602.3232,0.0003,29,,,306899.2903,313138.5238,2s2.2p4.(3P).5p,4P*,5/2,2s2.2p4.(3P).5d,4P,5/2,,,L11301,
1622.96629,0.00015,1622.96632,0.00016,190,,,302816.9602,308976.8347,2s2.2p4.(3P).4d,4P,3/2,2s2.2p4.(3P).5p,2P*,1/2,,,L11301,
1626.8763,0.0004,1626.87613,0.00021,40,,,302831.7640,308976.8347,2s2.2p4.(3P).4d,2P,1/2,2s2.2p4.(3P).5p,2P*,1/2,,,L11301,
1647.3450,0.0005,1647.3451,0.0003,26,,,307069.8080,313138.5238,2s2.2p4.(3P).5p,4P*,3/2,2s2.2p4.(3P).5d,4P,5/2,,,L11301,
1662.8677,0.0015,1662.8672,0.0003,9,,,308006.8460,314018.9129,2s2.2p4.(3P).5p,2S*,1/2,2s2.2p4.(3P).6s,2P,1/2,,,L11301,
1665.0531,0.0003,1665.05301,0.00022,66,,,306899.2903,312903.4650,2s2.2p4.(3P).5p,4P*,5/2,2s2.2p4.(3P).6s,4P,5/2,,,L11301,
1681.1060,0.0020,1681.1059,0.0003,8,,,301947.9789,307894.8198,2s2.2p4.(3P).4d,4D,3/2,2s2.2p4.(3P).5p,4D*,5/2,,,L11301,
1683.7630,0.0007,1683.7629,0.0004,23,,,312223.5155,318160.9720,2s2.2p4.(3P).5d,4D,7/2,2s2.2p4.(3P<2>).6f,2[3]*,7/2,,,L11301,
1684.8493,0.0018,1684.8495,0.0004,9,,,312223.5155,318157.1429,2s2.2p4.(3P).5d,4D,7/2,2s2.2p4.(3P<2>).6f,2[4]*,7/2,,,L11301,
1685.1593,0.0003,1685.1593,0.0003,78,,,312223.5155,318156.0520,2s2.2p4.(3P).5d,4D,7/2,2s2.2p4.(3P<2>).6f,2[4]*,9/2,,,L11301,
1687.1833,0.0006,1687.1835,0.0003,24,,,307774.6858,313700.1049,2s2.2p4.(3P).5p,4D*,3/2,2s2.2p4.(3P).6s,4P,1/2,,,L11301,
1688.0870,0.0009,1688.0867,0.0006,18,,,312258.0516,318180.3002,2s2.2p4.(3P).5d,4D,5/2,2s2.2p4.(3P<2>).6f,2[2]*,5/2,,,L11301,
1688.42829,0.00020,1688.42828,0.00017,115,,,302816.9602,308738.0108,2s2.2p4.(3P).4d,4P,3/2,2s2.2p4.(3P).5p,2P*,3/2,,,L11301,
1689.0094,0.0012,1689.0089,0.0003,12,,,301855.6707,307774.6858,2s2.2p4.(3P).4d,4D,5/2,2s2.2p4.(3P).5p,4D*,3/2,,,L11301,
1692.6601,0.0004,1692.66027,0.00023,42,,,302831.7640,308738.0108,2s2.2p4.(3P).4d,2P,1/2,2s2.2p4.(3P).5p,2P*,3/2,,,L11301,
1693.5240,0.0008,1693.5236,0.0006,20,,,312258.0516,318161.2874,2s2.2p4.(3P).5d,4D,5/2,2s2.2p4.(3P<2>).6f,2[3]*,5/2,,,L11301,
1693.6141,0.0006,1693.6141,0.0004,29,,,312258.0516,318160.9720,2s2.2p4.(3P).5d,4D,5/2,2s2.2p4.(3P<2>).6f,2[3]*,7/2,,,L11301,
1694.7134,0.0005,1694.7134,0.0004,36,,,312258.0516,318157.1429,2s2.2p4.(3P).5d,4D,5/2,2s2.2p4.(3P<2>).6f,2[4]*,7/2,,,L11301,
1694.81399,0.00015,1694.81394,0.00015,426,,,302839.2693,308738.0108,2s2.2p4.(3P).4d,4F,5/2,2s2.2p4.(3P).5p,2P*,3/2,,,L11301,
1700.9519,0.0021,1700.95163,0.00023,6,,,307774.6858,313652.1424,2s2.2p4.(3P).5p,4D*,3/2,2s2.2p4.(3P).6s,4P,3/2,,,L11301,
1702.8926,0.0006,1702.8929,0.0003,25,,,307309.4584,313180.2149,2s2.2p4.(3P).5p,4P*,1/2,2s2.2p4.(3P).6s,2P,3/2,,,L11301,
1703.2686,0.0004,1703.26864,0.00021,46,,,302307.7230,308177.1843,2s2.2p4.(3P).4d,2D,5/2,2s2.2p4.(3P).5p,2D*,3/2,,,L11301,
1707.7007,0.0010,1707.7006,0.0009,18,,,312325.6366,318179.865,2s2.2p4.(3P).5d,4D,3/2,2s2.2p4.(3P<2>).6f,2[2]*,3/2,,,L11301,
1709.67319,0.00016,1709.67320,0.00015,257,,,302890.5369,308738.0108,2s2.2p4.(3P).4d,2F,5/2,2s2.2p4.(3P).5p,2P*,3/2,,,L11301,
1711.3547,0.0004,1711.3547,0.0003,38,,,308177.1843,314018.9129,2s2.2p4.(3P).5p,2D*,3/2,2s2.2p4.(3P).6s,2P,1/2,,,L11301,
1711.6375,0.0021,1711.6364,0.0006,8,,,312994.3611,318835.128,2s2.2p4.(3P).5d,4F,7/2,2s2.2p4.(3P<1>).6f,2[3]*,5/2,,,L11301,
1711.7464,0.0014,1711.7460,0.0004,12,,,312994.3611,318834.7543,2s2.2p4.(3P).5d,4F,7/2,2s2.2p4.(3P<1>).6f,2[3]*,7/2,,,L11301,
1713.1370,0.0005,1713.1370,0.0004,36,,,312325.6366,318161.2874,2s2.2p4.(3P).5d,4D,3/2,2s2.2p4.(3P<2>).6f,2[3]*,5/2,,,L11301,
1713.7223,0.0007,1713.7225,0.0003,22,,,307069.8080,312903.4650,2s2.2p4.(3P).5p,4P*,3/2,2s2.2p4.(3P).6s,4P,5/2,,,L11301,
1715.0489,0.0007,1715.04888,0.00021,22,,,302307.7230,308136.8685,2s2.2p4.(3P).4d,2D,5/2,2s2.2p4.(3P).5p,4S*,3/2,,,L11301,
1715.7658,0.0024,1715.7667,0.0003,6,,,301947.9789,307774.6858,2s2.2p4.(3P).4d,4D,3/2,2s2.2p4.(3P).5p,4D*,3/2,,,L11301,
1718.4076,0.0003,1718.4076,0.0003,81,,,312994.3611,318812.1133,2s2.2p4.(3P).5d,4F,7/2,2s2.2p4.(3P<1>).6f,2[4]*,9/2,,,L11301,
1724.2246,0.0007,1724.2247,0.0009,24,,,313006.2024,318804.327,2s2.2p4.(3P).5d,2P,1/2,2s2.2p4.(3P<1>).6f,2[2]*,3/2,,,L11301,
1728.6431,0.0005,1728.6428,0.0005,40,,,313021.8155,318805.121,2s2.2p4.(3P).5d,4P,3/2,2s2.2p4.(3P<1>).6f,2[2]*,5/2,,,L11301,
1730.08108,0.00023,1730.08108,0.00024,98,,,312407.6220,318186.1197,2s2.2p4.(3P).5d,4F,9/2,2s2.2p4.(3P<2>).6f,2[5]*,11/2,,,L11301,
1730.53888,0.00024,1730.53886,0.00021,87,,,302961.0417,308738.0108,2s2.2p4.(3P).4d,4F,3/2,2s2.2p4.(3P).5p,2P*,3/2,,,L11301,
1734.1511,0.0009,1734.1511,0.0006,20,,,312414.9292,318179.865,2s2.2p4.(3P).5d,4D,1/2,2s2.2p4.(3P<2>).6f,2[2]*,3/2,,,L11301,
1734.7837,0.0018,1734.7821,0.0006,10,,,313072.2891,318835.128,2s2.2p4.(3P).5d,4F,5/2,2s2.2p4.(3P<1>).6f,2[3]*,5/2,,,L11301,
1735.8208,0.0003,1735.82088,0.00024,62,,,307420.8248,313180.2149,2s2.2p4.(3P).5p,2D*,5/2,2s2.2p4.(3P).6s,2P,3/2,,,L11301,
1736.44408,0.00020,1736.44422,0.00021,110,,,307894.8198,313652.1424,2s2.2p4.(3P).5p,4D*,5/2,2s2.2p4.(3P).6s,4P,3/2,,,L11301,
1738.2412,0.0018,1738.24130,0.00021,9,,,302425.8139,308177.1843,2s2.2p4.(3P).4d,2D,3/2,2s2.2p4.(3P).5p,2D*,3/2,,,L11301,
1738.82978,0.00024,1738.82977,0.00025,96,,,313346.0878,319095.5118,2s2.2p4.(3P).5d,2F,5/2,2s2.2p4.(3P<0>).6f,2[3]*,7/2,,,L11301,
1739.1304,0.0012,1739.1304,0.0004,14,,,312407.6220,318156.0520,2s2.2p4.(3P).5d,4F,9/2,2s2.2p4.(3P<2>).6f,2[4]*,9/2,,,L11301,
1740.01628,0.00023,1740.01628,0.00025,100,,,312440.6573,318186.1608,2s2.2p4.(3P).5d,2F,7/2,2s2.2p4.(3P<2>).6f,2[5]*,9/2,,,L11301,
1741.5492,0.0003,1741.5491,0.0003,76,,,313072.2891,318812.7356,2s2.2p4.(3P).5d,4F,5/2,2s2.2p4.(3P<1>).6f,2[4]*,7/2,,,L11301,
1742.00618,0.00015,1742.00617,0.00015,871,,,303237.8943,308976.8347,2s2.2p4.(3P).4d,2P,3/2,2s2.2p4.(3P).5p,2P*,1/2,,,L11301,
1748.5588,0.0010,1748.5588,0.0004,16,,,302057.2516,307774.6858,2s2.2p4.(3P).4d,4D,1/2,2s2.2p4.(3P).5p,4D*,3/2,,,L11301,
1748.8488,0.0011,1748.8489,0.0004,16,,,312440.6573,318157.1429,2s2.2p4.(3P).5d,2F,7/2,2s2.2p4.(3P<2>).6f,2[4]*,7/2,,,L11301,
1750.1128,0.0012,1750.1129,0.0004,12,,,307309.4584,313021.8155,2s2.2p4.(3P).5p,4P*,1/2,2s2.2p4.(3P).5d,4P,3/2,,,L11301,
1750.5117,0.0005,1750.51201,0.00022,34,,,302425.8139,308136.8685,2s2.2p4.(3P).4d,2D,3/2,2s2.2p4.(3P).5p,4S*,3/2,,,L11301,
1751.5393,0.0006,1751.5394,0.0003,26,,,307420.8248,313128.5294,2s2.2p4.(3P).5p,2D*,5/2,2s2.2p4.(3P).5d,4F,3/2,,,L11301,
1751.8783,0.0009,1751.8789,0.0006,20,,,313128.5294,318835.128,2s2.2p4.(3P).5d,4F,3/2,2s2.2p4.(3P<1>).6f,2[3]*,5/2,,,L11301,
1755.0676,0.0004,1755.0676,0.0004,55,,,313138.5238,318834.7543,2s2.2p4.(3P).5d,4P,5/2,2s2.2p4.(3P<1>).6f,2[3]*,7/2,,,L11301,
1755.9835,0.0012,1755.9837,0.0004,12,,,308006.8460,313700.1049,2s2.2p4.(3P).5p,2S*,1/2,2s2.2p4.(3P).6s,4P,1/2,,,L11301,
1760.9673,0.0009,1760.9675,0.0004,16,,,308022.9587,313700.1049,2s2.2p4.(3P).5p,4D*,1/2,2s2.2p4.(3P).6s,4P,1/2,,,L11301,
1761.1392,0.0014,1761.1395,0.0007,13,,,313128.5294,318805.121,2s2.2p4.(3P).5d,4F,3/2,2s2.2p4.(3P<1>).6f,2[2]*,5/2,,,L11301,
1761.3949,0.0019,1761.3952,0.0007,10,,,312504.5327,318180.3002,2s2.2p4.(3P).5d,2D,5/2,2s2.2p4.(3P<2>).6f,2[2]*,5/2,,,L11301,
1761.7953,0.0020,1761.7936,0.0004,8,,,306899.2903,312573.7745,2s2.2p4.(3P).5p,4P*,5/2,2s2.2p4.(3P).5d,2D,3/2,,,L11301,
1763.0934,0.0004,1763.0934,0.0003,58,,,313425.5082,319095.8089,2s2.2p4.(3P).5d,2P,3/2,2s2.2p4.(3P<0>).6f,2[3]*,5/2,,,L11301,
1764.2466,0.0020,1764.2457,0.0007,9,,,313138.5238,318805.121,2s2.2p4.(3P).5d,4P,5/2,2s2.2p4.(3P<1>).6f,2[2]*,5/2,,,L11301,
1764.36608,0.00016,1764.36607,0.00016,1000,,,303071.8002,308738.0108,2s2.2p4.(3P).4d,4P,5/2,2s2.2p4.(3P).5p,2P*,3/2,,,L11301,
1765.43968,0.00022,1765.43966,0.00022,100,,,307240.7001,312903.4650,2s2.2p4.(3P).5p,4D*,7/2,2s2.2p4.(3P).6s,4P,5/2,,,L11301,
1765.9002,0.0003,1765.9003,0.0003,59,,,302475.5806,308136.8685,2s2.2p4.(3P).4d,4P,1/2,2s2.2p4.(3P).5p,4S*,3/2,,,L11301,
1767.4141,0.0005,1767.4140,0.0004,37,,,312504.5327,318160.9720,2s2.2p4.(3P).5d,2D,5/2,2s2.2p4.(3P<2>).6f,2[3]*,7/2,,,L11301,
1767.8906,0.0009,1767.8910,0.0006,20?,,,313180.2149,318835.128,2s2.2p4.(3P).6s,2P,3/2,2s2.2p4.(3P<1>).6f,2[3]*,5/2,,,L11301,
1768.6114,0.0005,1768.6112,0.0004,38,,,312504.5327,318157.1429,2s2.2p4.(3P).5d,2D,5/2,2s2.2p4.(3P<2>).6f,2[4]*,7/2,,,L11301,
1770.3505,0.0012,1770.3506,0.0003,14,,,302247.7634,307894.8198,2s2.2p4.(3P).4d,2F,7/2,2s2.2p4.(3P).5p,4D*,5/2,,,L11301,
1770.9024,0.0015,1770.9025,0.0003,10,,,308006.8460,313652.1424,2s2.2p4.(3P).5p,2S*,1/2,2s2.2p4.(3P).6s,4P,3/2,,,L11301,
1775.9712,0.0015,1775.9715,0.0003,10,,,308022.9587,313652.1424,2s2.2p4.(3P).5p,4D*,1/2,2s2.2p4.(3P).6s,4P,3/2,,,L11301,
1776.2054,0.0016,1776.2054,0.0016,11,,,312573.7745,318202.217,2s2.2p4.(3P).5d,2D,3/2,2s2.2p4.(3P<2>).6f,2[1]*,3/2,,,L11301,
1778.9481,0.0013,1778.9479,0.0003,13,,,301801.0594,307420.8248,2s2.2p4.(3P).4d,4D,7/2,2s2.2p4.(3P).5p,2D*,5/2,,,L11301,
1783.1488,0.0005,1783.1488,0.0005,38,,,312573.7745,318180.3002,2s2.2p4.(3P).5d,2D,3/2,2s2.2p4.(3P<2>).6f,2[2]*,5/2,,,L11301,
1784.9103,0.0014,1784.9110,0.0004,11,,,307420.8248,313021.8155,2s2.2p4.(3P).5p,2D*,5/2,2s2.2p4.(3P).5d,4P,3/2,,,L11301,
1789.2164,0.0014,1789.2164,0.0006,13,,,312573.7745,318161.2874,2s2.2p4.(3P).5d,2D,3/2,2s2.2p4.(3P<2>).6f,2[3]*,5/2,,,L11301,
1789.3493,0.0025,1789.34968,0.00023,7,,,302307.7230,307894.8198,2s2.2p4.(3P).4d,2D,5/2,2s2.2p4.(3P).5p,4D*,5/2,,,L11301,
1791.2942,0.0003,1791.29410,0.00023,56,,,302425.8139,308006.8460,2s2.2p4.(3P).4d,2D,3/2,2s2.2p4.(3P).5p,2S*,1/2,,,L11301,
1793.7035,0.0016,1793.7032,0.0003,10,,,307420.8248,312994.3611,2s2.2p4.(3P).5p,2D*,5/2,2s2.2p4.(3P).5d,4F,7/2,,,L11301,
1796.4049,0.0010,1796.4049,0.0003,16,,,301855.6707,307420.8248,2s2.2p4.(3P).4d,4D,5/2,2s2.2p4.(3P).5p,2D*,5/2,,,L11301,
1797.0242,0.0005,1797.0241,0.0004,32,,,308136.8685,313700.1049,2s2.2p4.(3P).5p,4S*,3/2,2s2.2p4.(3P).6s,4P,1/2,,,L11301,
1807.4114,0.0007,1807.4110,0.0004,27,,,302475.5806,308006.8460,2s2.2p4.(3P).4d,4P,1/2,2s2.2p4.(3P).5p,2S*,1/2,,,L11301,
1812.6229,0.0010,1812.6226,0.0007,16,,,307069.8080,312585.170,2s2.2p4.(3P).5p,4P*,3/2,2s2.2p4.(3P).5d,4P,1/2,,,L11301,
1812.6521,0.0023,1812.6516,0.0003,7,,,308136.8685,313652.1424,2s2.2p4.(3P).5p,4S*,3/2,2s2.2p4.(3P).6s,4P,3/2,,,L11301,
1817.6470,0.0005,1817.64696,0.00023,36,,,303237.8943,308738.0108,2s2.2p4.(3P).4d,2P,3/2,2s2.2p4.(3P).5p,2P*,3/2,,,L11301,
1825.9994,0.0007,1825.9994,0.0003,23,,,308177.1843,313652.1424,2s2.2p4.(3P).5p,2D*,3/2,2s2.2p4.(3P).6s,4P,3/2,,,L11301,
