obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 17
102.9908,0.0005,102.99109,6000,1.2e+05,,0.000,97095.774,5d10.6s,2S,1/2,5d9.6s.6p,"(2D<3/2>,3P<0>)*",3/2,,T7226,L11760,
103.3737,0.0005,103.37370,25,8.2e+06,,51486.070,148222.473,5d10.6p,2P*,1/2,5d9.6s.6d,"[(2D<5/2>,1/2)<2>,3/2]",3/2,,T7226,L11760,
103.4691,0.0005,103.46904,20,1.6e+07,,51486.070,148133.339,5d10.6p,2P*,1/2,5d9.6s.6d,"[(2D<5/2>,1/2)<2>,3/2]",1/2,,T7226,L11760,
103.9631,0.0005,103.96315,200000,3.0e+08,,0.000,96187.932,5d10.6s,2S,1/2,5d9.6s.6p,"(2D<5/2>,3P<2>)*",1/2,,T7226,L11760,
105.2960,0.0005,,150,,,,,,,,,,,,,L11760,
106.2780,0.0004,106.27802,200000,5.2e+07,,0.000,94092.834,5d10.6s,2S,1/2,5d9.6s.6p,"(2D<5/2>,3P<2>)*",3/2,,T7226,L11760,
107.0369,0.0005,107.03697,120,2.3e+07,,51486.070,144911.731,5d10.6p,2P*,1/2,5d9.6s.6d,"[(2D<5/2>,1/2)<3>,5/2]",3/2,,T7226,L11760,
107.3337,0.0005,107.33344,15l,9.2e+06,,51486.070,144653.677,5d10.6p,2P*,1/2,5d10.11d,2D,3/2,,T7226,L11760,
107.4416,0.0005,107.44168,12,3.0e+06,,51486.070,144559.816,5d10.6p,2P*,1/2,5d9.6s.6d,"[(2D<5/2>,1/2)<3>,3/2]",3/2,,T7226,L11760,
108.3646,0.0004,108.36484,500,1.5e+07,,35514.624,127795.481,5d9.6s2,2D,5/2,5d10.8p,2P*,3/2,,T7226,L11760,
109.6804,0.0005,109.68014,40,2.1e+07,,51486.070,142660.277,5d10.6p,2P*,1/2,5d10.10d,2D,3/2,,T7226,L11760,
110.5878,0.0005,110.58742,50,3.8e+07,,51486.070,141912.265,5d10.6p,2P*,1/2,5d10.11s,2S,1/2,,T7226,L11760,
112.2335,0.0005,112.23323,8,2.0e+07,,35514.624,124614.794,5d9.6s2,2D,5/2,5d9.6s.6p,"(2D<3/2>,1P<1>)*",3/2,,T7226,L11760,
112.8046,0.0004,,40,,,,,,,,,,,,,L11760,
113.7700,0.0005,113.76988,15,3.2e+06,,35514.624,123411.351,5d9.6s2,2D,5/2,5d10.5f,2F*,5/2,,T7226,L11760,
114.1042,0.0004,114.10425,15,9.2e+06,,35514.624,123153.775,5d9.6s2,2D,5/2,5d10.5f,2F*,7/2,,T7226,L11760,
115.6795,0.0004,115.67945,90,2.3e+07,,35514.624,121960.399,5d9.6s2,2D,5/2,5d9.6s.6p,"(2D<3/2>,1P<1>)*",5/2,,T7226,L11760,
116.0382,0.0004,116.03825,900,7.8e+07,,0.000,86178.478,5d10.6s,2S,1/2,5d9.6s.6p,"(2D<5/2>,3P<1>)*",3/2,,T7226,L11760,
116.2197,0.0004,116.21974,5,4.7e+07,,60608.362,146652.263,5d10.6p,2P*,3/2,5d9.6p2,"(2D<5/2>,3P<0>)",5/2,,T7226,L11760,
