obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
,1174.840,,3.41e+07,B,103885.25,112394.72,3s2.5p,2P*,3/2,3s2.5d,2D,5/2,,"T6527c4,LS",,
,1174.862,,5.70e+06,C+,103885.25,112394.56,3s2.5p,2P*,3/2,3s2.5d,2D,3/2,,"T6527c4,LS",,
,1189.670,,9.73e+05,D,113760.15,122163.54,3s2.5f,2F*,7/2,3s2.7d,2D,5/2,,"T6527c4,LS",,
,1189.694,,4.85e+04,E,113760.32,122163.54,3s2.5f,2F*,5/2,3s2.7d,2D,5/2,,"T6527c4,LS",,
,1189.703,,1.02e+06,D,113760.32,122163.48,3s2.5f,2F*,5/2,3s2.7d,2D,3/2,,"T6527c4,LS",,
,1218.970,,4.15e+06,D+,113962.08,122163.48,3s2.6p,2P*,1/2,3s2.7d,2D,3/2,,"T6527c4,LS",,
,1221.141,,1.80e+06,C,113976.72,122163.54,3s2.6p,2P*,3/2,3s2.7d,2D,5/2,,T7166,,
,1221.150,,2.99e+05,D,113976.72,122163.48,3s2.6p,2P*,3/2,3s2.7d,2D,3/2,,T7166,,
,1231.064,,1.14e+05,E,119311.19,127432.02,3s2.6f,2F*,7/2,3s2.10g,2G,7/2,,"T6527c4,LS",,
,1231.064,,1.83e+06,D,119311.19,127432.02,3s2.6f,2F*,7/2,3s2.10g,2G,9/2,,"T6527c4,LS",,
,1231.087,,1.60e+06,D,119311.34,127432.02,3s2.6f,2F*,5/2,3s2.10g,2G,7/2,,"T6527c4,LS",,
,1273.164,,1.11e+07,C+,113962.08,121814.38,3s2.6p,2P*,1/2,3s2.8s,2S,1/2,,T7166,,
,1274.29,,1.65e+05,D+,124316.9,132162.29,3s.3p.(3P*).3d,4D*,5/2,3s.3p.(3P*).4p,4D,7/2,,"T6527c4,LS",,
,1275.542,,2.27e+07,C+,113976.72,121814.38,3s2.6p,2P*,3/2,3s2.8s,2S,1/2,,T7166,,
,1284.672,,1.62e+06,D,118522.86,126304.82,3s2.6d,2D,3/2,3s2.9f,2F*,5/2,,"T6527c4,LS",,
,1284.683,,1.16e+05,E,118522.93,126304.82,3s2.6d,2D,5/2,3s2.9f,2F*,5/2,,"T6527c4,LS",,
,1284.683,,1.74e+06,D,118522.93,126304.82,3s2.6d,2D,5/2,3s2.9f,2F*,7/2,,"T6527c4,LS",,
,1296.19,,9.44e+05,C,124449.5,132162.29,3s.3p.(3P*).3d,4D*,7/2,3s.3p.(3P*).4p,4D,7/2,,"T6527c4,LS",,
,1303.23,,6.20e+05,C,124316.9,131988.05,3s.3p.(3P*).3d,4D*,5/2,3s.3p.(3P*).4p,4D,5/2,,"T6527c4,LS",,
,1304.66,,2.52e+05,D+,124325.3,131988.05,3s.3p.(3P*).3d,4D*,3/2,3s.3p.(3P*).4p,4D,5/2,,"T6527c4,LS",,
,1316.31,,4.33e+05,C,124567.4,132162.29,3s.3p.(3P*).3d,4P*,5/2,3s.3p.(3P*).4p,4D,7/2,,"T6527c4,LS",,
,1325.01,,3.61e+05,D+,124316.9,131861.93,3s.3p.(3P*).3d,4D*,5/2,3s.3p.(3P*).4p,4D,3/2,,"T6527c4,LS",,
,1326.15,,1.96e+05,D+,124449.5,131988.05,3s.3p.(3P*).3d,4D*,7/2,3s.3p.(3P*).4p,4D,5/2,,"T6527c4,LS",,
,1326.49,,4.09e+05,D+,124325.3,131861.93,3s.3p.(3P*).3d,4D*,3/2,3s.3p.(3P*).4p,4D,3/2,,"T6527c4,LS",,
,1328.61,,2.55e+05,D+,124337.3,131861.93,3s.3p.(3P*).3d,4D*,1/2,3s.3p.(3P*).4p,4D,3/2,,"T6527c4,LS",,
,1340.19,,4.98e+05,D+,124325.3,131784.9,3s.3p.(3P*).3d,4D*,3/2,3s.3p.(3P*).4p,4D,1/2,,"T6527c4,LS",,
,1342.35,,4.96e+05,D+,124337.3,131784.9,3s.3p.(3P*).3d,4D*,1/2,3s.3p.(3P*).4p,4D,1/2,,"T6527c4,LS",,
,1347.22,,1.21e+05,D+,124567.4,131988.05,3s.3p.(3P*).3d,4P*,5/2,3s.3p.(3P*).4p,4D,5/2,,"T6527c4,LS",,
,1356.03,,2.76e+05,D+,124615.6,131988.05,3s.3p.(3P*).3d,4P*,3/2,3s.3p.(3P*).4p,4D,5/2,,"T6527c4,LS",,
,1362.228,,8.98e-03,B,76665.35,84004.26,3s.3p2,2S,1/2,3s.3p2,2P,3/2,E2,c22,,
,1362.228,,1.64e-03,D+,76665.35,84004.26,3s.3p2,2S,1/2,3s.3p2,2P,3/2,M1,c22,,
,1365.053,,1.23e+07,C+,103860.74,111184.46,3s2.5p,2P*,1/2,3s2.6s,2S,1/2,,"T6527c4,LS",,
,1369.637,,2.44e+07,B,103885.25,111184.46,3s2.5p,2P*,3/2,3s2.6s,2S,1/2,,"T6527c4,LS",,
,1370.52,,1.91e+04,E,124567.4,131861.93,3s.3p.(3P*).3d,4P*,5/2,3s.3p.(3P*).4p,4D,3/2,,"T6527c4,LS",,
,1379.63,,2.00e+05,D+,124615.6,131861.93,3s.3p.(3P*).3d,4P*,3/2,3s.3p.(3P*).4p,4D,3/2,,"T6527c4,LS",,
