obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
499.379,,27,,,,,,,,,,,,,L3475,
499.472,,19,,,,,,,,,,,,,L3475,
500.977,,160,,,,,,,,,,,,,L3475,
501.456,,35,,,,,,,,,,,,,L3475,
501.787,,27,,,,,,,,,,,,,L3475,
503.422,,160,,,,,,,,,,,,,L3475,
504.100,,27w,,,,,,,,,,,,,L3475,
506.042,,27,,,,,,,,,,,,,L3475,
511.455,,50,,,,,,,,,,,,,L3475,
514.028,,22,,,,,,,,,,,,,L3475,
514.940,,40,,,,,,,,,,,,,L3475,
520.451,,14,,,,,,,,,,,,,L3475,
522.823,,22,,,,,,,,,,,,,L3475,
526.093,,14,,,,,,,,,,,,,L3475,
526.734,,24,,,,,,,,,,,,,L3475,
530.587,,55,,,,,,,,,,,,,L3475,
532.299,,16,,,,,,,,,,,,,L3475,
534.649,,80,,,,,,,,,,,,,L3475,
537.298,,27,,,,,,,,,,,,,L3475,
539.196,,14,,,,,,,,,,,,,L3475,
540.046,,27,,,,,,,,,,,,,L3475,
540.598,,14,,,,,,,,,,,,,L3475,
546.195,,14,,,,,,,,,,,,,L3475,
546.554,,14,,,,,,,,,,,,,L3475,
550.030,,16,,,,,,,,,,,,,L3475,
552.682,,14,,,,,,,,,,,,,L3475,
553.903,,14,,,,,,,,,,,,,L3475,
558.665,,14,,,,,,,,,,,,,L3475,
558.994,,14,,,,,,,,,,,,,L3475,
568.476,,40,,,,,,,,,,,,,L3475,
569.642,,14,,,,,,,,,,,,,L3475,
570.997,,35,,,,,,,,,,,,,L3475,
573.381,,14,,,,,,,,,,,,,L3475,
573.720,,11bl,,,,,,,,,,,,,L3475,
573.725,,,,,,,,,,,,,,,L3475,
573.892,,14w,,,,,,,,,,,,,L3475,
577.882,,5,,,,,,,,,,,,,L3475,
578.236,,19,,,,,,,,,,,,,L3475,
578.446,,22,,,,,,,,,,,,,L3475,
579.997,,11,,,,,,,,,,,,,L3475,
581.119,,14,,,,,,,,,,,,,L3475,
583.876,,35,,,,,,,,,,,,,L3475,
606.778,,11,,,,,,,,,,,,,L3475,
618.141,,14,,,,,,,,,,,,,L3475,
629.946,,14,,,,,,,,,,,,,L3475,
643.094,,8,,,,,,,,,,,,,L3475,
672.794,,9,,,,,,,,,,,,,L3475,
682.912,,14,,,,,,,,,,,,,L3475,
697.669,,5w,,,,,,,,,,,,,L3475,
701.431,,6w,,,,,,,,,,,,,L3475,
705.643,,10,,,,,,,,,,,,,L3475,
707.978,,6,,,,,,,,,,,,,L3475,
723.374,,5,,,,,,,,,,,,,L3475,
733.663,,11,,,,,,,,,,,,,L3475,
743.451,,5,,,,,,,,,,,,,L3475,
743.995,,5,,,,,,,,,,,,,L3475,
759.507,,17,,,,,,,,,,,,,L3475,
764.876,,5w,,,,,,,,,,,,,L3475,
767.604,,8,,,,,,,,,,,,,L3475,
846.079,,7,,,,,,,,,,,,,L3475,
847.201,,27,,,,,,,,,,,,,L3475,
854.607,,7w,,,,,,,,,,,,,L3475,
856.573,,11,,,,,,,,,,,,,L3475,
