obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 18
143.8365,0.0014,143.8365,0.0006,5000,,,50730.224,120253.6,5s.5p2,4P,5/2,5s.5p.(3P*).5d,4D*,5/2,,,L18891,
147.4995,0.0020,147.49966,0.00003,530000,1.95e+09,B+,4251.494,72048.260,5s2.5p,2P*,3/2,5s2.5d,2D,5/2,,T8718,L18891,
148.1747,0.0007,148.1742,0.0005,15000,,,46464.290,113952.44,5s.5p2,4P,1/2,5s.5p.(3P*).6s,2P*,1/2,,,L18891,
148.9091,0.0010,148.91002,0.00004,79000,1.59e+08,B+,4251.494,71406.142,5s2.5p,2P*,3/2,5s2.5d,2D,3/2,,T8718,L18891,
149.5037,0.0007,149.5036,0.0007,32000,1.1e+08,D+,48368.185,115256.2?,5s.5p2,4P,3/2,5s.5p.(3P*).5d,4F*,5/2,,T9352,L18891,
151.7961,0.0007,151.7967,0.0005,33000,4.4e+08,D+,48368.185,114245.75,5s.5p2,4P,3/2,5s.5p.(3P*).6s,4P*,5/2,,T9352,L18891,
152.2206,0.0020,152.2235,0.0007,24000bl(Sn),8.3e+07,D+,50730.224,116423.1,5s.5p2,4P,5/2,5s.5p.(3P*).5d,4F*,7/2,,T9352,L18891,
152.7856,0.0014,152.7873,0.0005,15000bl(Sn),,,48368.185,113818.65,5s.5p2,4P,3/2,5s.5p.(3P*).5d,2D*,5/2,,,L18891,
154.3653,0.0019,154.3634,0.0005,14000,,,59463.481,124245.66,5s.5p2,2D,5/2,5s.5p.(3P*).5d,4P*,3/2,,,"L17864,L18891",
155.4881,0.0014,155.4896,0.0005,60000,4.0e+08,D+,46464.290,110777.28,5s.5p2,4P,1/2,5s.5p.(3P*).6s,4P*,3/2,,T9352,L18891,
157.0056,0.0019,157.0028,0.0010,13000,,,59463.481,123156.6,5s.5p2,2D,5/2,5p3,4S*,3/2,,,"L17864,L18891",
157.4426,0.0008,157.4418,0.0005,33000,7.2e+08,D+,50730.224,114245.75,5s.5p2,4P,5/2,5s.5p.(3P*).6s,4P*,5/2,,T9352,L18891,
158.5071,0.0016,158.5077,0.0005,14000bl(Sn),6.2e+07,D+,50730.224,113818.65,5s.5p2,4P,5/2,5s.5p.(3P*).5d,2D*,5/2,,T9352,L18891,
158.7532,0.0019,158.7571,0.0008,9200,1.5e+08,D+,46464.290,109453.6,5s.5p2,4P,1/2,5s.5p.(3P*).6s,4P*,1/2,,T9352,L17864,
159.3418,0.0016,159.3414,0.0008,15000bl(Sn),,,46464.290,109222.6,5s.5p2,4P,1/2,5s2.10p,2P*,1/2,,,L18891,
160.2325,0.0012,160.2331,0.0005,16000,1.1e+08,D+,48368.185,110777.28,5s.5p2,4P,3/2,5s.5p.(3P*).6s,4P*,3/2,,T9352,L18891,
162.8422,0.0016,162.8415,0.0008,22000bl(Sn III),,,58844.181,120253.6,5s.5p2,2D,3/2,5s.5p.(3P*).5d,4D*,5/2,,,L18891,
163.7059,0.0008,163.7052,0.0008,16000,6.6e+08,D+,48368.185,109453.6,5s.5p2,4P,3/2,5s.5p.(3P*).6s,4P*,1/2,,T9352,L18891,
164.3262,0.0012,164.3266,0.0008,8100,1.4e+08,D+,48368.185,109222.6,5s.5p2,4P,3/2,5s2.10p,2P*,1/2,,T9352,L18891,
164.8562,0.0012,164.8548,0.0008,6300,,,72048.260,132707.7,5s2.5d,2D,5/2,5s.5p.(1P*).5d,2D*,5/2,,,L18891,
166.5364,0.0008,166.5361,0.0006,19000,3.8e+08,D+,50730.224,110777.28,5s.5p2,4P,5/2,5s.5p.(3P*).6s,4P*,3/2,,T9352,L18891,
169.9418,0.0016,169.94034,0.00014,21000,2.99e+07,B+,0.00,58844.181,5s2.5p,2P*,1/2,5s.5p2,2D,3/2,,T8718,L18891,
175.5621,0.0019,175.5630,0.0009,1700,,,59463.481,116423.1,5s.5p2,2D,5/2,5s.5p.(3P*).5d,4F*,7/2,,,"L17864,L18891",
175.7893,0.0016,175.78906,0.00015,15000,3.04e+08,B+,0.00,56886.363,5s2.5p,2P*,1/2,5s2.6s,2S,1/2,,T8718,L18891,
177.8898,0.0016,177.8900,0.0013,6500bl(Sn),,,75954.3,132168.83,5s.5p2,2S,1/2,5s.5p.(1P*).5d,2D*,3/2,,,L18891,
180.5002,0.0019,180.5003,0.0007,1900,,,58844.181,114245.75,5s.5p2,2D,3/2,5s.5p.(3P*).6s,4P*,5/2,,,L17864,
181.1197,0.0016,181.12009,0.00005,14000,6.4e+07,B+,4251.494,59463.481,5s2.5p,2P*,3/2,5s.5p2,2D,5/2,,T8718,L18891,
181.4602,0.0012,181.4610,0.0008,1100,,,58844.181,113952.44,5s.5p2,2D,3/2,5s.5p.(3P*).6s,2P*,1/2,,,L18891,
181.9039,0.0012,181.9026,0.0007,1500,,,58844.181,113818.65,5s.5p2,2D,3/2,5s.5p.(3P*).5d,2D*,5/2,,,L18891,
183.1757,0.0016,183.17472,0.00005,11000,2.2e+07,C+,4251.494,58844.181,5s2.5p,2P*,3/2,5s.5p2,2D,3/2,,T8718,L18891,
185.5604,0.0019,185.5600,0.0007,370,,,56886.363,110777.28,5s2.6s,2S,1/2,5s.5p.(3P*).6s,4P*,3/2,,,L17864,
188.6107,0.0008,188.6110,0.0006,570,,,48368.185,101387.37,5s.5p2,4P,3/2,5s2.8p,2P*,3/2,,,L18891,
189.9901,0.0016,189.98812,0.00005,7200,5.6e+08,B+,4251.494,56886.363,5s2.5p,2P*,3/2,5s2.6s,2S,1/2,,T8718,L18891,
obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
210.8475,0.0019,210.8493,0.0013,170,,,58844.181,106256.4,5s.5p2,2D,3/2,5s2.9p,2P*,1/2,,,L17864,
213.1208,0.0019,213.1218,0.0018,250,,,59463.481,106370.2,5s.5p2,2D,5/2,5s2.9p,2P*,3/2,,,L17864,
214.861,0.008,214.8589,0.0014,720bl(Sn III),,,58844.181,105371.7,5s.5p2,2D,3/2,5s2.6f,2F*,5/2,,,L3368,
215.08442,0.00009,215.08451,0.00007,520,4.0e+05,D+,4251.494,50730.224,5s2.5p,2P*,3/2,5s.5p2,4P,5/2,,T8718,L3149,
215.15135,0.00020,215.15136,0.00019,530,2.1e+06,C+,0.00,46464.290,5s2.5p,2P*,1/2,5s.5p2,4P,1/2,,T8718,L3149,
220.0075,0.0019,220.00341,0.00011,160,,,46464.290,91903.945,5s.5p2,4P,1/2,5s2.7p,2P*,1/2,,,L17864,
,,224.6443,0.0008,m(Sn I),,,56886.363,101387.37,5s2.6s,2S,1/2,5s2.8p,2P*,3/2,,,L3368,
225.2845,0.0019,225.2831,0.0015,67,,,72048.260,116423.1,5s2.5d,2D,5/2,5s.5p.(3P*).5d,4F*,7/2,,,"L17864,L18891",
225.5726,0.0019,225.5729,0.0020,35,,,56886.363,101204.2,5s2.6s,2S,1/2,5s2.8p,2P*,1/2,,,L17864,
226.60156,0.00010,226.60149,0.00007,260,4.3e+05,D+,4251.494,48368.185,5s2.5p,2P*,3/2,5s.5p2,4P,3/2,,T8718,L3149,
229.6293,0.0019,229.62548,0.00009,86,,,48368.185,91903.945,5s.5p2,4P,3/2,5s2.7p,2P*,1/2,,,L17864,
233.343,0.014,233.3573,0.0011,45,,,71406.142,114245.75,5s2.5d,2D,3/2,5s.5p.(3P*).6s,4P*,5/2,,,L17864,
234.9825,0.0019,234.9833,0.0009,120,,,58844.181,101387.37,5s.5p2,2D,3/2,5s2.8p,2P*,3/2,,,L17864,
235.0698,0.0019,235.0708,0.0017,130,,,81718.3,124245.66,5s.5p2,2P,3/2,5s.5p.(3P*).5d,4P*,3/2,,,L17864,
,,235.7074,0.0012,m,,,71406.142,113818.65,5s2.5d,2D,3/2,5s.5p.(3P*).5d,2D*,5/2,,,L17864,
