obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
501.997,501.9971,80,2.3e+07,D,60611.28,80526.16,3p6.5p,2P*,3/2,3p6.6d,2D,5/2,,"T1619CA,LS",L7323,
502.114,502.1138,40,3.9e+06,D,60611.28,80521.53,3p6.5p,2P*,3/2,3p6.6d,2D,3/2,,"T1619CA,LS",L7323,
528.527,528.5266,60,7.8e+06,D,60533.02,79448.28,3p6.5p,2P*,1/2,3p6.7s,2S,1/2,,"T1619CA,LS",L7323,
530.722,530.7224,70,1.5e+07,D,60611.28,79448.28,3p6.5p,2P*,3/2,3p6.7s,2S,1/2,,"T1619CA,LS",L7323,
533.919,,50,,,,,,,,,,,,,L7323,
592.272,,10,,,,,,,,,,,,,L7323,
592.369,,10,,,,,,,,,,,,,L7323,
645.687,,80,,,,,,,,,,,,,L7323,
729.147,729.147,,1.3e+00,E,0.00,13710.88,3p6.4s,2S,1/2,3p6.3d,2D,5/2,E2,T340,L7323,
732.389,732.389,,1.3e+00,E,0.00,13650.19,3p6.4s,2S,1/2,3p6.3d,2D,3/2,E2,T340,L7323,
757.581,,30,,,,,,,,,,,,,L6097,
758.111,,60,,,,,,,,,,,,,L6097,
760.130,,80,,,,,,,,,,,,,L6097,
760.232,,20,,,,,,,,,,,,,L6097,
782.078,,40,,,,,,,,,,,,,L6097,
784.338,,60,,,,,,,,,,,,,L6097,
801.750,,20,,,,,,,,,,,,,L7323,
802.050,,20,,,,,,,,,,,,,L7323,
813.305,,70,,,,,,,,,,,,,L6097,
820.172,820.172,100,5.1e+07,C,60533.02,72722.23,3p6.5p,2P*,1/2,3p6.5d,2D,3/2,,"T1619CA,LS",L7323,
824.880,824.880,110,6.1e+07,C,60611.28,72730.93,3p6.5p,2P*,3/2,3p6.5d,2D,5/2,,"T1619CA,LS",L7323,
825.473,825.472,70,1.0e+07,C,60611.28,72722.23,3p6.5p,2P*,3/2,3p6.5d,2D,3/2,,"T1619CA,LS",L7323,
849.802,849.802,130,1.11e+06,C,13650.19,25414.40,3p6.3d,2D,3/2,3p6.4p,2P*,3/2,,"u7,LS",L7323,
