Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
3s2.3p4.(3P<2>).7h,2[3]*,5/2,,213894.433,,0.015,,L15349
3s2.3p4.(1D).5d,2G,7/2,,214184.8519,,0.0006,,L15349
3s2.3p4.(1D).5d,2G,9/2,,214189.4823,,0.0003,,L15349
3s2.3p4.(1D).5d,2D,5/2,,214667.52,,0.02,,L15349
3s2.3p4.(3P).8d,4D,7/2,,214812.44,,0.03,,L15349
3s2.3p4.(1D).5d,2F,7/2,,214832.2625,,0.0015,,L15349
3s2.3p4.(1D).5d,2F,5/2,,214911.3656,,0.0011,,L15349
3s2.3p4.(3P<1>).7f,2[4]*,9/2,,214885.64,,0.05,,L15349
3s2.3p4.(3P<1>).7f,2[4]*,7/2,,214895.52,,0.09,,L15349
3s2.3p4.(3P).8d,4F,9/2,,214894.90,,0.04,,L15349
3s2.3p4.(3P<1>).7g,2[3],5/2,,214974.607,,0.005,,L15349
3s2.3p4.(3P<1>).7g,2[3],7/2,,214974.651,,0.006,,L15349
3s2.3p4.(3P<1>).7g,2[5],11/2,,214978.941,,0.005,,L15349
3s2.3p4.(3P<1>).7g,2[5],9/2,,214979.020,,0.003,,L15349
3s2.3p4.(3P<1>).7h,2[4]*,7/2,,214992.067,,0.007,,L15349
3s2.3p4.(3P<1>).7h,2[4]*,9/2,,214992.067,,0.005,,L15349
3s2.3p4.(3P<1>).7h,2[6]*,11/2,,214994.001,,0.004,,L15349
3s2.3p4.(3P<1>).7h,2[6]*,13/2,,214994.011,,0.003,,L15349
3s2.3p4.(3P<1>).7g,2[4],7/2,,214996.98,,0.04,,L15349
3s2.3p4.(3P<1>).7g,2[4],9/2,,214997.588,,0.004,,L15349
3s2.3p4.(3P<1>).7i,2[5],9/2,,214997.8138,,0.0013,,L15349
3s2.3p4.(3P<1>).7i,2[5],11/2,,214997.8247,,0.0010,,L15349
3s2.3p4.(3P<1>).7i,2[7],13/2,,214998.7987,,0.0008,,L15349
3s2.3p4.(3P<1>).7i,2[7],15/2,,214998.8146,,0.0007,,L15349
3s2.3p4.(3P<1>).7h,2[5]*,11/2,,215004.098,,0.008,,L15349
3s2.3p4.(3P<1>).7h,2[5]*,9/2,,215004.099,,0.008,,L15349
3s2.3p4.(3P<1>).7i,2[6],13/2,,215004.9574,,0.0010,,L15349
3s2.3p4.(3P<1>).7i,2[6],11/2,,215004.9688,,0.0010,,L15349
3s2.3p4.(1S).5s,2S,1/2,,215065.7716,,0.0019,,L15349
3s2.3p4.(3P<0>).7g,2[4],7/2,,215441.755,,0.008,,L15349
3s2.3p4.(3P<0>).7g,2[4],9/2,,215442.096,,0.007,,L15349
3s2.3p4.(3P<0>).7h,2[5]*,9/2,,215454.811,,0.006,,L15349
3s2.3p4.(3P<0>).7h,2[5]*,11/2,,215454.821,,0.005,,L15349
3s2.3p4.(3P<0>).7i,2[6],11/2,,215458.6209,,0.0009,,L15349
3s2.3p4.(3P<0>).7i,2[6],13/2,,215458.621,,0.010,,L15349
3s2.3p4.(3P<2>).8f,2[4]*,9/2,,215893.68,,0.06,,L15349
3s2.3p4.(3P<2>).8f,2[5]*,11/2,,215932.37,,0.06,,L15349
3s2.3p4.(3P<2>).8f,2[5]*,9/2,,215933.64,,0.04,,L15349
3s2.3p4.(3P<2>).8g,2[6],11/2,,215983.21,,0.09,,L15349
3s2.3p4.(3P<2>).8g,2[6],13/2,,215983.36,,0.09,,L15349
3s2.3p4.(3P<2>).8i,2[6],13/2,,215985.13,,0.02,,L15349
3s2.3p4.(3P<2>).8i,2[6],11/2,,215985.18,,0.02,,L15349
3s2.3p4.(3P<2>).8i,2[7],13/2,,215985.434,,0.006,,L15349
3s2.3p4.(3P<2>).8i,2[7],15/2,,215985.445,,0.004,,L15349
3s2.3p4.(3P<2>).8i,2[5],9/2,,215987.293,,0.010,,L15349
3s2.3p4.(3P<2>).8i,2[5],11/2,,215987.306,,0.011,,L15349
3s2.3p4.(3P<2>).8k,2[7]*,13/2,,215987.718,,0.011,,L15349
3s2.3p4.(3P<2>).8k,2[7]*,15/2,,215987.721,,0.011,,L15349
3s2.3p4.(3P<2>).8k,2[8]*,15/2,,215988.002,,0.009,,L15349
3s2.3p4.(3P<2>).8k,2[8]*,17/2,,215988.008,,0.003,,L15349
3s2.3p4.(3P<2>).8i,2[8],15/2,,215988.883,,0.006,,L15349
3s2.3p4.(3P<2>).8i,2[8],17/2,,215988.886,,0.005,,L15349
3s2.3p4.(3P<2>).8k,2[6]*,11/2,,215989.165,,0.009,,L15349
3s2.3p4.(3P<2>).8k,2[6]*,13/2,,215989.173,,0.009,,L15349
3s2.3p4.(3P<2>).8i,2[4],7/2,,215990.530,,0.015,,L15349
3s2.3p4.(3P<2>).8i,2[4],9/2,,215990.530,,0.012,,L15349
3s2.3p4.(3P<2>).8k,2[9]*,17/2,,215991.036,,0.009,,L15349
3s2.3p4.(3P<2>).8k,2[9]*,19/2,,215991.050,,0.009,,L15349
3s2.3p4.(3P<2>).8k,2[5]*,9/2,,215991.723,,0.007,,L15349
3s2.3p4.(3P<2>).8k,2[5]*,11/2,,215991.736,,0.006,,L15349
3s2.3p4.(1D).5d,2S,1/2,,216882.15,,0.08,,L15349
3s2.3p4.(3P<1>).8i,2[7],13/2,,217097.366,,0.010,,L15349
3s2.3p4.(3P<1>).8i,2[7],15/2,,217097.376,,0.010,,L15349
3s2.3p4.(3P<1>).8i,2[5],11/2,,217097.563,,0.010,,L15349
3s2.3p4.(3P<1>).8i,2[5],9/2,,217097.563,,0.011,,L15349
3s2.3p4.(3P<1>).8k,2[6]*,11/2,,217100.498,,0.003,,L15349
3s2.3p4.(3P<1>).8k,2[6]*,13/2,,217100.509,,0.003,,L15349
3s2.3p4.(3P<1>).8k,2[8]*,15/2,,217100.877,,0.003,,L15349
3s2.3p4.(3P<1>).8k,2[8]*,17/2,,217100.893,,0.003,,L15349
3s2.3p4.(3P<1>).8i,2[6],13/2,,217101.921,,0.009,,L15349
3s2.3p4.(3P<1>).8i,2[6],11/2,,217101.921,,0.009,,L15349
3s2.3p4.(3P<1>).8k,2[7]*,15/2,,217103.774,,0.005,,L15349
3s2.3p4.(3P<1>).8k,2[7]*,13/2,,217103.785,,0.005,,L15349
3s2.3p4.(3P<0>).8i,2[6],11/2,,217557.496,,0.008,,L15349
3s2.3p4.(3P<0>).8i,2[6],13/2,,217557.505,,0.007,,L15349
3s2.3p4.(3P<0>).8k,2[7]*,15/2,,217559.809,,0.009,,L15349
3s2.3p4.(3P<0>).8k,2[7]*,13/2,,217559.820,,0.009,,L15349
3s2.3p4.(1D<2>).5f,2[5]*,9/2,,218940.8933,,0.0007,,L15349
3s2.3p4.(1D<2>).5f,2[5]*,11/2,,218940.91,,0.13,,L15349
3s2.3p4.(1D<2>).5f,2[2]*,5/2,,219001.90,,0.11,,L15349
3s2.3p4.(1D<2>).5f,2[2]*,3/2,,219003.76,,0.03,,L15349
3s2.3p4.(1D<2>).5g,2[2],5/2,,219152.53,,0.02,,L15349
3s2.3p4.(1D<2>).5f,2[3]*,7/2,,219160.67,,0.03,,L15349
3s2.3p4.(1D<2>).5g,2[6],13/2,,219203.591,,0.011,,L15349
3s2.3p4.(1D<2>).5g,2[6],11/2,,219203.595,,0.011,,L15349
3s2.3p4.(1D<2>).5g,2[3],7/2,,219246.644,,0.004,,L15349
3s2.3p4.(1D<2>).5g,2[3],5/2,,219246.79,,0.02,,L15349
3s2.3p4.(1D<2>).5g,2[4],7/2,,219317.5345,,0.0017,,L15349
3s2.3p4.(1D<2>).5g,2[4],9/2,,219317.5482,,0.0018,,L15349
3s2.3p4.(1D<2>).5g,2[5],9/2,,219322.1402,,0.0014,,L15349
3s2.3p4.(1D<2>).5g,2[5],11/2,,219322.170,,0.003,,L15349
Ar III (3p4 3P<2>),Limit,---,,222848.3,,1.0,,L8844
3s2.3p4.(1D<2>).6g,2[6],13/2,,224606.447,,0.020,,L15349
3s2.3p4.(1D<2>).6g,2[6],11/2,,224606.450,,0.020,,L15349
