Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
3s2.3p.(2P*<3/2>).6g,2[7/2]*,3,,147750.66,,,,         or  :        3s2.3p.(2P*).6g.F*   2[7/2]*  ,
3s2.3p.(2P*<3/2>).6g,2[11/2]*,6,,147791.75,,,,         or  :        3s2.3p.(2P*).6g.H*   2[11/2]* ,
3s2.3p.(2P*<3/2>).6g,2[11/2]*,5,,147792.23,,,,         or  :        3s2.3p.(2P*).6g.H*   2[11/2]* ,
3s2.3p.(2P*<3/2>).6g,2[5/2]*,2,,147823.28,,,,         or  :        3s2.3p.(2P*).6g.F*   2[5/2]*  ,
3s2.3p.(2P*<3/2>).6g,2[5/2]*,3,,147823.53,,,,         or  :        3s2.3p.(2P*).6g.F*   2[5/2]*  ,
3s2.3p.(2P*<1/2>).7g,2[9/2]*,4,,150455.45,,,,         or  :        3s2.3p.(2P*).7g.G*   2[9/2]*  ,
3s2.3p.(2P*<1/2>).7g,2[9/2]*,5,,150455.71,,,,         or  :        3s2.3p.(2P*).7g.G*   2[9/2]*  ,
3s2.3p.(2P*<1/2>).7g,2[7/2]*,4,,150455.68,,,,         or  :        3s2.3p.(2P*).7g.G*   2[7/2]*  ,
3s2.3p.(2P*<1/2>).7g,2[7/2]*,3,,150455.71,,,,         or  :        3s2.3p.(2P*).7g.G*   2[7/2]*  ,
3s2.3p.(2P*<3/2>).7g,2[9/2]*,4,,150985.84,,,,         or  :        3s2.3p.(2P*).7g.H*   2[9/2]*  ,
3s2.3p.(2P*<3/2>).7g,2[9/2]*,5,,150985.97,,,,         or  :        3s2.3p.(2P*).7g.H*   2[9/2]*  ,
3s2.3p.(2P*<3/2>).7g,2[7/2]*,4,,151005.90,,,,         or  :        3s2.3p.(2P*).7g.F*   2[7/2]*  ,
3s2.3p.(2P*<3/2>).7g,2[7/2]*,3,,151006.00,,,,         or  :        3s2.3p.(2P*).7g.F*   2[7/2]*  ,
3s2.3p.(2P*<3/2>).7g,2[11/2]*,6,,151033.88,,,,         or  :        3s2.3p.(2P*).7g.H*   2[11/2]* ,
3s2.3p.(2P*<3/2>).7g,2[11/2]*,5,,151034.32,,,,         or  :        3s2.3p.(2P*).7g.H*   2[11/2]* ,
3s2.3p.(2P*<3/2>).7g,2[5/2]*,2,,151053.80,,,,         or  :        3s2.3p.(2P*).7g.F*   2[5/2]*  ,
3s2.3p.(2P*<3/2>).7g,2[5/2]*,3,,151054.14,,,,         or  :        3s2.3p.(2P*).7g.F*   2[5/2]*  ,
3s2.3p.(2P*<3/2>).8g,2[9/2]*,4,,153106.05,,,,         or  :        3s2.3p.(2P*).8g.H*   2[9/2]*  ,
3s2.3p.(2P*<3/2>).8g,2[9/2]*,5,,153106.15,,,,         or  :        3s2.3p.(2P*).8g.H*   2[9/2]*  ,
3s2.3p.(2P*<3/2>).8g,2[11/2]*,6,,153138.61,,,,         or  :        3s2.3p.(2P*).8g.H*   2[11/2]* ,
3s2.3p.(2P*<3/2>).8g,2[11/2]*,5,,153138.88,,,,         or  :        3s2.3p.(2P*).8g.H*   2[11/2]* ,
3s.3p2.(4P).3d,5P,3,,153266.66,,,,                                                    ,
3s.3p2.(4P).3d,5P,2,,153392.85,,,,                                                    ,
3s.3p2.(4P).3d,5P,1,,153477.03,,,,                                                    ,
3s2.3p.(2P*<3/2>).9g,2[11/2]*,6,,154581.71,,,,         or  :        3s2.3p.(2P*).9g.H*   2[11/2]* ,
3s2.3p.(2P*<3/2>).9g,2[11/2]*,5,,154581.90,,,,         or  :        3s2.3p.(2P*).9g.H*   2[11/2]* ,
P III (3p 2P*<1/2>),Limit,---,[,159451.7,],0.3,,                                                    ,L11770
P III (3p 2P*<3/2>),Limit,---,,160010.6,,,,                                                    ,
