Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
5s2.5p2.(3P).4f,2F*,5/2,,126219.97,,0.20,0.97,  46         :    12  5s2.5p2.(3P).4f  2D*  ,L3546
5s2.5p2.(3P).8s,4P,1/2,,126212.00,,0.20,2.03,  62         :    27  5s2.5p2.(3P).8s  2P   ,L3546
5s2.5p2.(3P).7d,4F,5/2,,128348.0,,1.2,,  27         :    26  5s2.5p2.(3P).7d  4D   ,L15043
5s2.5p2.(1D).7s,2D,3/2,,129789.2,,0.9,,  70         :    22  5s2.5p2.(3P).7s  2P   ,L15043
5s2.5p2.(1D).7s,2D,5/2,,129897.22,,0.20,1.29,  74         :    24  5s2.5p2.(3P).7s  4P   ,L3546
5s2.5p2.(3P).5f?,130*,3/2,,130833.2,?,0.3,,                                            ,L3546
5s2.5p2.(1D).6d,2F,7/2,,133042.0,,2.3,,  49         :    17  5s2.5p2.(1D).6d  2G   ,L15043
5s2.5p2.(1D).6d,2F,5/2,,133904.7,,1.0,,  23         :    11  5s2.5p2.(1D).6d  2D   ,L15043
5s2.5p2.(1D).6d,2G,7/2,,133769.00,,0.20,1.04,  53         :    14  5s2.5p2.(3P).6d  2F   ,L3546
5s2.5p2.(1D).6d,2P,1/2,,134123.7,,1.7,,  74         :     8  5s2.5p2.(3P).6d  2P   ,L15043
5s2.5p2.(1D).6d,2P,3/2,,135582.2,,1.0,,  25         :    15  5s2.5p2.(1D).6d  2D   ,L15043
5s2.5p2.(1D).6d,2D,3/2,,134495.3,,1.2,,  34         :    28  5s2.5p2.(1D).6d  2P   ,L15043
5s2.5p2.(1D).6d,2D,5/2,,135093.1,,0.9,,  37         :     8  5s2.5p2.(3P).8s  4P   ,L15043
5s2.5p2.(1D).4f,2D*,5/2,,135403.3,,0.3,,  63         :     6  5s2.5p2.(3P).4f  4D*  ,L3546
5s2.5p2.(3P).7d,2D,5/2,,136881.7,,1.1,,  38         :    16  5s2.5p2.(1D).7d  2F   ,L15043
5s2.5p2.(3P).7d,2P,1/2,,136889.5,,1.4,,  47         :    20  5s2.5p2.(1D).6d  2S   ,L15043
5s2.5p2.(3P).6f?,137*,7/2,,137739.69,,0.20,,                                            ,L3546
5s2.5p2.(1S).7s,2S,1/2,,141894.6,,1.3,,  89         :     5  5s2.5p2.(3P).7s  4P   ,L15043
5s2.5p2.(1S).6d,2D,3/2,,147105.3,,1.8,,  86                                        ,L15043
5s2.5p2.(1S).6d,2D,5/2,,147870.1,,1.7,,  83                                        ,L15043
Te III (5s2.5p2 3P<0>),Limit,---,,150000,,3000,,                                            ,L3546
