Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
"=""3d9.(2D<5/2>).4d""","=""2[3/2]""","=""1""","=""""","=""115665.1539""","=""""","=""0.0011""","=""""","=""  97                                    :     1  3d9.(2D<3/2>).4d     2[1/2]   ""","=""L19804"""
"=""3d9.(2D<5/2>).4d""","=""2[5/2]""","=""3""","=""""","=""116080.2237""","=""""","=""0.0010""","=""""","=""  97                                    :     1  3d9.(2D<5/2>).4d     2[7/2]   ""","=""L19804"""
"=""3d9.(2D<5/2>).4d""","=""2[5/2]""","=""2""","=""""","=""116387.7873""","=""""","=""0.0010""","=""""","=""  92                                    :     3  3d9.(2D<3/2>).4d     2[3/2]   ""","=""L19804"""
"=""3d9.(2D<5/2>).4d""","=""2[7/2]""","=""3""","=""""","=""116325.9148""","=""""","=""0.0011""","=""""","=""  93                                    :     4  3d9.(2D<3/2>).4d     2[7/2]   ""","=""L19804"""
"=""3d9.(2D<5/2>).4d""","=""2[7/2]""","=""4""","=""""","=""116371.18040""","=""""","=""0.0011""","=""""","=""  95                                    :     2  3d9.(2D<3/2>).4d     2[7/2]   ""","=""L19804"""
"=""3d8.(3F).4s.4p.(3P*)""","=""3D*""","=""3""","=""""","=""116375.406""","=""""","=""0.003""","=""""","=""  44                                    :    35  3d8.(3F).4s.4p.(3P*) 3G*      ""","=""L19804"""
"=""3d8.(3F).4s.4p.(3P*)""","=""3D*""","=""2""","=""""","=""117130.340""","=""""","=""0.003""","=""""","=""  75                                    :    10  3d8.(3F).4s.4p.(3P*) 3F*      ""","=""L19804"""
"=""3d8.(3F).4s.4p.(3P*)""","=""3D*""","=""1""","=""""","=""118071.302""","=""""","=""0.003""","=""""","=""  87                                    :     6  3d8.(1D).4s.4p.(3P*) 3D*      ""","=""L19804"""
"=""3d9.(2D<3/2>).4d""","=""2[1/2]""","=""1""","=""""","=""117231.4014""","=""""","=""0.0019""","=""""","=""  91                                    :     7  3d9.(2D<5/2>).4d     2[1/2]   ""","=""L19804"""
"=""3d9.(2D<3/2>).4d""","=""2[1/2]""","=""0""","=""""","=""122415.957""","=""""","=""0.003""","=""""","=""  45                                    :    34  3d9.(2D<5/2>).4d     2[1/2]   ""","=""L19804"""
