Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
"=""4d4.(1F).5p""","=""u 2D*""","=""5/2""","=""""","=""80420.55""","=""""","=""""","=""""","="""""
"=""4d4.(b 3F).5p""","=""u 2G*""","=""7/2""","=""""","=""81526.97""","=""""","=""""","=""""","="""""
"=""4d4.(b 3F).5p""","=""u 2G*""","=""9/2""","=""""","=""82556.90""","=""""","=""""","=""""","="""""
"=""4d4.(b 1G).5p""","=""t 2G*""","=""9/2""","=""""","=""83314.88""","=""""","=""""","=""""","="""""
"=""4d4.(b 1G).5p""","=""t 2G*""","=""7/2""","=""""","=""83874.15""","=""""","=""""","=""""","="""""
"=""4d4.(b 1G).5p""","=""v 2H*""","=""9/2""","=""""","=""83964.88""","=""""","=""""","=""""","="""""
"=""4d4.(b 1G).5p""","=""v 2H*""","=""11/2""","=""""","=""84496.50""","=""""","=""""","=""""","="""""
"=""4d4.(b 1G).5p""","=""s 2F*""","=""5/2""","=""""","=""""","=""""","=""""","=""""","="""""
"=""4d4.(b 1G).5p""","=""s 2F*""","=""7/2""","=""""","=""86566.24""","=""""","=""""","=""""","="""""
"=""4d4.(b 3F).5p""","=""t 2D*""","=""5/2""","=""""","=""86693.42""","=""""","=""""","=""""","="""""
"=""4d4.(b 3F).5p""","=""t 2D*""","=""3/2""","=""""","=""87033.60""","=""""","=""""","=""""","="""""
"=""Mo III (4d4 5D<0>)""","=""Limit""","=""---""","=""[""","=""130300""","=""]""","=""1000""","=""""","=""L10502,L17501"""
