Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
"=""2s.2p.(3P*).5f""","=""4F""","=""9/2""","=""""","=""231228.86""","=""""","=""0.10""","=""""","=""  99                                             ""","=""L22145"""
"=""2s.2p.(3P*).5f""","=""4G""","=""5/2""","=""""","=""231438.57""","=""""","=""0.39""","=""""","=""  99                                             ""","=""L22145"""
"=""2s.2p.(3P*).5f""","=""4G""","=""7/2""","=""""","=""231451.31""","=""""","=""0.20""","=""""","=""  85         :    14  2s.2p.(3P*).5f        2G   ""","=""L22145"""
"=""2s.2p.(3P*).5f""","=""4G""","=""9/2""","=""""","=""231473.41""","=""""","=""0.21""","=""""","=""  92         :     6  2s.2p.(3P*).5f        2G   ""","=""L22145"""
"=""2s.2p.(3P*).5f""","=""4G""","=""11/2""","=""""","=""231502.34""","=""""","=""0.43""","=""""","="" 100                                             ""","=""L22145"""
"=""2s.2p.(3P*).5f""","=""2G""","=""7/2""","=""""","=""231481.0""","=""""","=""0.4""","=""""","=""  85         :    14  2s.2p.(3P*).5f        4G   ""","=""L22145"""
"=""2s.2p.(3P*).5f""","=""2G""","=""9/2""","=""""","=""231519.2""","=""""","=""0.4""","=""""","=""  93         :     7  2s.2p.(3P*).5f        4G   ""","=""L22145"""
"=""2s.2p.(3P*).5f""","=""4D""","=""7/2""","=""""","=""231523.87""","=""""","=""0.10""","=""""","=""  99                                             ""","=""L22145"""
"=""2s.2p.(3P*).5f""","=""4D""","=""5/2""","=""""","=""231528.35""","=""""","=""0.19""","=""""","=""  57         :    42  2s.2p.(3P*).5f        2D   ""","=""L22145"""
"=""2s.2p.(3P*).5f""","=""4D""","=""3/2""","=""""","=""231551.2""","=""""","=""0.4""","=""""","=""  86         :    13  2s.2p.(3P*).5f        2D   ""","=""L22145"""
"=""2s.2p.(3P*).5f""","=""4D""","=""1/2""","=""""","=""231565.9""","=""""","=""1.1""","=""""","="" 100                                             ""","=""L22145"""
"=""2s.2p.(3P*).5f""","=""2D""","=""5/2""","=""""","=""231551.5""","=""""","=""0.3""","=""""","=""  57         :    42  2s.2p.(3P*).5f        4D   ""","=""L22145"""
"=""2s.2p.(3P*).5f""","=""2D""","=""3/2""","=""""","=""231570.4""","=""""","=""0.3""","=""""","=""  87         :    13  2s.2p.(3P*).5f        4D   ""","=""L22145"""
"=""2s.2p.(1P*).3p""","=""2P""","=""1/2""","=""""","=""232539""","=""""","=""28""","=""""","=""  94         :     4  2p2.(3P).3s           2P   ""","=""L22145"""
"=""2s.2p.(1P*).3p""","=""2P""","=""3/2""","=""""","=""232550""","=""""","=""27""","=""""","=""  94         :     4  2p2.(3P).3s           2P   ""","=""L22145"""
"=""2s.2p.(3P*).6s""","=""4P*""","=""1/2""","=""""","=""233670.9""","=""""","=""0.7""","=""""","=""  99                                             ""","=""L22145"""
"=""2s.2p.(3P*).6s""","=""4P*""","=""3/2""","=""""","=""233693.3""","=""""","=""0.4""","=""""","=""  99                                             ""","=""L22145"""
"=""2s.2p.(3P*).6s""","=""4P*""","=""5/2""","=""""","=""233740.64""","=""""","=""0.16""","=""""","=""  99                                             ""","=""L22145"""
"=""2s.2p.(1P*).3p""","=""2D""","=""3/2""","=""""","=""234017""","=""""","=""27""","=""""","=""  84         :    10  2s.2p.(3P*).6p        2D   ""","=""L22145"""
"=""2s.2p.(1P*).3p""","=""2D""","=""5/2""","=""""","=""234032""","=""""","=""27""","=""""","=""  84         :    10  2s.2p.(3P*).6p        2D   ""","=""L22145"""
"=""2s.2p.(3P*).6p""","=""2P""","=""1/2""","=""""","=""234623""","=""""","=""28""","=""""","=""  96                                             ""","=""L22145"""
"=""2s.2p.(3P*).6p""","=""2P""","=""3/2""","=""""","=""234642""","=""""","=""28""","=""""","=""  97                                             ""","=""L22145"""
"=""2s.2p.(3P*).6p""","=""4D""","=""1/2""","=""""","=""234997.3""","=""""","=""2.1""","=""""","=""  97                                             ""","=""L22145"""
"=""2s.2p.(3P*).6p""","=""4D""","=""3/2""","=""""","=""235010.6""","=""""","=""1.6""","=""""","=""  98                                             ""","=""L22145"""
"=""2s.2p.(3P*).6p""","=""4D""","=""5/2""","=""""","=""235030.4""","=""""","=""1.3""","=""""","=""  98                                             ""","=""L22145"""
"=""2s.2p.(3P*).6p""","=""4D""","=""7/2""","=""""","=""235066.6""","=""""","=""0.6""","=""""","=""  99                                             ""","=""L22145"""
"=""2s.2p.(3P*).6p""","=""2S""","=""1/2""","=""""","=""235156""","=""""","=""23""","=""""","=""  77         :    19  2s.2p.(1P*).3p        2S   ""","=""L22145"""
"=""2s.2p.(3P*).6p""","=""4P""","=""1/2""","=""[""","=""235430""","=""]""","=""3""","=""""","=""  97         :     2  2s.2p.(3P*).6p        2S   ""","=""L22145"""
"=""2s.2p.(3P*).6p""","=""4P""","=""3/2""","=""""","=""235444.1""","=""""","=""0.6""","=""""","=""  81         :    19  2s.2p.(3P*).6p        4S   ""","=""L22145"""
"=""2s.2p.(3P*).6p""","=""4P""","=""5/2""","=""""","=""235472.2""","=""""","=""0.6""","=""""","=""  99                                             ""","=""L22145"""
