Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
"=""1s2.2s.10d""","=""3D""","=""1,2,3""","=""""","=""198380""","=""""","=""130""","="" 100                                               ""","=""L12120"""
"=""1s2.2p.3d""","=""3D*""","=""1""","=""""","=""200478.1""","=""""","=""0.3""","="" 100                                               ""","=""L12120"""
"=""1s2.2p.3d""","=""3D*""","=""2""","=""""","=""200481.9""","=""""","=""0.3""","=""  99                                               ""","=""L12120"""
"=""1s2.2p.3d""","=""3D*""","=""3""","=""""","=""200487.28""","=""""","=""0.3""","="" 100                                               ""","=""L12120"""
"=""1s2.2p.3d""","=""3P*""","=""0,1,2""","=""""","=""200726.6""","=""""","=""1.3""","=""  95                                               ""","=""L12120"""
"=""B III (2s 2S<1/2>)""","=""Limit""","=""---""","=""""","=""202887.4""","=""""","=""0.4""","=""                                                   ""","=""L12120"""
"=""1s2.2p.3p""","=""1S""","=""0""","=""""","=""203130""","=""?""","=""80""","=""  74                      :    15  1s2.2p.4p  1S   ""","=""L12120"""
"=""1s2.2p.3d""","=""1P*""","=""1""","=""""","=""205107""","=""""","=""3""","=""  94                                               ""","=""L12120"""
"=""1s2.2p.4s""","=""3P*""","=""0,1,2""","=""""","=""215650""","=""?""","=""80""","=""  99                                               ""","=""L12120"""
"=""1s2.2p.4s""","=""1P*""","=""1""","=""""","=""217020""","=""""","=""40""","=""  94                                               ""","=""L12120"""
"=""1s2.2p.4p""","=""1P""","=""1""","=""""","=""218918.1""","=""""","=""0.4""","=""  98                                               ""","=""L12120"""
"=""1s2.2p.4p""","=""3D""","=""1,2,3""","=""""","=""219440""","=""""","=""7""","=""  99                                               ""","=""L12120"""
"=""1s2.2p.4p""","=""3S""","=""1""","=""[""","=""220214""","=""]""","=""""","=""  99                                               ""","=""L12120"""
"=""1s2.2p.4p""","=""3P""","=""0,1,2""","=""""","=""221080.3""","=""""","=""1.2""","=""  98                                               ""","=""L12120"""
"=""1s2.2p.4p""","=""1D""","=""2""","=""""","=""221380""","=""""","=""160""","=""  93                                               ""","=""L12120"""
