Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
,*,5/2,6,,38580.914,,,0.935,                                   ,
,*,5/2,6,,38617.345,,,0.990,                                   ,
,*,11/2,12,,38642.554,,,1.140,                                   ,
,*,7/2,8,,38651.814,,,1.030,                                   ,
,*,9/2,10,,38847.186,,,1.090,                                   ,
4f11.(4I*).6s.6p?,,13/2,14,,38847.378,,,1.175,                                   ,
,*,7/2,8,,39021.546,,,1.060,                                   ,
,*,5/2,6,,39036.642,,,1.155,                                   ,
,*,7/2,8,,39053.063,,,0.980,                                   ,
4f11.(4I*).5d.6p?,,13/2,14,,39082.884,,,1.230,                                   ,
,*,7/2,8,,39140.561,,,1.180,                                   ,
,*,11/2,12,,39242.082,,,1.095,                                   ,
,*,7/2,8,,39277.605,,,1.215,                                   ,
,*,7/2,8,,39304.952,,,1.025,                                   ,
,*,9/2,10,,39392.224,,,1.095,                                   ,
,*,5/2,6,,39447.909,,,0.945,                                   ,
,*,9/2,10,,39509.332,,,1.245,                                   ,
,*,11/2,12,,39525.696,,,1.125,                                   ,
,*,5/2,6,,39643.159,,,1.175,                                   ,
,*,9/2,10,,39653.816,,,1.085,                                   ,
,*,11/2,12,,39766.447,,,1.105,                                   ,
4f11.(4I*).5d.6p?,,15/2,16,,39804.224,,,1.200,                                   ,
,*,3/2,4,,39833.544,,,0.920,                                   ,
,*,9/2,10,,39845.276,,,1.080,                                   ,
4f11.(4I*).6s.6p?,,13/2,14,,39952.447,,,1.055,                                   ,
,*,7/2,8,,39975.403,,,1.035,                                   ,
4f11.(4I*).6s.6p?,,15/2,16,,39994.031,,,1.160,                                   ,
,*,9/2,10,,40000.774,,,1.115,                                   ,
4f11.(4I*).6s.6p?,,13/2,14,,40121.685,,,1.250,                                   ,
,*,5/2,6,,40123.804,,,0.790,                                   ,
,*,11/2,12,,40124.080,,,1.070,                                   ,
,*,9/2,10,,40303.477,,,1.105,                                   ,
,*,5/2,6,,40368.926,,,0.700,                                   ,
,*,11/2,12,,40435.615,,,1.115,                                   ,
4f11.(4I*).5d.6p?,,19/2,20,,40447.910,,,1.085,                                   ,
,*,9/2,10,,40497.076,,,1.055,                                   ,
4f11.(4I*).5d.6p?,,17/2,18,,40547.199,,,1.160,                                   ,
,*,5/2,6,,40642.960,,,1.110,                                   ,
,*,3/2,4,,40687.445,,,1.060,                                   ,
,*,5/2,6,,40723.759,,,1.060,                                   ,
,*,7/2,8,,40747.134,,,1.015,                                   ,
,*,11/2,12,,40756.773,,,1.045,                                   ,
,*,9/2,10,,40853.950,,,1.000,                                   ,
,*,9/2,10,,40905.867,,,0.955,                                   ,
,*,7/2,8,,40943.527,,,1.045,                                   ,
,*,9/2,10,,40959.837,,,1.045,                                   ,
,*,3/2,4,,41003.728,,,1.340,                                   ,
,*,5/2,6,,41013.774,,,0.960,                                   ,
,*,7/2,8,,41029.308,,,1.145,                                   ,
,*,9/2,10,,41067.403,,,1.065,                                   ,
,*,9/2,10,,41170.514,,,0.950,                                   ,
4f11.(4I*).6s.6p?,,15/2,16,,41174.705,,,1.180,                                   ,
,*,7/2,8,,41206.903,,,0.965,                                   ,
4f11.(4I*).5d.6p?,,17/2,18,,41244.400,,,1.140,                                   ,
,*,9/2,10,,41268.620,,,0.975,                                   ,
,*,11/2,12,,41415.615,,,1.070,                                   ,
,*,9/2,10,,41486.824,,,1.170,                                   ,
,*,7/2,8,,41505.714,,,1.045,                                   ,
,*,9/2,10,,41617.792,,,1.075,                                   ,
,*,5/2,6,,41682.421,,,0.990,                                   ,
,*,7/2,8,,41876.127,,,1.030,                                   ,
,*,5/2,6,,42064.826,,,1.105,                                   ,
,*,7/2,8,,42149.596,,,0.955,                                   ,
,*,5/2,6,,42177.581,,,1.040,                                   ,
,*,5/2,6,,42264.318,,,1.125,                                   ,
,*,7/2,8,,42414.845,,,1.040,                                   ,
,*,7/2,8,,42461.068,,,1.000,                                   ,
,*,7/2,8,,42527.318,,,1.020,                                   ,
,*,7/2,8,,42626.606,,,1.100,                                   ,
