Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
5d7.(2H).6s.6p,114763*,11/2,12,,114763.60,,0.07,                        or  :    39  5d7.(2H).6s.(1H).6p 2H*  ,L9479
5d6.6s2.6p,114880*,5/2,6,,114880.53,,0.06,                                                              ,"L11531,L9479"
5d7.(2H).6s.6p,115309*,9/2,10,,115309.41,,0.09,                        or  :    40  5d7.(2H).6s.(1H).6p 2G*  ,L9479
5d7.6s.6p,115801*,7/2,8,,115802.07,,0.21,                                                              ,L9479
5d7.6s.6p,116633*,7/2,8,,116634.02,,0.05,                                                              ,L9479
5d7.6s.7s,116689,9/2,10,,116689.079,,0.021,                                                              ,L11531
5d7.6s.6p,116698*,9/2,10,,116698.32,,0.07,                                                              ,L9479
5d8.(1G).7s,"(4,1/2)",9/2,10,,117340.901,,0.014,  94  5d8.7s 2G                                               ,L11531
5d8.(1G).7s,"(4,1/2)",7/2,8,,117493.564,,0.044,  92  5d8.7s 2G                                               ,L11531
5d7.(2H).6s.6p,118076*,11/2,12,,118076.13,,0.08,                        or  :    39  5d7.(2H).6s.(3H).6p 2H*  ,L9479
,119057,5/2,6,,119057.10,,0.03,                                                              ,L11531
5d7.6s.7s,121651,9/2,10,,121651.220,,0.020,                                                              ,L11531
Pt III (5d8 3F<4>),Limit,---,,,149700,,1000,                                                              ,"L3466,L3539"
5d7.6s2,2D1,5/2,6,,,,,  67                                                          ,L11531
5d7.6s2,2D1,3/2,4,,,,,  89                                                          ,L11531
