Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
3p6.3d7.(2H).4s.4p.(3P*),4G*,5/2,6,,116754.93,,,,                                                     ,
3p6.3d7.(2P).4s.4p.(3P*),2D*,3/2,4,,114869.35,,,,  62                                                 ,
3p6.3d7.(2P).4s.4p.(3P*),2D*,5/2,6,,116893.98,,,,  50             :    33  3d7.(2P).4s.4p.(3P*) 4D*   ,
3p6.3d7.(2G).4s.4p.(3P*),2F*,7/2,8,,115000.25,,,,  51             :    22  3d7.(2G).4s.4p.(3P*) 4D*   ,
3p6.3d8.(1G).5s,2G,9/2,10,,115081.36,,,, 100                                                 ,
3p6.3d8.(1G).5s,2G,7/2,8,,115085.36,,,, 100                                                 ,
3p6.3d7.4s.4p,4D*,7/2,8,,115209.85,,,,  55             :    18  3d7.4s.4p            2F*   ,
3p6.3d7.4s.4p,4D*,7/2,8,,116512.06,,,,                                                     ,
3p6.3d7.4s.4p,*,5/2,6,,115565.98,,,,  32  4D*        :    25  3d7.4s.4p            4F*   ,
3p6.3d8.(3P).4d,4F,9/2,10,,115739.15,,,,  84             :    15  3d8.(1D).4d          2G    ,
3p6.3d8.(3P).4d,4F,7/2,8,,115827.12,,,,  82             :     8  3d8.(1D).4d          2G    ,
3p6.3d8.(3P).4d,4F,5/2,6,,115956.71,,,,  68             :    13  3d8.(3P).4d          2F    ,
3p6.3d8.(3P).4d,4F,3/2,4,,116167.76,,,,  97             :     1  3d8.(3P).4d          4P    ,
,*,3/2,4,,115785.06,,,,                                                     ,
3p6.3d7.4s2,2D1,5/2,6,,115870.28,,,,  77             :    23  3d7.4s2              2D2   ,
3p6.3d8.(3P).4d,2F,7/2,8,,116145.69,,,,  82             :    11  3d8.(3P).4d          4F    ,
3p6.3d8.(3P).4d,,5/2,6,,116191.47,,,,  38  2D         :    24  3d8.(3P).4d          4F    ,
3p6.3d8.(3P).4d,4P,1/2,2,,116261.81,,,,  86             :    11  3d8.(1D).4d          2S    ,
3p6.3d8.(3P).4d,4P,3/2,4,,116312.34,,,,  85             :     8  3d8.(1D).4d          2P    ,
3p6.3d8.(3P).4d,4P,5/2,6,,116732.51,,,,  41             :    28  3d8.(3P).4d          2D    ,
3p6.3d8.(3P).4d,2P,1/2,2,,116786.42,,,,  89             :     7  3d8.(1D).4d          2P    ,
3p6.3d8.(3P).4d,2P,3/2,4,,116838.33,,,,  91             :     4  3d8.(3P).4d          2D    ,
3p6.3d8.(3F).6s,4F,9/2,10,,116833.15,,,,                                                     ,
3p6.3d8.(3F).6s,4F,7/2,8,,117074.70,,,,                                                     ,
3p6.3d8.(3F).6s,4F,5/2,6,,118314.82,,,,                                                     ,
3p6.3d8.(3F).6s,4F,3/2,4,,119100.06,,,,                                                     ,
3p6.3d7.(a 2D).4s.4p.(3P*),4F*,9/2,10,,117573.68,,,,                                                     ,
3p6.3d7.(a 2D).4s.4p.(3P*),4F*,7/2,8,,117972.47,,,,                                                     ,
3p6.3d7.(2P).4s.4p.(3P*),*,3/2,4,,117662.11,,,,  37  4S*        :    12  3d7.(2P).4s.4p.(3P*) 2D*   ,
3p6.3d8.(1D).5p,*,3/2,4,,117763.91,,,,  36  2D*        :    12  3d8.(1D).5p          2P*   ,
3p6.3d8.(1D).5p,2D*,5/2,6,,117872.78,,,,  65                                                 ,
3p6.3d7.(2H).4s.4p.(3P*),2I*,11/2,12,,118248.98,,,,                                                     ,
3p6.3d7.(2H).4s.4p.(3P*),2I*,13/2,14,,119010.21,,,,                                                     ,
3p6.3d8.(3F).6s,2F,7/2,8,,118294.17,,,,                                                     ,
3p6.3d8.(3F).6s,2F,5/2,6,,119315.44,,,,                                                     ,
3p6.3d8.(1D).5p,2F*,5/2,6,,118379.11,,,,                                                     ,
3p6.3d8.(1D).5p,2F*,7/2,8,,118563.39,,,,                                                     ,
3p6.3d8.(1D).5p,*,3/2,4,,118442.81,,,,  37  2P*        :    35  3d8.(1D).5p          2D*   ,
3p6.3d8.(1D).5p,2P*,1/2,2,,118631.95,,,,  50             :    29  3d7.4s.4p            4D*   ,
3p6.3d8.(3F<4>).4f,2[1]*,1/2,2,,118774.76,,,, 100                                                 ,
3p6.3d8.(3F<4>).4f,2[1]*,3/2,4,,118809.34,?,,,  87             :    13  3d8.(3F<4>).4f       2[2]* ,
3p6.3d8.(3F<4>).4f,2[7]*,13/2,14,,118803.82,,,, 100                                                 ,
3p6.3d8.(3F<4>).4f,2[7]*,15/2,16,,118848.92,,,, 100                                                 ,
3p6.3d8.(3F<4>).4f,2[2]*,5/2,6,,118828.61,,,,  92             :     8  3d8.(3F<4>).4f       2[3]* ,
3p6.3d8.(3F<4>).4f,2[2]*,3/2,4,,118877.09,,,,  87             :    13  3d8.(3F<4>).4f       2[1]* ,
3p6.3d8.(3F<4>).4f,2[3]*,7/2,8,,118874.11,,,,  97             :     3  3d8.(3F<4>).4f       2[4]* ,
3p6.3d8.(3F<4>).4f,2[3]*,5/2,6,,118897.94,,,,  92             :     8  3d8.(3F<4>).4f       2[2]* ,
3p6.3d8.(3F<4>).4f,2[6]*,11/2,12,,118892.99,,,,  99                                                 ,
3p6.3d8.(3F<4>).4f,2[6]*,13/2,14,,118893.24,,,, 100                                                 ,
3p6.3d8.(3F<4>).4f,2[4]*,9/2,10,,118914.34,,,,  99                                                 ,
3p6.3d8.(3F<4>).4f,2[4]*,7/2,8,,118923.20,,,,  97             :     3  3d8.(3F<4>).4f       2[3]* ,
3p6.3d8.(3F<4>).4f,2[5]*,9/2,10,,118927.02,,,,  99                                                 ,
3p6.3d8.(3F<4>).4f,2[5]*,11/2,12,,118939.53,,,,  99                                                 ,
3p6.3d8.(3F).5d,4D,7/2,8,,119656.25,,,,  84             :    13  3d8.(3F).5d          4F    ,
3p6.3d8.(3F).5d,4D,1/2,2,,121111.90,,,,  48             :    30  3d8.(3F).5d          2P    ,
3p6.3d8.(3F).5d,4D,3/2,4,,121115.59,,,,  44             :    34  3d8.(3F).5d          2P    ,
3p6.3d8.(3F).5d,4P,5/2,6,,119665.29,,,,  67             :    30  3d8.(3F).5d          4D    ,
3p6.3d8.(3F).5d,4P,1/2,2,,121925.16,,,,  51             :    43  3d8.(3F).5d          4D    ,
3p6.3d8.(3F).5d,4H,13/2,14,,119773.60,,,, 100                                                 ,
