Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
2s2.2p4.(3P).4s,4P,5/2,6,,281998.2635,,0.002,  90                            :    10  2s2.2p4.(3P).3d    4P    ,L9088
2s2.2p4.(3P).4s,4P,3/2,4,,282375.3049,,0.002,  91                            :     5  2s2.2p4.(3P).4s    2P    ,L9088
2s2.2p4.(3P).4s,4P,1/2,2,,282680.6284,,0.002,  97                                                              ,L9088
2s2.2p4.(3P).4s,2P,3/2,4,,283322.3319,,0.002,  93                            :     5  2s2.2p4.(3P).4s    4P    ,L9088
2s2.2p4.(3P).4s,2P,1/2,2,,283894.3965,,0.002,  98                                                              ,L9088
2s2.2p4.(3P).4p,4P*,5/2,6,,290371.9268,,0.002,  95                            :     5  2s2.2p4.(3P).4p    4D*   ,L9088
2s2.2p4.(3P).4p,4P*,3/2,4,,290583.1503,,0.002,  94                                                              ,L9088
2s2.2p4.(3P).4p,4P*,1/2,2,,290803.7989,,0.002,  97                                                              ,L9088
2s2.2p4.(3P).4p,4D*,7/2,8,,291202.0096,,0.003, 100                                                              ,L9088
2s2.2p4.(3P).4p,4D*,5/2,6,,291495.0176,,0.002,  80                            :    17  2s2.2p4.(3P).4p    2D*   ,L9088
2s2.2p4.(3P).4p,4D*,3/2,4,,291801.858,,0.003,  91                            :     5  2s2.2p4.(3P).4p    2D*   ,L9088
2s2.2p4.(3P).4p,4D*,1/2,2,,291968.116,,0.003,  98                                                              ,L9088
2s2.2p4.(3P).4p,2D*,5/2,6,,292033.1263,,0.003,  83                            :    15  2s2.2p4.(3P).4p    4D*   ,L9088
2s2.2p4.(3P).4p,2D*,3/2,4,,292451.7592,,0.002,  93                            :     6  2s2.2p4.(3P).4p    4D*   ,L9088
2s2.2p4.(3P).4p,2S*,1/2,2,,292546.687,,0.003,  95                                                              ,L9088
2s2.2p4.(3P).4p,4S*,3/2,4,,292651.298,,0.006,  96                                                              ,L9088
2s2.2p4.(3P).4p,2P*,3/2,4,,294086.4608,,0.002,  91                                                              ,L9088
2s2.2p4.(3P).4p,2P*,1/2,2,,294333.192,,0.003,  90                                                              ,L9088
2s2.2p4.(3P).4d,4D,7/2,8,,301801.0594,,0.003,  87                            :    11  2s2.2p4.(3P).4d    4F    ,L9088
2s2.2p4.(3P).4d,4D,5/2,6,,301855.6707,,0.003,  84                            :     8  2s2.2p4.(3P).4d    4P    ,L9088
2s2.2p4.(3P).4d,4D,3/2,4,,301947.9789,,0.003,  81                            :    13  2s2.2p4.(3P).4d    4P    ,L9088
2s2.2p4.(3P).4d,4D,1/2,2,,302057.2516,,0.003,  83                            :    11  2s2.2p4.(3P).4d    4P    ,L9088
2s2.2p4.(3P).4d,4F,9/2,10,,302192.9098,,0.003, 100                                                              ,L9088
2s2.2p4.(3P).4d,4F,7/2,8,,302750.7840,,0.003,  58                            :    30  2s2.2p4.(3P).4d    2F    ,L9088
