Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
2s2.2p5.(2P*<1/2>).6g,2[9/2]*,5,11,,171661.5131,,0.0011,L8826
2s2.2p5.(2P*<3/2>).7d,2[1/2]*,0,1,,171669.172,,0.011,L8826
2s2.2p5.(2P*<3/2>).7d,2[1/2]*,1,3,,171671.928,,0.011,L8826
2s2.2p5.(2P*<3/2>).7d,2[7/2]*,4,9,,171675.459,,0.004,L8826
2s2.2p5.(2P*<3/2>).7d,2[7/2]*,3,7,,171675.728,,0.003,L8826
2s2.2p5.(2P*<3/2>).7d,2[3/2]*,2,5,,171681.348,,0.006,L8826
2s2.2p5.(2P*<3/2>).7d,2[3/2]*,1,3,,171682.914,,0.009,L8826
2s2.2p5.(2P*<3/2>).7d,2[5/2]*,2,5,,171685.289,,0.003,L8826
2s2.2p5.(2P*<3/2>).7d,2[5/2]*,3,7,,171685.542,,0.004,L8826
2s2.2p5.(2P*<3/2>).7f,2[3/2],2,5,,171686.567,,0.004,L8826
2s2.2p5.(2P*<3/2>).7f,2[3/2],1,3,,171686.576,,0.004,L8826
2s2.2p5.(2P*<3/2>).7f,2[9/2],5,11,,171687.982,,0.003,L8826
2s2.2p5.(2P*<3/2>).7f,2[9/2],4,9,,171687.986,,0.003,L8826
2s2.2p5.(2P*<3/2>).7g,2[5/2]*,2,5,,171688.942,,0.011,L8826
2s2.2p5.(2P*<3/2>).7g,2[5/2]*,3,7,,171688.945,,0.003,L8826
2s2.2p5.(2P*<3/2>).7g,2[11/2]*,5,11,,171689.431,,0.003,L8826
2s2.2p5.(2P*<3/2>).7g,2[11/2]*,6,13,,171689.438,,0.003,L8826
2s2.2p5.(2P*<3/2>).7f,2[5/2],3,7,,171690.028,,0.005,L8826
2s2.2p5.(2P*<3/2>).7f,2[5/2],2,5,,171690.035,,0.007,L8826
2s2.2p5.(2P*<3/2>).7g,2[7/2]*,4,9,,171690.464,,0.003,L8826
2s2.2p5.(2P*<3/2>).7g,2[7/2]*,3,7,,171690.478,,0.003,L8826
2s2.2p5.(2P*<3/2>).7g,2[9/2]*,4,9,,171690.963,,0.003,L8826
2s2.2p5.(2P*<3/2>).7g,2[9/2]*,5,11,,171690.969,,0.003,L8826
2s2.2p5.(2P*<3/2>).7f,2[7/2],3,7,,171691.314,,0.006,L8826
2s2.2p5.(2P*<3/2>).7f,2[7/2],4,9,,171691.331,,0.004,L8826
2s2.2p5.(2P*<3/2>).8p,2[1/2],1,3,,171752.24,,0.20,L8826
2s2.2p5.(2P*<3/2>).8p,2[1/2],0,1,,171831.0,,0.3,L8826
2s2.2p5.(2P*<3/2>).8p,2[5/2],3,7,,171787.0,,0.3,L8826
2s2.2p5.(2P*<3/2>).8p,2[5/2],2,5,,171791.6,,0.3,L8826
2s2.2p5.(2P*<3/2>).8p,2[3/2],1,3,,171798.014,,0.014,L8826
2s2.2p5.(2P*<3/2>).8p,2[3/2],2,5,,171803.2,,0.2,L8826
2s2.2p5.(2P*<1/2>).7p,2[3/2],1,3,,171822.233,,0.014,L8826
2s2.2p5.(2P*<1/2>).7p,2[3/2],2,5,,171827.517,,0.014,L8826
2s2.2p5.(2P*<1/2>).7p,2[1/2],1,3,,171830.5,,0.3,L8826
2s2.2p5.(2P*<1/2>).7p,2[1/2],0,1,,171913.45,,0.02,L8826
2s2.2p5.(2P*<3/2>).9s,2[3/2]*,2,5,,172071.389,,0.007,L8826
2s2.2p5.(2P*<3/2>).9s,2[3/2]*,1,3,,172080.915,,0.005,L8826
2s2.2p5.(2P*<3/2>).8d,2[1/2]*,0,1,,172200.33,,0.06,L8826
2s2.2p5.(2P*<3/2>).8d,2[1/2]*,1,3,,172201.878,,0.011,L8826
