Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
,,9/2,10,,36400.72,,,1.18,                                                 ,
,*,5/2,6,,36447.35,,,0.90,                                                 ,
,*,7/2,8,,36454.46,,,,                                                 ,
,*,1/2,2,,36495.28,,,0.43,                                                 ,
,*,3/2,4,,36678.58,,,0.91,                                                 ,
,*,3/2,4,,36722.38,,,1.076,                                                 ,
,*,7/2,8,,36723.27,,,1.21,                                                 ,
,,7/2,8,,36792.36,,,0.89,                                                 ,
,,9/2,10,,36822.77,,,0.90,                                                 ,
,,1/2,2,,36840.70,,,2.02,                                                 ,
,,5/2,6,,36851.32,,,1.21,                                                 ,
,,3/2,4,,36853.58,,,1.13,                                                 ,
,*,1/2,2,,36896.63,,,1.70,                                                 ,
,*,5/2,6,,37086.70,,,1.20,                                                 ,
,,3/2,4,,37092.15,,,0.66,                                                 ,
,*,5/2,6,,37245.34,,,0.98,                                                 ,
,,3/2,4,,37248.61,,,1.38,                                                 ,
,*,3/2,4,,37253.52,,,1.20,                                                 ,
,*,1/2,2,,37475.30,,,0.76,                                                 ,
,,5/2,6,,37544.15,,,1.06,                                                 ,
,,3/2,4,,37612.91,,,1.43,                                                 ,
,,1/2,2,,37659.48,,,0.91,                                                 ,
,*,7/2,8,,37673.94,,,1.29,                                                 ,
,*,5/2,6,,37731.59,,,1.15,                                                 ,
,*,5/2,6,,37771.53,,,0.733,                                                 ,
,*,3/2,4,,37787.04,,,0.648,                                                 ,
,,7/2,8,,37833.78,,,0.90,                                                 ,
,*,7/2,8,,37842.77,,,1.0,                                                 ,
,,5/2,6,,37855.75,,,1.28,                                                 ,
,,5/2,6,,37903.24,,,0.93,                                                 ,
,*,5/2,6,,37961.34,,,1.14,                                                 ,
,*,7/2,8,,37982.68,,,1.04,                                                 ,
,*,7/2,8,,38050.57,,,1.04,                                                 ,
,*,3/2,4,,38061.57,,,1.33,                                                 ,
,,9/2,10,,38172.80,,,0.93,                                                 ,
,,7/2,8,,38178.00,,,0.99,                                                 ,
,*,5/2,6,,38264.31,,,0.79,                                                 ,
,,5/2,6,,38378.90,,,1.06,                                                 ,
,,7/2,8,,38391.75,,,1.04,                                                 ,
,,3/2,4,,38478.84,,,0.90,                                                 ,
,,9/2,10,,38755.72,,,,                                                 ,
,,1/2,2,,38921.15,,,0.22,                                                 ,
,,7/2,8,,38991.90,,,1.03,                                                 ,
,,3/2,4,,39110.34,,,0.87,                                                 ,
,*,5/2,6,,39179.11,,,1.04,                                                 ,
,*,7/2,8,,39350.50,,,,                                                 ,
,,9/2,10,,39391.23,,,1.04,                                                 ,
,,9/2,10,,40084.07,,,1.25,                                                 ,
,,1/2,2,,40243.01,,,2.24,                                                 ,
,*,7/2,8,,40910.11,,,1.15,                                                 ,
