Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
"=""""","=""*""","=""2""","=""""","=""21252.60286""","=""""","=""0.00004""","=""0.665""","=""                                                        ""","=""L18702,L17451"""
"=""""","=""*""","=""4""","=""""","=""21539.59257""","=""""","=""0.00004""","=""1.160""","=""                                                        ""","=""L18702,L16199"""
"=""6d3.(2P).7s""","=""""","=""2""","=""""","=""21575.03713""","=""""","=""0.00013""","=""1.185""","=""  30  6d3.(2P).7s 3P         :    27  6d3.(2D2).7s 1D   ""","=""L18702,u39"""
"=""6d3.(2F).7s""","=""1F""","=""3""","=""""","=""21594.67329""","=""""","=""0.00012""","=""1.040""","=""  68                         :    14  6d4          1F   ""","=""L18702,u39"""
"=""6d3.(2G).7s""","=""""","=""4""","=""""","=""21645.85769""","=""""","=""0.00013""","=""1.090""","=""  48  6d3.(2G).7s 3G         :    20  6d3.(4F).7s  3F   ""","=""L18702,u39"""
"=""5f.6d2.7s""","=""5G*""","=""2""","=""""","=""21738.05013""","=""""","=""0.00009""","=""0.530""","=""                                                        ""","=""L18702,u39"""
"=""5f.6d2.7s""","=""5G*""","=""3""","=""""","=""22338.99484""","=""""","=""0.00006""","=""1.020""","=""                                                        ""","=""L18702,u39"""
"=""5f.6d2.7s""","=""5G*""","=""4""","=""""","=""23113.54761""","=""""","=""0.00013""","=""1.020""","=""                                                        ""","=""L18702,u39"""
"=""5f.6d2.7s""","=""5G*""","=""6""","=""""","=""26723.66908""","=""""","=""0.00012""","=""1.195""","=""                                                        ""","=""L18702,u39"""
"=""""","=""*""","=""3""","=""""","=""21890.13254""","=""""","=""0.00010""","=""0.930""","=""                                                        ""","=""L18702,L16199"""
"=""5f.6d2.7s""","=""3H*""","=""4""","=""""","=""21902.26981""","=""""","=""0.00011""","=""0.990""","=""                                                        ""","=""L18702,L16199"""
"=""5f.6d2.7s""","=""3H*""","=""6""","=""""","=""26232.29174""","=""""","=""0.0004""","=""1.080""","=""                                                        ""","=""L18702,u39"""
"=""5f.6d.7s.7p""","=""5I""","=""4""","=""""","=""22098.18793""","=""""","=""0.00005""","=""0.740""","=""                                                        ""","=""L18702,L1056"""
"=""5f.6d.7s.7p""","=""5I""","=""5""","=""""","=""23277.38774""","=""""","=""0.00005""","=""1.010""","=""                                                        ""","=""L18702,L1056"""
"=""5f.6d.7s.7p""","=""5I""","=""6""","=""""","=""26997.24767""","=""""","=""0.00005""","=""1.110""","=""                                                        ""","=""L18702,L1056"""
"=""5f.6d.7s.7p""","=""5I""","=""7""","=""""","=""30726.78752""","=""""","=""0.00008""","=""1.210""","=""                                                        ""","=""L18702,u39"""
"=""5f.6d.7s.7p""","=""5I""","=""8""","=""""","=""34558.75875""","=""""","=""0.00016""","=""1.245""","=""                                                        ""","=""L18702,u39"""
"=""""","=""*""","=""3""","=""""","=""22141.60454""","=""""","=""0.00004""","=""1.100""","=""                                                        ""","=""L18702,L17451"""
