Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
4d.8d,"(5/2,5/2)",2,5,,58117.2,,0.2,L16320
4d.8d,"(5/2,5/2)",0,1,,58154.8,,0.2,L10938
4d.9p,"(5/2,1/2)*",3,7,,57845.9,,0.2,L13135
4d.9p,"(5/2,3/2)*",3,7,,57917.0,,0.2,L13135
4d.9p,"(5/2,3/2)*",1,3,,58081.8,,1.3,L413
4d.8d,"(5/2,3/2)",1,3,,57975.5,,0.2,L16320
4d.8d,"(5/2,3/2)",2,5,,58021.8,,0.2,L16320
4d.7f,"(3/2,5/2)*",1,3,,58021.5,,0.7,L7603
4d.7f,"(3/2,5/2)*",3,7,,58106.7,,0.2,L13135
4d.10s,"(3/2,1/2)",1,3,,58095.2,,0.2,L16320
4d.7f,"(3/2,7/2)*",3,7,,58198.9,,0.2,L13135
4d.7f,"(5/2,5/2)*",1,3,,58287.0,,0.7,L7603
4d.7f,"(5/2,5/2)*",3,7,,58379.9,,0.2,L13135
4d.9d,"(3/2,3/2)",1,3,,58378.1,,0.2,L16320
4d.9d,"(3/2,3/2)",0,1,,58431.1,,0.2,L10938
4d.9d,"(3/2,3/2)",2,5,,58498.0,,0.2,L16320
4d.(2D<3/2>).10p,2[1/2]*,1,3,,58396.2,,0.7,L7603
4d.9d,"(3/2,5/2)",1,3,,58417.1,,0.2,L16320
4d.9d,"(3/2,5/2)",2,5,,58443.4,,0.2,L16320
4d.7f,"(5/2,7/2)*",1,3,,58422.3,,0.7,L7603
4d.7f,"(5/2,7/2)*",3,7,,58444.5,,0.2,L13135
4d.(2D<3/2>).10p,2[3/2]*,1,3,,58459.8,,0.7,L7603
4d.(2D<5/2>).7g,2[5/2],2,5,,58508.3,,0.2,L16320
4d.(2D<5/2>).7g,2[3/2],2,5,,58510.6,,0.2,L16320
4d.(2D<3/2>).8f,2[3/2]*,1,3,,58618.3,,0.7,L7603
4d.9d,"(5/2,5/2)",1,3,,58642.0,,0.2,L16320
4d.9d,"(5/2,5/2)",0,1,,58709.9,,0.2,L10938
4d.9d,"(5/2,5/2)",2,5,,58763.8,,0.2,L16320
4d.(2D<5/2>).10p,2[7/2]*,3,7,,58646.9,,0.2,L13135
4d.9d,"(5/2,3/2)",1,3,,58666.5,,0.2,L16320
4d.9d,"(5/2,3/2)",2,5,,58687.0,,0.2,L16320
4d.(2D<5/2>).10p,2[3/2]*,1,3,,58713.2,,0.7,L7603
4d.(2D<3/2>).8f,2[5/2]*,3,7,,58740.3,,0.2,L13135
4d.(2D<3/2>).8g,2[5/2],2,5,,58755.1,,0.2,L16320
4d.10d,"(3/2,5/2)",1,3,,58821.2,,0.2,L16320
4d.10d,"(3/2,5/2)",2,5,,58889.7,,0.2,L16320
4d.10d,"(3/2,3/2)",0,1,,58856.2,,0.2,L10938
4d.10d,"(3/2,3/2)",1,3,,58859.0,,0.2,L16320
4d.10d,"(3/2,3/2)",2,5,,58939.7,,0.2,L16320
4d.(2D<5/2>).8f,2[1/2]*,1,3,,58926.5,,0.7,L7603
4d.11s,"(5/2,1/2)",2,5,,58929.8,,2.,L16320
4d.(2D<5/2>).8f,2[3/2]*,1,3,,58970.7,,0.7,L7603
4d.11s,"(3/2,1/2)",2,5,,59027.7,,0.2,L16320
4d.(2D<3/2>).9f,2[3/2]*,1,3,,59032.9,,0.7,L7603
4d.(2D<5/2>).8g,2[5/2],2,5,,59037.1,,0.2,L16320
4d.(2D<5/2>).8g,2[3/2],2,5,,59038.3,,0.2,L16320
4d.10d,"(5/2,3/2)",2,5,,59087.5,,0.2,L16320
4d.10d,"(5/2,3/2)",1,3,,59165.1,,0.2,L16320
4d.(2D<3/2>).9f,2[7/2]*,3,7,,59105.6,,0.2,L13135
4d.(2D<3/2>).9g,2[5/2],2,5,,59119.4,,0.2,L16320
4d.10d,"(5/2,5/2)",1,3,,59137.4,,0.2,L16320
4d.10d,"(5/2,5/2)",2,5,,59223.5,,0.2,L16320
4d.10d,"(5/2,5/2)",0,1,,59258.8,,0.2,L10938
4d.(2D<5/2>).9f,2[1/2]*,1,3,,59238.5,,0.7,L7603
4d.(2D<5/2>).9f,2[3/2]*,1,3,,59360.5,,0.7,L7603
4d.(2D<3/2>).10f,2[3/2]*,1,3,,59360.5,,0.7,L7603
4d.(2D<5/2>).9g,2[5/2],2,5,,59400.6,,0.2,L16320
4d.(2D<5/2>).9g,2[3/2],2,5,,59401.5,,0.2,L16320
4d.(2D<5/2>).10f,2[3/2]*,1,3,,59661.2,,0.7,L7603
4d.(2D<5/2>).10g,2[5/2],2,5,,59661.3,,0.2,L16320
4d.(2D<5/2>).10g,2[3/2],2,5,,59661.7,,0.2,L16320
Sr II (4d 2D<3/2>),Limit,---,,,60488.09,,0.20,L4447
Sr II (4d 2D<5/2>),Limit,---,,,60768.43,,0.20,L4447
