Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
,10*,1,3,,47038.709,,,,
,11*,2,5,,47051.658,,,0.917,
,12*,3,7,,47064.572,,,1.13,
,13*,3,7,,47177.061,,,,
4d4.5s.(4F).5p,y 5G*,2,5,,47186.322,,,,
4d4.5s.(4F).5p,y 5G*,3,7,,47311.127,,,0.862,
4d4.5s.(4F).5p,y 5G*,4,9,,47409.329,,,1.200,
4d4.5s.(4F).5p,y 5G*,5,11,,47659.000,,,1.252,
4d4.5s.(4F).5p,y 5G*,6,13,,47704.609,,,1.30,
,14*,1,3,,47248.084,,,1.164,
,15*,2,5,,47282.133,,,,
,16*,0,1,,47324.332,,,0.00,
,17*,1,3,,47402.144,,,0.889,
,17.1*,4,9,,47409.183,,,,
,18*,5,11,,47491.592,,,1.112,
,18.1*,7,15,,47561.619,,,,
,19*,2,5,,47587.567,,,1.12,
,19.1*,3,7,,47631.648,,,,
,20*,4,9,,47710.850,,,1.056,
,21*,1,3,,47713.85,?,,,
4d4.5s.(4D).5p,v 3D*,1,3,,47779.362,,,0.076,
4d4.5s.(4D).5p,v 3D*,2,5,,48085.181,,,1.044,
4d4.5s.(4D).5p,v 3D*,3,7,,48205.891,,,1.37,
4d4.5s.(4D).5p,u 5F*,2,5,,47827.191,,,1.09,
4d4.5s.(4D).5p,u 5F*,1,3,,48022.162,,,0.29,
4d4.5s.(4D).5p,u 5F*,3,7,,48028.183,,,1.283,
4d4.5s.(4D).5p,u 5F*,4,9,,48192.009,,,1.293,
4d4.5s.(4D).5p,u 5F*,5,11,,48547.380,,,1.370,
,22*,3,7,,47848.348,,,,
4d5.(2I).5p,y 3H*,4,9,,47876.757,,,,
4d5.(2I).5p,y 3H*,5,11,,48189.154,,,1.206,
4d5.(2I).5p,y 3H*,6,13,,48400.209,,,1.195,
,23*,2,5,,48038.89,?,,,
,24*,6,13,,48120.460,,,1.20,
4d5.(2F).5p,v 3F*,2,5,,48238.208,,,0.758,
4d5.(2F).5p,v 3F*,3,7,,48398.946,,,1.174,
4d5.(6S).7s,f 7S,3,7,,48367.864,,,,
4d4.5s.(4D).5p,v 5D*,2,5,,48408.687,,,1.440,
4d4.5s.(4D).5p,v 5D*,1,3,,48410.88,?,,,
4d4.5s.(4D).5p,v 5D*,3,7,,48532.119,,,1.496,
4d4.5s.(4D).5p,v 5D*,4,9,,48870.471,,,1.454,
,24.1*,4,9,,48431.459,,,,
