Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
5d10.6s.20d,3D,3,7,,83803.0,,0.5,,
5d10.6s.19f,3F*,3,7,,83843.1,,0.7,,
5d10.6s.19f,1F*,3,7,,83843.7,,0.5,,
5d10.6s.20f,3F*,4,9,,83878.2,,0.7,,
5d10.6s.20f,1F*,3,7,,83878.8,,0.7,,
5d10.6s.21f,1F*,3,7,,83906.3,,0.5,,
5d10.6s.21f,3F*,4,9,,83907.1,,0.5,,
Hg II (6s 2S<1/2>),Limit,---,,,84184.15,,0.05,,"L11931,L11984"
5d9.6s2.(2D<3/2>).6p,2[1/2]*,1,3,,88759.6,,0.3,,
5d10.6p2,3P,0,1,,90099.6,,0.2,,
5d10.6p2,3P,1,3,,93980.0,,0.4,,
5d10.6p2,3P,2,5,,96190,,60,,
5d9.6s2.(2D<3/2>).6p,2[3/2]*,1,3,,93736.4,,0.4,,
5d9.6s2.(2D<5/2>).7s,2[5/2],3,7,,97100.23,,0.3,,
5d9.6s2.(2D<5/2>).7s,2[5/2],2,5,,97309.84,,0.19,,
5d9.6s2.(2D<5/2>).7p,2[3/2]*,1,3,,105882,,8,,
5d9.6s2.(2D<5/2>).8p,2[3/2]*,1,3,,112273,,9,,
5d9.6s2.(2D<5/2>).5f,2[3/2]*,1,3,,112701.3,,2,,
5d9.6s2.(2D<5/2>).5f,2[1/2]*,1,3,,112723.5,,2,,
5d9.6s2.(2D<5/2>).9p,2[3/2]*,1,3,,115042,,7,,
5d9.6s2.(2D<5/2>).6f,2[3/2]*,1,3,,115231.9,,1.2,,
5d9.6s2.(2D<5/2>).6f,2[1/2]*,1,3,,115243.4,,1.1,,
5d9.6s2.(2D<5/2>).10p,2[3/2]*,1,3,,116503.8,,1.2,,
5d9.6s2.(2D<5/2>).7f,2[3/2]*,1,3,,116611.2,,1.2,,
5d9.6s2.(2D<5/2>).7f,2[1/2]*,1,3,,116617.8,,1.2,,
5d9.6s2.(2D<5/2>).11p,2[3/2]*,1,3,,117371.9,,1.2,,
5d9.6s2.(2D<5/2>).8f,2[3/2]*,1,3,,117434.9,,1.2,,
5d9.6s2.(2D<5/2>).8f,2[1/2]*,1,3,,117439.3,,1.2,,
5d9.6s2.(2D<5/2>).12p,2[3/2]*,1,3,,117929.8,,1.3,,
5d9.6s2.(2D<5/2>).9f,2[3/2]*,1,3,,117966.6,,1.3,,
5d9.6s2.(2D<5/2>).9f,2[1/2]*,1,3,,117969.6,,1.3,,
5d9.6s2.(2D<5/2>).13p,2[3/2]*,1,3,,118311.7,,1.3,,
5d9.6s2.(2D<5/2>).10f,2[3/2]*,1,3,,118334.4,,1.3,,
5d9.6s2.(2D<5/2>).10f,2[1/2]*,1,3,,118336.5,,1.3,,
5d9.6s2.(2D<5/2>).14p,2[3/2]*,1,3,,118576.3,,1.3,,
5d9.6s2.(2D<5/2>).11f,2[3/2]*,1,3,,118590.1,,1.3,,
5d9.6s2.(2D<5/2>).11f,2[1/2]*,1,3,,118591.7,,1.3,,
5d9.6s2.(2D<5/2>).15p,2[3/2]*,1,3,,118775.8,,1.3,,
5d9.6s2.(2D<5/2>).12f,2[3/2]*,1,3,,118781.9,,1.3,,
5d9.6s2.(2D<5/2>).12f,2[1/2]*,1,3,,118783.1,,1.3,,
5d9.6s2.(2D<5/2>).16p,2[3/2]*,1,3,,118911.7,,1.3,,
5d9.6s2.(2D<5/2>).13f,2[3/2]*,1,3,,118930.3,,4,,
5d9.6s2.(2D<5/2>).13f,2[1/2]*,1,3,,118931.2,,4,,
5d9.6s2.(2D<5/2>).17p,2[3/2]*,1,3,,119037.6,,1.3,,
5d9.6s2.(2D<5/2>).18p,2[3/2]*,1,3,,119136.8,,1.3,,
5d9.6s2.(2D<5/2>).19p,2[3/2]*,1,3,,119208.0,,1.3,,
5d9.6s2.(2D<5/2>).20p,2[3/2]*,1,3,,119271.7,,1.3,,
Hg II (5d9.6s2 2D<5/2>),Limit,---,,,119700.,,1.,,
5d9.6s2.(2D<3/2>).7p,2[1/2]*,1,3,,119953,,10,,
