Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
5s2.5p4.(3P<2>).7f,2[3]*,5/2,6,,82027.76,,0.04,,L13998
5s2.5p4.(3P<2>).7f,2[3]*,7/2,8,,82029.14,,0.04,,L13998
5s2.5p4.(3P<1>).6d,2[1],1/2,2,,82028.38,,0.04,,L13998
5s2.5p4.(3P<1>).6d,2[1],3/2,4,,82159.60,,0.04,,L13998
5s2.5p4.(3P<2>).7f,2[2]*,3/2,4,,82033.37,,0.04,,L13998
5s2.5p4.(3P<2>).7f,2[5]*,11/2,12,,82035.56,,0.04,,L13998
5s2.5p4.(3P<2>).7f,2[5]*,9/2,10,,82035.88,,0.04,,L13998
5s2.5p4.(1D<2>).5d,2[2],5/2,6,,82041.00,,0.04,,L13998
5s2.5p4.(1D<2>).5d,2[2],3/2,4,,82235.30,,0.04,,L13998
5s2.5p4.(3P<2>).7f,2[1]*,3/2,4,,82045.22,,0.04,,L13998
5s2.5p4.(3P<2>).11s,2[2],5/2,6,,82073.95,,0.04,,L13998
5s2.5p4.(3P<2>).11s,2[2],3/2,4,,82093.64,,0.04,,L13998
5s2.5p4.(1D<2>).5d,2[3],5/2,6,,82144.34,,0.04,,L13998
5s2.5p4.(3P<1>).7p,2[2]*,5/2,6,,82213.77,,0.04,,L13998
5s2.5p4.(3P<1>).7p,2[2]*,3/2,4,,82430.98,,0.04,,L13998
5s2.5p4.(3P<2>).10d,2[3],7/2,8,,82289.35,,0.04,,L13998
5s2.5p4.(3P<2>).11p,2[3]*,5/2,6,,82344.13,?,0.20,,L13998
5s2.5p4.(3P<2>).11p,2[3]*,7/2,8,,82345.04,,0.04,,L13998
5s2.5p4.(3P<2>).10d,2[4],9/2,10,,82385.26,,0.04,,L13998
5s2.5p4.(3P<2>).10d,2[4],7/2,8,,82394.99,,0.04,,L13998
5s2.5p4.(3P<0>).6d,2[2],5/2,6,,82397.32,,0.04,,L13998
5s2.5p4.(3P<0>).6d,2[2],3/2,4,,82426.48,,0.04,,L13998
5s2.5p4.(3P<1>).7p,2[1]*,3/2,4,,82423.98,,0.04,1.27,L13998
5s2.5p4.(3P<1>).7p,2[1]*,1/2,2,,82615.58,,0.04,,L13998
5s2.5p4.(3P<1>).6d,2[3],5/2,6,,82491.60,,0.04,,L13998
5s2.5p4.(3P<1>).6d,2[2],3/2,4,,82496.01,,0.04,,L13998
5s2.5p4.(3P<1>).6d,2[2],5/2,6,,82792.62,,0.04,,L13998
5s2.5p4.(3P<2>).8f,2[4]*,9/2,10,,82559.13,,0.04,,L13998
5s2.5p4.(3P<2>).8f,2[4]*,7/2,8,,82559.91,,0.04,,L13998
5s2.5p4.(3P<2>).8f,2[3]*,5/2,6,,82561.17,,0.04,,L13998
5s2.5p4.(3P<2>).8f,2[5]*,11/2,12,,82566.55,,0.04,,L13998
5s2.5p4.(3P<2>).8f,2[5]*,9/2,10,,82566.73,,0.04,,L13998
