Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
4f10.(5I<7>).6s2.6p<1/2>,"(7,1/2)*",15/2,16,,23818.54,,,,             or  :    31                   (5I) 6K*             ,L3974
4f10.(5I<7>).6s2.6p<1/2>,"(7,1/2)*",13/2,14,,23942.71,,,,             or  :    26                   (5I) 4H*             ,L3974
4f11.(4I*).5d.6s.(1D),4K*,17/2,18,,23885.74,,,,  89             :     6                   (4I*)(1D) 4L*        ,L3974
4f10.(5I).5d2.(3F) (7M).6s,,13/2,14,,24006.23,,,,  41  8M         :    37                   (5I)(3F). (5M) 6M    ,L3974
4f11.(4I*<15/2>).6s.6p.(1P*<1>),"(15/2,1)",13/2,14,,24014.22,,,,                                                                ,L3974
4f11.(4I*<15/2>).6s.6p.(1P*<1>),"(15/2,1)",17/2,18,,24360.81,,,,                                                                ,L3974
4f11.(4I*<15/2>).6s.6p.(1P*<1>),"(15/2,1)",15/2,16,,24660.80,,,,                                                                ,L3974
4f10.(5I).5d.6s.6p,*,15/2,16,,24112.04,,,,                                                                ,L3974
4f10.(5I).5d.6s.6p,*,17/2,18,,24115.17,,,,                                                                ,L3974
4f10.5d.6s2,,11/2,12,,24141.21,,,,  95             :     5  4f11.6s.6p                            ,L3974
4f10.(5I).5d2.(3P) (7H).6s,,17/2,18,,24263.96,,,,  27  8H         :    14                   (5I)(3P). (7I) 8I    ,L3974
4f10.5d.6s2,,9/2,10,,24355.64,,,,  96             :     4  4f11.6s.6p                            ,L3974
4f11.(4I*).5d.6s.(1D),4I*,15/2,16,,24357.90,,,,  80             :    10                   (4I*)(1D) 4K*        ,L3974
4f10.(5I).5d2.(3F) (7H).6s,,15/2,16,,24376.91,,,,  16  8H         :    10                   (5I)(3F). (5K) 6K    ,L3974
4f10.(5I).5d2.(3F) (5M).6s,,19/2,20,,24404.19,,,,  12  6M         :    11                   (5I)(3F). (7K) 8K    ,L3974
4f10.(5I).5d.6s.6p,*,13/2,14,,24594.75,,,,                                                                ,L3974
4f10.(5I).5d.6s.6p,*,19/2,20,,24678.25,,,,                                                                ,L3974
4f10.(5I).5d2.(3F) (5M).6s,,21/2,22,,24714.34,,,,  24  6M         :    14                   (5I)(3F). (3M) 4M    ,L3974
4f10.5d.6s2,,13/2,14,,24740.52,,,,  82             :    18  4f11.6s.6p                            ,L3974
4f10.(5I).5d2.(3F) (7G).6s,,13/2,14,,24760.13,,,,  18  8G         :    10                   (5I)(3F). (7I) 8I    ,L3974
4f10.(5I).5d2.(3P) (7H).6s,8H,17/2,18,,24795.58,,,,  64             :     6                   (5I)(3H). (7H) 8H    ,L3974
4f10.5d.6s2,,11/2,12,,25261.55,,,0.90,  63             :    37  4f11.6s.6p                            ,L3974
4f10.5d.6s2,,15/2,16,,25272.63,,,,  98                                                            ,L3974
