Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
3d3.(2H).4s.4p.(3P*),y 2H*,11/2,12,,37210.818,,0.003,1.08,  75         :     9  3d4.(3H).4p           2H*  ,"L15916,L20010,L14162"
3d4.(3H).4p,z 4I*,9/2,10,,37285.057,,0.002,0.87,  92         :     1  3d3.(2H).4s.4p.(3P*)  4I*  ,"L15916,L20010,L14162"
3d4.(3H).4p,z 4I*,11/2,12,,37315.932,,0.004,0.96,  92         :     1  3d3.(2H).4s.4p.(3P*)  4I*  ,"L15916,L20010,L14162"
3d4.(3H).4p,z 4I*,13/2,14,,37404.329,,0.002,1.08,  92         :     1  3d3.(2H).4s.4p.(3P*)  2I*  ,"L15916,L20010,L14162"
3d4.(3H).4p,z 4I*,15/2,16,,37518.445,,0.004,1.15,  96         :     1  3d3.(2H).4s.4p.(3P*)  4I*  ,"L15916,L20010,L14162"
3d3.(2D2).4s.4p.(3P*),w 2F*,5/2,6,,37342.555,,0.003,0.84,  24         :    21  3d3.(2G).4s.4p.(1P*)  2F*  ,"L15916,L20010,L14162"
3d3.(2D2).4s.4p.(3P*),w 2F*,7/2,8,,37475.102,o,0.004,1.12,  19         :    17  3d4.(3H).4p           2G*  ,"L15916,L20010,L14162"
3d3.4s.(5F).5s,e 6F,1/2,2,,37375.172,,0.002,-0.72, 100                                             ,"L15916,L20010,L14162"
3d3.4s.(5F).5s,e 6F,3/2,4,,37423.212,,0.002,1.05,  96                                             ,"L15916,L20010,L14162"
3d3.4s.(5F).5s,e 6F,5/2,6,,37503.240,,0.002,1.30,  96                                             ,"L15916,L20010,L14162"
3d3.4s.(5F).5s,e 6F,7/2,8,,37615.057,,0.0012,1.33,  98                                             ,"L15916,L20010,L14162"
3d3.4s.(5F).5s,e 6F,9/2,10,,37758.146,,0.0010,1.43,  96                                             ,"L15916,L20010,L14162"
3d3.4s.(5F).5s,e 6F,11/2,12,,37931.460,,0.002,1.52,  10                                             ,"L15916,L20010,L14162"
3d4.(3F2).4p,w 2D*,3/2,4,,37457.576,,0.004,0.80,  55         :    23  3d3.(2P).4s.4p.(3P*)  2D*  ,"L15916,L20010,L14162"
3d4.(3F2).4p,w 2D*,5/2,6,,37752.595,,0.003,1.18,  55         :    20  3d3.(2P).4s.4p.(3P*)  2D*  ,"L15916,L20010,L14162"
3d4.(3F2).4p,v 4G*,5/2,6,,37498.808,,0.003,0.60,  64         :    26  3d3.(2H).4s.4p.(3P*)  4G*  ,"L15916,L20010,L14162"
3d4.(3F2).4p,v 4G*,7/2,8,,37556.034,,0.004,1.02,  55         :    21  3d3.(2H).4s.4p.(3P*)  4G*  ,"L15916,L20010,L14162"
3d4.(3F2).4p,v 4G*,9/2,10,,37644.487,,0.004,1.15,  53         :    19  3d3.(2H).4s.4p.(3P*)  4G*  ,"L15916,L20010,L14162"
3d4.(3F2).4p,v 4G*,11/2,12,,37764.923,,0.002,1.22,  49         :    18  3d3.(2H).4s.4p.(3P*)  4G*  ,"L15916,L20010,L14162"
3d4.(3H).4p,z 2I*,11/2,12,,37530.314,,0.002,0.94,  32         :    52  3d3.(2H).4s.4p.(1P*)  2I*  ,"L15916,L20010,L14162"
3d4.(3H).4p,z 2I*,13/2,14,,37606.365,,0.007,1.06,  30         :    53  3d3.(2H).4s.4p.(1P*)  2I*  ,"L15916,L20010,L14162"
3d4.(3P2).4p,t 4D*,1/2,2,,37757.309,,0.010,0.01,  34         :    11  3d3.(4F).4s.4p.(1P*)  4D*  ,"L15916,L20010,L14162"
3d4.(3P2).4p,t 4D*,3/2,4,,37835.065,,0.002,1.18,  33         :    12  3d3.(4F).4s.4p.(1P*)  4D*  ,"L15916,L20010,L14162"
3d4.(3P2).4p,t 4D*,5/2,6,,37959.695,,0.002,1.33,  28         :    10  3d3.(4F).4s.4p.(1P*)  4D*  ,"L15916,L20010,L14162"
3d4.(3P2).4p,t 4D*,7/2,8,,38115.684,o,0.002,1.35,  17         :    15  3d4.(3F2).4p          2F*  ,"L15916,L20010,L14162"
3d4.(5D).5s,e 4D,1/2,2,,37940.211,,0.005,,  92         :     2  3d3.4s.(5F).4d        4D   ,"L15916,L20010"
3d4.(5D).5s,e 4D,3/2,4,,38004.041,,0.0011,,  92         :     2  3d3.4s.(5F).4d        4D   ,"L15916,L20010"
3d4.(5D).5s,e 4D,5/2,6,,38106.385,,0.0011,,  90         :     3  3d3.4s.(5F).4d        4D   ,"L15916,L20010"
3d4.(5D).5s,e 4D,7/2,8,,38242.535,,0.0010,,  92         :     2  3d3.4s.(5F).4d        4D   ,"L15916,L20010"
3d4.(3H).4p,x 2H*,9/2,10,,38123.795,,0.003,0.88,  46         :    16  3d3.(2H).4s.4p.(1P*)  2H*  ,"L15916,L20010,L14162"
3d4.(3H).4p,x 2H*,11/2,12,,38220.663,,0.002,1.10,  40         :    14  3d3.(2H).4s.4p.(1P*)  2H*  ,"L15916,L20010,L14162"
3d4.(3H).4p,x 4H*,7/2,8,,38245.829,,0.002,0.67,  45         :    20  3d4.(3G).4p           4H*  ,"L15916,L20010,L14162"
3d4.(3H).4p,x 4H*,9/2,10,,38323.924,,0.002,0.93,  41         :    16  3d4.(3G).4p           4H*  ,"L15916,L20010,L14162"
3d4.(3H).4p,x 4H*,11/2,12,,38405.067,,0.003,1.11,  40         :    15  3d4.(3G).4p           4H*  ,"L15916,L20010,L14162"
3d4.(3H).4p,x 4H*,13/2,14,,38483.045,,0.002,1.22,  55         :    22  3d4.(3G).4p           4H*  ,"L15916,L20010,L14162"
3d3.(2H).4s.4p.(3P*),u 2G*,9/2,10,,38529.830,,0.004,0.99,  75         :     8  3d4.(3H).4p           2G*  ,"L15916,L20010,L14162"
3d3.(2H).4s.4p.(3P*),u 2G*,7/2,8,,38610.899,,0.006,0.88?,  76         :     7  3d3.(2F).4s.4p.(3P*)  2G*  ,"L15916,L20010,L14162"
3d3.(2H).4s.4p.(3P*),y 2I*,11/2,12,,39008.669,,0.004,0.92,  48         :    52  3d4.(3H).4p           2I*  ,"L15916,L20010,L14162"
3d3.(2H).4s.4p.(3P*),y 2I*,13/2,14,,39081.270,,0.005,1.06,  43         :    53  3d4.(3H).4p           2I*  ,"L15916,L20010,L14162"
3d3.4s.(5F).5s,f 4F,3/2,4,,39127.228,,0.002,0.46?,  93         :     3  3d4.(5D).4d           4F   ,"L15916,L20010,L14162"
3d3.4s.(5F).5s,f 4F,5/2,6,,39241.384,,0.0012,1.03,  91         :     3  3d4.(5D).4d           4F   ,"L15916,L20010,L14162"
3d3.4s.(5F).5s,f 4F,7/2,8,,39398.893,,0.002,1.22?,  91         :     3  3d4.(5D).4d           4F   ,"L15916,L20010,L14162"
3d3.4s.(5F).5s,f 4F,9/2,10,,39596.988,,0.0010,1.33?,  94         :     3  3d4.(5D).4d           4F   ,"L15916,L20010,L14162"
3d4.(3P2).4p,w 4P*,1/2,2,,39237.202,,0.0012,2.57,  47         :    20  3d3.(2P).4s.4p.(3P*)  4P*  ,"L15916,L20010,L14162"
3d4.(3P2).4p,w 4P*,3/2,4,,39248.928,,0.0012,1.60,  25         :    10  3d3.(2P).4s.4p.(3P*)  4P*  ,"L15916,L20010,L14162"
3d4.(3P2).4p,w 4P*,5/2,6,,39422.745,,0.0012,1.52,  41         :    16  3d3.(2P).4s.4p.(3P*)  4P*  ,"L15916,L20010,L14162"
3d4.(3F2).4p,u 4F*,3/2,4,,39266.680,,0.003,0.54,  64         :    11  3d3.(2F).4s.4p.(3P*)  4F*  ,"L15916,L20010,L14162"
3d4.(3F2).4p,u 4F*,5/2,6,,39300.537,,0.0010,1.00,  62         :    10  3d3.(2F).4s.4p.(3P*)  4F*  ,"L15916,L20010,L14162"
3d4.(3F2).4p,u 4F*,7/2,8,,39341.784,,0.002,1.21,  62         :    10  3d3.(2F).4s.4p.(3P*)  4F*  ,"L15916,L20010,L14162"
3d4.(3F2).4p,u 4F*,9/2,10,,39391.079,,0.002,1.30,  63         :    12  3d3.(2F).4s.4p.(3P*)  4F*  ,"L15916,L20010,L14162"
3d4.(3P2).4p,x 4S*,3/2,4,,39847.344,,0.0015,2.00,  43         :    28  3d3.(4P).4s.4p.(1P*)  4S*  ,"L15916,L20010,L14162"
