Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
4d3 <2>,2D,3/2,,37549.522,,0.005,,L7610
4d2.(1G).5p,z 2H*,9/2,,37588.148,,0.004,0.91,L7610
4d2.(1G).5p,z 2H*,11/2,,37967.332,,0.004,1.11,L7610
4d3,2F,5/2,,38156.627,,0.003,,L7610
4d3,2F,7/2,,38411.771,,0.002,,L7610
4d.5s.(3D).5d,f 4D,1/2,,38469.954,,0.007,,L7610
4d.5s.(3D).5d,f 4D,3/2,,38543.685,,0.002,1.22,L7610
4d.5s.(3D).5d,f 4D,5/2,,38675.424,,0.002,1.08,L7610
4d.5s.(3D).5d,f 4D,7/2,,38865.618,,0.001,1.34,L7610
4d.5s.(3D).6p,4D*,1/2,,38473.277,,0.004,,L7610
4d.5s.(3D).6p,4D*,3/2,,38627.009,,0.003,,L7610
4d.5s.(3D).6p,4D*,5/2,,38798.054,,0.003,,L7610
4d.5s.(3D).6p,4D*,7/2,,39167.224,,0.005,,L7610
4d2.(1G).5p,y 2G*,7/2,,38479.017,,0.002,0.89,L7610
4d2.(1G).5p,y 2G*,9/2,,38597.024,,0.003,1.11,L7610
4d.5s.(3D).5d,e 4G,5/2,,38635.481,,0.003,0.73,L7610
4d.5s.(3D).5d,e 4G,7/2,,38761.956,,0.003,1.04,L7610
4d.5s.(3D).5d,e 4G,9/2,,38949.421,,0.004,1.16,L7610
4d.5s.(3D).5d,e 4G,11/2,,39222.861,,0.027,1.30,L7610
4d.5s.(3D).6p,4F*,5/2,,38699.599,,0.004,,L7610
4d.5s.(3D).6p,4F*,7/2,,38795.241,,0.004,,L7610
4d.5s.(3D).6p,4F*,9/2,,39206.717,,0.003,,L7610
4d.5s.(3D).6p,2F*,5/2,,38888.592,,0.003,,L7610
4d.5s.(3D).6p,2F*,7/2,,39056.581,,0.003,,L7610
4d.5s.(3D).5d,4S,3/2,,39001.465,,0.004,,L7610
4d.5s.(3D).5d,2P,1/2,,39087.277,,0.003,,L7610
4d.5s.(3D).5d,2P,3/2,,39209.422,,0.002,,L7610
4d.5s.(3D).6p,2D*,3/2,,39241.468,,0.005,,L7610
4d.5s.(3D).6p,2D*,5/2,,39288.253,,0.002,,L7610
4d.5s.(3D).6p,4P*,1/2,,39271.423,,0.003,,L7610
4d.5s.(3D).6p,4P*,3/2,,39418.175,,0.003,,L7610
4d.5s.(3D).6p,4P*,5/2,,39727.351,,0.003,,L7610
,1.1,3/2,,39313.287,,0.001,,L7610
4d.5s.(3D).5d,2F,5/2,,39441.591,,0.002,,L7610
4d.5s.(3D).5d,2F,7/2,,39963.658,,0.003,,L7610
4d.5s.(3D).5d,e 4F,3/2,,39446.322,,0.004,0.57,L7610
4d.5s.(3D).5d,e 4F,5/2,,39565.085,,0.004,1.12,L7610
4d.5s.(3D).5d,e 4F,7/2,,39757.942,,0.004,1.20,L7610
4d.5s.(3D).5d,e 4F,9/2,,39900.541,,0.003,,L7610
,1.2,3/2,,39553.048,,0.020,,L7610
,1.3,3/2,,39686.040,,0.003,,L7610
4d.5s.(3D).5d,f 4P,1/2,,40287.757,,0.005,,L7610
4d.5s.(3D).5d,f 4P,3/2,,40455.071,,0.004,,L7610
4d.5s.(3D).5d,f 4P,5/2,,40517.030,,0.004,1.52,L7610
4d2.(3P).5p,v 2D*,3/2,,40636.545,,0.003,,L7610
